date,MINUS_DI
2000-10-09 00:00:00,41.0143
2000-10-10 00:00:00,40.7988
2000-10-11 00:00:00,41.5715
2000-10-12 00:00:00,40.8612
2000-10-13 00:00:00,39.7056
2000-10-16 00:00:00,38.6843
2000-10-17 00:00:00,39.8137
2000-10-18 00:00:00,39.8425
2000-10-19 00:00:00,39.4333
2000-10-20 00:00:00,38.5878
2000-10-23 00:00:00,37.9176
2000-10-24 00:00:00,37.679
2000-10-25 00:00:00,37.8225
2000-10-26 00:00:00,38.5347
2000-10-27 00:00:00,37.6514
2000-10-30 00:00:00,36.725
2000-10-31 00:00:00,36.0485
2000-11-01 00:00:00,35.0758
2000-11-02 00:00:00,33.7744
2000-11-03 00:00:00,33.0688
2000-11-06 00:00:00,34.0524
2000-11-07 00:00:00,33.4734
2000-11-08 00:00:00,34.4268
2000-11-09 00:00:00,34.9711
2000-11-10 00:00:00,34.1028
2000-11-13 00:00:00,34.5767
2000-11-14 00:00:00,33.686
2000-11-15 00:00:00,33.623
2000-11-16 00:00:00,33.7284
2000-11-17 00:00:00,34.4272
2000-11-20 00:00:00,33.3428
2000-11-21 00:00:00,32.6925
2000-11-22 00:00:00,33.0541
2000-11-24 00:00:00,32.1464
2000-11-27 00:00:00,30.8619
2000-11-28 00:00:00,31.5217
2000-11-29 00:00:00,32.5505
2000-11-30 00:00:00,34.4784
2000-12-01 00:00:00,33.4518
2000-12-04 00:00:00,33.8166
2000-12-05 00:00:00,32.6891
2000-12-06 00:00:00,36.8378
2000-12-07 00:00:00,35.8463
2000-12-08 00:00:00,34.7281
2000-12-11 00:00:00,34.1672
2000-12-12 00:00:00,33.0436
2000-12-13 00:00:00,32.6895
2000-12-14 00:00:00,33.2958
2000-12-15 00:00:00,34.0429
2000-12-18 00:00:00,33.4052
2000-12-19 00:00:00,31.876
2000-12-20 00:00:00,32.0662
2000-12-21 00:00:00,30.7218
2000-12-22 00:00:00,29.6245
2000-12-26 00:00:00,28.7617
2000-12-27 00:00:00,28.29
2000-12-28 00:00:00,27.5614
2000-12-29 00:00:00,26.9808
2001-01-02 00:00:00,26.1797
2001-01-03 00:00:00,23.7585
2001-01-04 00:00:00,21.7537
2001-01-05 00:00:00,23.5925
2001-01-08 00:00:00,23.0923
2001-01-09 00:00:00,22.0904
2001-01-10 00:00:00,23.1009
2001-01-11 00:00:00,21.0854
2001-01-12 00:00:00,20.3063
2001-01-16 00:00:00,19.3076
2001-01-17 00:00:00,20.4793
2001-01-18 00:00:00,18.9445
2001-01-19 00:00:00,18.2972
2001-01-22 00:00:00,18.4316
2001-01-23 00:00:00,17.0978
2001-01-24 00:00:00,16.3493
2001-01-25 00:00:00,15.8265
2001-01-26 00:00:00,18.0344
2001-01-29 00:00:00,16.5087
2001-01-30 00:00:00,15.7834
2001-01-31 00:00:00,15.1272
2001-02-01 00:00:00,18.168
2001-02-02 00:00:00,17.1426
2001-02-05 00:00:00,19.5356
2001-02-06 00:00:00,18.4599
2001-02-07 00:00:00,18.255
2001-02-08 00:00:00,17.6171
2001-02-09 00:00:00,21.9882
2001-02-12 00:00:00,20.969
2001-02-13 00:00:00,19.8
2001-02-14 00:00:00,20.8844
2001-02-15 00:00:00,20.0141
2001-02-16 00:00:00,22.675
2001-02-20 00:00:00,23.7617
2001-02-21 00:00:00,22.2092
2001-02-22 00:00:00,22.0001
2001-02-23 00:00:00,21.4602
2001-02-26 00:00:00,20.4954
2001-02-27 00:00:00,19.8229
2001-02-28 00:00:00,21.0676
2001-03-01 00:00:00,23.464
2001-03-02 00:00:00,21.4898
2001-03-05 00:00:00,20.4557
2001-03-06 00:00:00,19.1447
2001-03-07 00:00:00,18.5021
2001-03-08 00:00:00,19.1317
2001-03-09 00:00:00,20.2731
2001-03-12 00:00:00,25.8745
2001-03-13 00:00:00,24.5075
2001-03-14 00:00:00,22.6163
2001-03-15 00:00:00,21.2111
2001-03-16 00:00:00,23.1079
2001-03-19 00:00:00,22.1455
2001-03-20 00:00:00,21.1125
2001-03-21 00:00:00,21.1248
2001-03-22 00:00:00,19.8607
2001-03-23 00:00:00,18.4756
2001-03-26 00:00:00,19.8043
2001-03-27 00:00:00,18.9329
2001-03-28 00:00:00,19.4213
2001-03-29 00:00:00,18.1288
2001-03-30 00:00:00,17.8202
2001-04-02 00:00:00,17.0463
2001-04-03 00:00:00,20.5644
2001-04-04 00:00:00,24.25
2001-04-05 00:00:00,21.8741
2001-04-06 00:00:00,21.38
2001-04-09 00:00:00,20.4677
2001-04-10 00:00:00,19.0256
2001-04-11 00:00:00,17.9647
2001-04-12 00:00:00,17.3041
2001-04-16 00:00:00,17.3684
2001-04-17 00:00:00,20.3581
2001-04-18 00:00:00,18.1259
2001-04-19 00:00:00,16.5861
2001-04-20 00:00:00,16.0433
2001-04-23 00:00:00,17.3343
2001-04-24 00:00:00,18.165
2001-04-25 00:00:00,17.4494
2001-04-26 00:00:00,16.6877
2001-04-27 00:00:00,15.8663
2001-04-30 00:00:00,14.7887
2001-05-01 00:00:00,14.202
2001-05-02 00:00:00,13.7858
2001-05-03 00:00:00,16.1786
2001-05-04 00:00:00,17.6025
2001-05-07 00:00:00,17.0947
2001-05-08 00:00:00,19.0872
2001-05-09 00:00:00,19.435
2001-05-10 00:00:00,20.7814
2001-05-11 00:00:00,20.9079
2001-05-14 00:00:00,20.253
2001-05-15 00:00:00,18.6285
2001-05-16 00:00:00,18.2473
2001-05-17 00:00:00,17.5975
2001-05-18 00:00:00,17.7287
2001-05-21 00:00:00,17.1979
2001-05-22 00:00:00,16.7498
2001-05-23 00:00:00,18.171
2001-05-24 00:00:00,18.6053
2001-05-25 00:00:00,18.5026
2001-05-29 00:00:00,23.4442
2001-05-30 00:00:00,27.0559
2001-05-31 00:00:00,26.3067
2001-06-01 00:00:00,25.1907
2001-06-04 00:00:00,24.5653
2001-06-05 00:00:00,24.2755
2001-06-06 00:00:00,23.7621
2001-06-07 00:00:00,22.5717
2001-06-08 00:00:00,21.7019
2001-06-11 00:00:00,23.5683
2001-06-12 00:00:00,23.4491
2001-06-13 00:00:00,21.8781
2001-06-14 00:00:00,22.4394
2001-06-15 00:00:00,22.8704
2001-06-18 00:00:00,22.0665
2001-06-19 00:00:00,20.8076
2001-06-20 00:00:00,19.2523
2001-06-21 00:00:00,17.827
2001-06-22 00:00:00,16.9643
2001-06-25 00:00:00,15.8325
2001-06-26 00:00:00,15.2301
2001-06-27 00:00:00,16.3143
2001-06-28 00:00:00,15.6971
2001-06-29 00:00:00,14.5613
2001-07-02 00:00:00,14.1822
2001-07-03 00:00:00,13.8027
2001-07-05 00:00:00,15.3061
2001-07-06 00:00:00,19.5331
2001-07-09 00:00:00,18.5122
2001-07-10 00:00:00,20.1413
2001-07-11 00:00:00,18.9615
2001-07-12 00:00:00,17.391
2001-07-13 00:00:00,16.6432
2001-07-16 00:00:00,15.9106
2001-07-17 00:00:00,17.8765
2001-07-18 00:00:00,23.4998
2001-07-19 00:00:00,24.3868
2001-07-20 00:00:00,24.7861
2001-07-23 00:00:00,23.9619
2001-07-24 00:00:00,25.6409
2001-07-25 00:00:00,27.0694
2001-07-26 00:00:00,26.5934
2001-07-27 00:00:00,25.8841
2001-07-30 00:00:00,25.086
2001-07-31 00:00:00,24.2436
2001-08-01 00:00:00,23.3458
2001-08-02 00:00:00,22.6242
2001-08-03 00:00:00,22.8428
2001-08-06 00:00:00,22.2437
2001-08-07 00:00:00,21.7011
2001-08-08 00:00:00,22.4686
2001-08-09 00:00:00,22.0615
2001-08-10 00:00:00,21.3696
2001-08-13 00:00:00,20.8326
2001-08-14 00:00:00,20.5909
2001-08-15 00:00:00,22.0435
2001-08-16 00:00:00,22.3129
2001-08-17 00:00:00,21.6161
2001-08-20 00:00:00,22.0513
2001-08-21 00:00:00,22.1165
2001-08-22 00:00:00,21.3927
2001-08-23 00:00:00,20.5521
2001-08-24 00:00:00,19.5214
2001-08-27 00:00:00,18.3811
2001-08-28 00:00:00,17.6755
2001-08-29 00:00:00,19.7114
2001-08-30 00:00:00,21.647
2001-08-31 00:00:00,20.578
2001-09-04 00:00:00,19.6122
2001-09-05 00:00:00,19.0726
2001-09-06 00:00:00,20.2384
2001-09-07 00:00:00,21.6258
2001-09-10 00:00:00,22.4428
2001-09-17 00:00:00,26.6333
2001-09-18 00:00:00,24.588
2001-09-19 00:00:00,25.5611
2001-09-20 00:00:00,24.1975
2001-09-21 00:00:00,26.2282
2001-09-24 00:00:00,24.8865
2001-09-25 00:00:00,26.389
