date,Real Upper Band,Real Middle Band,Real Lower Band
2019-11-06 00:00:00,260.0311,243.4705,226.9099
2019-11-05 00:00:00,258.7309,241.96,225.1891
2019-11-04 00:00:00,257.2409,240.3235,223.4061
2019-11-01 00:00:00,254.7109,238.8015,222.8921
2019-10-31 00:00:00,252.0133,237.361,222.7087
2019-10-30 00:00:00,251.3138,235.964,220.6142
2019-10-29 00:00:00,251.3891,234.749,218.1089
2019-10-28 00:00:00,250.5307,233.814,217.0973
2019-10-25 00:00:00,248.2479,232.56,216.8721
2019-10-24 00:00:00,246.562,231.172,215.782
2019-10-23 00:00:00,245.0176,229.9875,214.9574
2019-10-22 00:00:00,243.101,228.88,214.659
2019-10-21 00:00:00,241.8304,227.766,213.7016
2019-10-18 00:00:00,239.9785,226.6765,213.3745
2019-10-17 00:00:00,238.8006,225.7425,212.6844
2019-10-16 00:00:00,237.4702,225.0265,212.5828
2019-10-15 00:00:00,236.1536,224.4465,212.7394
2019-10-14 00:00:00,234.3963,223.7155,213.0347
2019-10-11 00:00:00,232.1309,222.917,213.7031
2019-10-10 00:00:00,229.1136,222.044,214.9744
2019-10-09 00:00:00,227.7565,221.6937,215.631
2019-10-08 00:00:00,227.1487,221.5217,215.8948
2019-10-07 00:00:00,226.9731,221.1367,215.3004
2019-10-04 00:00:00,226.4161,220.4922,214.5684
2019-10-03 00:00:00,225.7348,219.8047,213.8747
2019-10-02 00:00:00,225.978,219.4277,212.8775
2019-10-01 00:00:00,226.8683,218.9392,211.0102
2019-09-30 00:00:00,227.374,217.9947,208.6155
2019-09-27 00:00:00,227.0128,217.2332,207.4537
2019-09-26 00:00:00,227.1206,216.7427,206.3649
2019-09-25 00:00:00,227.3738,216.0247,204.6757
2019-09-24 00:00:00,227.3919,215.1812,202.9706
2019-09-23 00:00:00,227.3381,214.6217,201.9054
2019-09-20 00:00:00,227.3998,213.8177,200.2357
2019-09-19 00:00:00,227.0266,213.5542,200.0819
2019-09-18 00:00:00,226.177,213.1382,200.0995
2019-09-17 00:00:00,224.8246,212.5177,200.2109
2019-09-16 00:00:00,223.7449,212.0002,200.2556
2019-09-13 00:00:00,222.7193,211.3302,199.9412
2019-09-12 00:00:00,222.0643,210.4797,198.8952
2019-09-11 00:00:00,219.9624,209.463,198.9636
2019-09-10 00:00:00,216.9924,208.732,200.4716
2019-09-09 00:00:00,216.0773,207.921,199.7647
2019-09-06 00:00:00,215.422,207.262,199.102
2019-09-05 00:00:00,214.6038,206.7705,198.9372
2019-09-04 00:00:00,213.9838,206.0585,198.1332
2019-09-03 00:00:00,214.1539,205.449,196.7441
2019-08-30 00:00:00,215.0074,204.831,194.6546
2019-08-29 00:00:00,214.6156,204.595,194.5744
2019-08-28 00:00:00,214.5386,204.566,194.5934
2019-08-27 00:00:00,215.5747,204.9415,194.3083
2019-08-26 00:00:00,215.9277,205.1725,194.4173
2019-08-23 00:00:00,216.254,205.332,194.41
2019-08-22 00:00:00,216.4838,205.587,194.6902
2019-08-21 00:00:00,215.7748,205.315,194.8552
2019-08-20 00:00:00,215.1549,205.1165,195.0781
2019-08-19 00:00:00,214.941,205.0405,195.14
2019-08-16 00:00:00,214.5398,204.884,195.2282
2019-08-15 00:00:00,214.3638,204.6885,195.0132
2019-08-14 00:00:00,214.4714,204.8845,195.2976
2019-08-13 00:00:00,214.4782,204.9145,195.3508
2019-08-12 00:00:00,214.0723,204.691,195.3097
2019-08-09 00:00:00,214.1086,204.9275,195.7464
2019-08-08 00:00:00,214.0801,205.043,196.0059
2019-08-07 00:00:00,214.0853,204.959,195.8327
2019-08-06 00:00:00,213.9266,205.1685,196.4104
2019-08-05 00:00:00,213.5209,205.3805,197.2401
2019-08-02 00:00:00,212.2393,205.7145,199.1897
2019-08-01 00:00:00,212.2395,205.725,199.2105
2019-07-31 00:00:00,211.9396,205.524,199.1084
2019-07-30 00:00:00,210.5185,205.0085,199.4985
2019-07-29 00:00:00,210.0677,204.647,199.2263
2019-07-26 00:00:00,209.7146,204.059,198.4034
2019-07-25 00:00:00,209.3481,203.659,197.9699
2019-07-24 00:00:00,209.0045,203.298,197.5915
2019-07-23 00:00:00,208.7275,202.643,196.5585
2019-07-22 00:00:00,207.7504,202.13,196.5096
2019-07-19 00:00:00,206.9938,201.708,196.4222
2019-07-18 00:00:00,206.9084,201.5515,196.1946
2019-07-17 00:00:00,206.3989,201.162,195.9251
2019-07-16 00:00:00,206.1799,200.917,195.6541
2019-07-15 00:00:00,206.2072,200.3865,194.5658
2019-07-12 00:00:00,206.0372,199.763,193.4888
2019-07-11 00:00:00,205.8115,199.3055,192.7995
2019-07-10 00:00:00,205.6947,198.9275,192.1603
2019-07-09 00:00:00,205.1979,198.5065,191.8151
2019-07-08 00:00:00,205.113,198.0735,191.034
2019-07-05 00:00:00,205.3504,197.58,189.8096
2019-07-03 00:00:00,205.4881,196.6295,187.7709
2019-07-02 00:00:00,205.6002,195.536,185.4718
2019-07-01 00:00:00,206.0495,194.3815,182.7135
2019-06-28 00:00:00,207.3485,192.969,178.5895
2019-06-27 00:00:00,207.9734,191.8265,175.6796
2019-06-26 00:00:00,207.4935,190.7545,174.0155
2019-06-25 00:00:00,206.7968,189.6335,172.4702
2019-06-24 00:00:00,206.3884,188.7665,171.1446
2019-06-21 00:00:00,205.2965,187.786,170.2755
2019-06-20 00:00:00,203.9179,186.83,169.7421
2019-06-19 00:00:00,202.1388,185.996,169.8532
2019-06-18 00:00:00,200.6376,185.4325,170.2274
2019-06-17 00:00:00,198.666,184.6645,170.663
2019-06-14 00:00:00,197.9307,184.42,170.9093
2019-06-13 00:00:00,197.5169,184.287,171.0571
2019-06-12 00:00:00,196.9423,184.1255,171.3087
2019-06-11 00:00:00,196.0071,183.849,171.6909
2019-06-10 00:00:00,194.5149,183.3945,172.2741
2019-06-07 00:00:00,195.6489,183.6245,171.6001
2019-06-06 00:00:00,198.0599,184.153,170.2461
2019-06-05 00:00:00,201.172,185.037,168.902
2019-06-04 00:00:00,203.8994,186.053,168.2066
2019-06-03 00:00:00,207.5586,187.495,167.4314
2019-05-31 00:00:00,210.9842,189.4175,167.8508
2019-05-30 00:00:00,213.2623,191.1215,168.9807
2019-05-29 00:00:00,215.5845,192.7325,169.8805
2019-05-28 00:00:00,215.8572,193.897,171.9368
2019-05-24 00:00:00,216.4093,195.216,174.0227
2019-05-23 00:00:00,216.6433,196.4825,176.3217
2019-05-22 00:00:00,216.7048,197.7635,178.8222
2019-05-21 00:00:00,217.0265,198.9825,180.9385
2019-05-20 00:00:00,217.4908,200.0265,182.5622
2019-05-17 00:00:00,216.8177,201.0985,185.3793
2019-05-16 00:00:00,216.577,201.8415,187.106
2019-05-15 00:00:00,216.2089,202.494,188.7791
2019-05-14 00:00:00,215.6666,202.9105,190.1544
2019-05-13 00:00:00,214.5608,203.439,192.3172
2019-05-10 00:00:00,212.0556,204.0965,196.1374
2019-05-09 00:00:00,211.8691,204.185,196.5009
2019-05-08 00:00:00,211.8732,204.18,196.4868
2019-05-07 00:00:00,211.955,204.01,196.065
2019-05-06 00:00:00,211.9862,203.872,195.7578
2019-05-03 00:00:00,211.6479,203.298,194.9481
2019-05-02 00:00:00,210.5218,202.495,194.4682
2019-05-01 00:00:00,209.7974,201.805,193.8126
2019-04-30 00:00:00,208.6015,200.98,193.3585
2019-04-29 00:00:00,209.235,200.5085,191.782
2019-04-26 00:00:00,209.4157,199.7755,190.1353
2019-04-25 00:00:00,209.5254,198.9965,188.4676
2019-04-24 00:00:00,209.2148,198.156,187.0972
2019-04-23 00:00:00,208.4411,197.1375,185.8339
2019-04-22 00:00:00,207.0157,196.2005,185.3853
2019-04-18 00:00:00,205.8503,195.5265,185.2027
2019-04-17 00:00:00,204.6776,195.088,185.4984
2019-04-16 00:00:00,203.6338,194.3395,185.0452
2019-04-15 00:00:00,203.3025,193.7035,184.1045
2019-04-12 00:00:00,202.6948,193.143,183.5912
2019-04-11 00:00:00,202.1448,192.5055,182.8662
2019-04-10 00:00:00,201.6286,191.7445,181.8604
2019-04-09 00:00:00,200.7238,190.799,180.8742
2019-04-08 00:00:00,199.8426,189.8695,179.8964
2019-04-05 00:00:00,198.7142,188.8095,178.9048
2019-04-04 00:00:00,198.9822,187.605,176.2278
2019-04-03 00:00:00,198.9604,186.4455,173.9306
2019-04-02 00:00:00,198.2441,185.404,172.5639
2019-04-01 00:00:00,197.3675,184.4795,171.5915
2019-03-29 00:00:00,196.7287,183.71,170.6913
2019-03-28 00:00:00,196.1796,182.961,169.7424
2019-03-27 00:00:00,195.7812,182.1825,168.5838
2019-03-26 00:00:00,195.1357,181.5025,167.8693
2019-03-25 00:00:00,194.6276,180.8795,167.1314
2019-03-22 00:00:00,193.6961,180.154,166.6119
2019-03-21 00:00:00,192.1612,179.25,166.3388
2019-03-20 00:00:00,189.1911,178.0485,166.9059
2019-03-19 00:00:00,187.6512,177.242,166.8328
2019-03-18 00:00:00,186.2922,176.462,166.6318
2019-03-15 00:00:00,184.1912,175.582,166.9728
2019-03-14 00:00:00,182.1737,174.816,167.4583
2019-03-13 00:00:00,180.5187,174.1385,167.7583
2019-03-12 00:00:00,179.0912,173.5975,168.1038
2019-03-11 00:00:00,177.6756,173.0235,168.3714
2019-03-08 00:00:00,176.5208,172.599,168.6772
2019-03-07 00:00:00,176.4846,172.5005,168.5164
2019-03-06 00:00:00,176.6431,172.5875,168.5319
2019-03-05 00:00:00,176.5963,172.5705,168.5447
2019-03-04 00:00:00,176.1802,172.3565,168.5328
2019-03-01 00:00:00,176.147,171.89,167.633
2019-02-28 00:00:00,176.0936,171.4635,166.8334
2019-02-27 00:00:00,176.3568,171.0685,165.7802
2019-02-26 00:00:00,178.7029,170.059,161.4151
2019-02-25 00:00:00,179.4375,169.1575,158.8775
2019-02-22 00:00:00,179.4606,168.334,157.2074
2019-02-21 00:00:00,180.1376,167.3205,154.5034
2019-02-20 00:00:00,180.4083,166.4635,152.5187
2019-02-19 00:00:00,180.3394,165.527,150.7146
2019-02-15 00:00:00,179.8794,164.8215,149.7636
2019-02-14 00:00:00,179.4041,164.0935,148.7829
2019-02-13 00:00:00,178.7815,163.3005,147.8195
2019-02-12 00:00:00,178.1994,162.445,146.6906
2019-02-11 00:00:00,177.542,161.4005,145.259
2019-02-08 00:00:00,176.7088,160.5435,144.3782
2019-02-07 00:00:00,175.4668,159.713,143.9592
2019-02-06 00:00:00,173.9333,158.8315,143.7297
2019-02-05 00:00:00,171.3729,157.657,143.9411
2019-02-04 00:00:00,168.4092,156.3445,144.2798
2019-02-01 00:00:00,165.6309,155.195,144.7591
2019-01-31 00:00:00,164.5219,153.9785,143.4351
2019-01-30 00:00:00,162.6347,153.5525,144.4703
2019-01-29 00:00:00,160.7969,153.177,145.5571
2019-01-28 00:00:00,160.965,153.2545,145.544
2019-01-25 00:00:00,160.9459,153.247,145.5481
2019-01-24 00:00:00,160.8512,153.2175,145.5838
2019-01-23 00:00:00,161.0503,152.924,144.7977
2019-01-22 00:00:00,160.9314,152.7645,144.5976
2019-01-18 00:00:00,161.297,152.941,144.585
2019-01-17 00:00:00,162.0487,153.1445,144.2403
2019-01-16 00:00:00,164.1517,153.655,143.1583
2019-01-15 00:00:00,165.5154,154.105,142.6946
2019-01-14 00:00:00,167.1481,154.7255,142.3029
2019-01-11 00:00:00,169.8482,155.773,141.6978
2019-01-10 00:00:00,171.7258,156.6135,141.5012
2019-01-09 00:00:00,173.276,157.355,141.434
2019-01-08 00:00:00,174.8291,158.1695,141.5099
2019-01-07 00:00:00,175.9292,159.0565,142.1838
2019-01-04 00:00:00,177.7689,160.396,143.0231
2019-01-03 00:00:00,179.6326,161.8175,144.0024
2019-01-02 00:00:00,182.0592,163.949,145.8388
2018-12-31 00:00:00,183.936,164.982,146.028
2018-12-28 00:00:00,185.731,166.0725,146.414
2018-12-27 00:00:00,187.4372,167.308,147.1788
2018-12-26 00:00:00,187.8752,168.2125,148.5498
2018-12-24 00:00:00,188.2527,169.085,149.9173
2018-12-21 00:00:00,186.6035,170.358,154.1125
2018-12-20 00:00:00,185.3837,171.6605,157.9373
2018-12-19 00:00:00,184.7484,172.668,160.5876
2018-12-18 00:00:00,186.0311,173.9165,161.8019
2018-12-17 00:00:00,189.567,175.2895,161.012
2018-12-14 00:00:00,191.5798,176.663,161.7462
2018-12-13 00:00:00,192.3409,177.729,163.1171
2018-12-12 00:00:00,194.3443,178.793,163.2417
2018-12-11 00:00:00,196.2964,180.0465,163.7966
2018-12-10 00:00:00,200.3978,181.8385,163.2792
2018-12-07 00:00:00,204.7932,183.783,162.7728
2018-12-06 00:00:00,208.5365,185.856,163.1755
2018-12-04 00:00:00,210.6611,187.3085,163.9559
2018-12-03 00:00:00,212.1626,188.5535,164.9444
2018-11-30 00:00:00,214.6085,189.6865,164.7645
2018-11-29 00:00:00,219.959,191.8685,163.778
2018-11-28 00:00:00,223.6498,193.834,164.0182
2018-11-27 00:00:00,225.8007,195.452,165.1033
2018-11-26 00:00:00,226.8983,197.352,167.8057
2018-11-23 00:00:00,228.1426,199.436,170.7294
2018-11-21 00:00:00,228.9602,201.8115,174.6628
2018-11-20 00:00:00,228.8731,203.727,178.5809
2018-11-19 00:00:00,229.264,206.0145,182.765
2018-11-16 00:00:00,229.8907,207.754,185.6173
2018-11-15 00:00:00,230.714,209.043,187.372
2018-11-14 00:00:00,230.5497,210.2735,189.9973
2018-11-13 00:00:00,229.6829,211.993,194.3031
2018-11-12 00:00:00,229.1892,213.489,197.7888
2018-11-09 00:00:00,227.6666,214.6485,201.6304
2018-11-08 00:00:00,228.0515,215.5305,203.0095
2018-11-07 00:00:00,227.9421,215.8285,203.7149
2018-11-06 00:00:00,227.9589,216.149,204.3391
2018-11-05 00:00:00,228.5502,217.304,206.0578
2018-11-02 00:00:00,227.387,218.413,209.439
2018-11-01 00:00:00,227.0451,219.2535,211.4619
2018-10-31 00:00:00,228.1374,219.542,210.9466
2018-10-30 00:00:00,230.3727,220.2025,210.0323
2018-10-29 00:00:00,231.3857,221.0015,210.6173
2018-10-26 00:00:00,231.6548,221.7525,211.8502
2018-10-25 00:00:00,231.9404,222.2245,212.5086
2018-10-24 00:00:00,232.2002,222.482,212.7638
2018-10-23 00:00:00,231.9181,222.7485,213.5789
2018-10-22 00:00:00,231.8944,222.7215,213.5486
2018-10-19 00:00:00,231.8952,222.7285,213.5618
2018-10-18 00:00:00,231.9628,222.646,213.3292
2018-10-17 00:00:00,231.7476,222.8465,213.9454
2018-10-16 00:00:00,231.7945,222.7055,213.6165
2018-10-15 00:00:00,231.8042,222.51,213.2158
2018-10-12 00:00:00,231.7752,222.536,213.2968
2018-10-11 00:00:00,231.8765,222.6225,213.3685
2018-10-10 00:00:00,231.8064,223.2205,214.6346
2018-10-09 00:00:00,231.5187,223.456,215.3933
2018-10-08 00:00:00,231.218,223.305,215.392
2018-10-05 00:00:00,231.2322,223.033,214.8338
2018-10-04 00:00:00,231.0946,222.8835,214.6724
2018-10-03 00:00:00,230.5116,222.639,214.7664
2018-10-02 00:00:00,229.2709,222.379,215.4871
2018-10-01 00:00:00,229.0501,222.333,215.6159
2018-09-28 00:00:00,229.1246,222.3515,215.5784
2018-09-27 00:00:00,229.0248,222.316,215.6072
2018-09-26 00:00:00,228.8258,222.2175,215.6092
2018-09-25 00:00:00,228.8363,222.1815,215.5267
2018-09-24 00:00:00,228.8758,221.969,215.0622
2018-09-21 00:00:00,229.0833,221.7375,214.3917
2018-09-20 00:00:00,229.2706,221.629,213.9874
2018-09-19 00:00:00,229.522,221.38,213.238
2018-09-18 00:00:00,229.7228,221.2135,212.7042
2018-09-17 00:00:00,229.8599,221.0745,212.2891
2018-09-14 00:00:00,229.8676,221.0595,212.2514
2018-09-13 00:00:00,229.8561,220.5335,211.2109
2018-09-12 00:00:00,229.6537,219.725,209.7963
2018-09-11 00:00:00,229.9681,219.159,208.3499
2018-09-10 00:00:00,229.8714,218.41,206.9486
2018-09-07 00:00:00,230.2745,217.87,205.4655
2018-09-06 00:00:00,230.1385,217.249,204.3595
2018-09-05 00:00:00,229.7523,216.4565,203.1607
2018-09-04 00:00:00,228.4553,215.4685,202.4817
2018-08-31 00:00:00,226.3313,214.504,202.6767
2018-08-30 00:00:00,224.0127,213.522,203.0313
2018-08-29 00:00:00,222.0196,212.64,203.2604
2018-08-28 00:00:00,220.8827,211.566,202.2493
2018-08-27 00:00:00,222.5635,210.0955,197.6275
2018-08-24 00:00:00,223.4174,208.694,193.9706
2018-08-23 00:00:00,223.6229,207.435,191.2471
2018-08-22 00:00:00,223.0899,206.371,189.6521
2018-08-21 00:00:00,222.3021,205.3595,188.4169
2018-08-20 00:00:00,221.404,204.2575,187.111
2018-08-17 00:00:00,220.2466,203.065,185.8834
2018-08-16 00:00:00,218.2887,201.758,185.2273
2018-08-15 00:00:00,216.8553,200.686,184.5167
2018-08-14 00:00:00,215.8314,199.694,183.5566
2018-08-13 00:00:00,214.6041,198.779,182.9539
2018-08-10 00:00:00,213.348,197.881,182.414
2018-08-09 00:00:00,212.1231,197.071,182.0189
2018-08-08 00:00:00,210.4188,196.1785,181.9382
2018-08-07 00:00:00,208.932,195.21,181.488
2018-08-06 00:00:00,207.0954,194.372,181.6486
2018-08-03 00:00:00,204.3165,193.4475,182.5785
2018-08-02 00:00:00,201.2687,192.4465,183.6243
2018-08-01 00:00:00,197.5329,191.347,185.1611
2018-07-31 00:00:00,195.5267,190.468,185.4093
2018-07-30 00:00:00,195.5707,190.3125,185.0543
2018-07-27 00:00:00,195.7996,190.0725,184.3454
2018-07-26 00:00:00,195.8413,189.7985,183.7557
2018-07-25 00:00:00,195.4582,189.296,183.1338
2018-07-24 00:00:00,194.7368,188.7765,182.8162
2018-07-23 00:00:00,194.521,188.235,181.949
2018-07-20 00:00:00,194.1444,187.9005,181.6566
2018-07-19 00:00:00,193.71,187.6015,181.493
2018-07-18 00:00:00,193.1296,187.3325,181.5354
2018-07-17 00:00:00,192.7576,187.097,181.4364
2018-07-16 00:00:00,192.3205,186.9615,181.6025
2018-07-13 00:00:00,191.9828,186.858,181.7332
2018-07-12 00:00:00,191.8683,186.8315,181.7947
2018-07-11 00:00:00,191.7985,186.815,181.8315
2018-07-10 00:00:00,192.5476,187.035,181.5224
2018-07-09 00:00:00,192.7095,187.079,181.4485
2018-07-06 00:00:00,192.9237,187.135,181.3463
2018-07-05 00:00:00,193.818,187.4095,181.001
2018-07-03 00:00:00,194.7782,187.8385,180.8988
2018-07-02 00:00:00,195.3928,188.308,181.2232
2018-06-29 00:00:00,195.7658,188.5405,181.3152
2018-06-28 00:00:00,195.8798,188.797,181.7142
2018-06-27 00:00:00,195.8452,188.8655,181.8858
2018-06-26 00:00:00,195.707,189.0325,182.358
2018-06-25 00:00:00,195.5659,189.206,182.8461
2018-06-22 00:00:00,195.0233,189.5265,184.0297
2018-06-21 00:00:00,194.811,189.688,184.565
2018-06-20 00:00:00,194.6224,189.833,185.0436
2018-06-19 00:00:00,194.5715,189.866,185.1605
2018-06-18 00:00:00,194.392,189.963,185.534
2018-06-15 00:00:00,194.5241,189.8415,185.1589
2018-06-14 00:00:00,194.5779,189.749,184.9201
2018-06-13 00:00:00,194.4678,189.618,184.7682
2018-06-12 00:00:00,194.4175,189.405,184.3925
2018-06-11 00:00:00,194.0582,189.1985,184.3388
2018-06-08 00:00:00,193.8409,189.0665,184.2921
2018-06-07 00:00:00,193.6279,188.9835,184.3391
2018-06-06 00:00:00,192.8877,188.6785,184.4693
2018-06-05 00:00:00,191.8666,188.282,184.6974
2018-06-04 00:00:00,190.8875,187.8745,184.8615
2018-06-01 00:00:00,190.4038,187.4745,184.5452
2018-05-31 00:00:00,192.0677,186.807,181.5463
2018-05-30 00:00:00,193.1893,186.292,179.3947
2018-05-29 00:00:00,195.5213,185.372,175.2227
2018-05-25 00:00:00,197.563,184.24,170.917
2018-05-24 00:00:00,199.1423,182.927,166.7117
2018-05-23 00:00:00,199.6678,181.7305,163.7932
2018-05-22 00:00:00,199.7883,180.495,161.2017
2018-05-21 00:00:00,199.7563,179.284,158.8117
2018-05-18 00:00:00,199.1316,178.1645,157.1974
2018-05-17 00:00:00,198.4207,177.135,155.8493
2018-05-16 00:00:00,197.2918,176.4255,155.5592
2018-05-15 00:00:00,196.0852,175.9085,155.7318
2018-05-14 00:00:00,195.1284,175.4985,155.8686
2018-05-11 00:00:00,193.6389,174.882,156.1251
2018-05-10 00:00:00,191.8616,174.189,156.5164
2018-05-09 00:00:00,189.5044,173.394,157.2836
2018-05-08 00:00:00,187.4294,172.648,157.8666
2018-05-07 00:00:00,185.4617,172.008,158.5543
2018-05-04 00:00:00,183.2895,171.2525,159.2155
2018-05-03 00:00:00,181.0873,170.48,159.8727
2018-05-02 00:00:00,180.5325,170.2755,160.0185
2018-05-01 00:00:00,179.8962,170.0275,160.1588
2018-04-30 00:00:00,179.8789,169.992,160.1051
2018-04-27 00:00:00,179.8327,170.063,160.2933
2018-04-26 00:00:00,179.512,170.336,161.16
2018-04-25 00:00:00,179.3732,170.449,161.5248
2018-04-24 00:00:00,179.1135,170.6835,162.2535
2018-04-23 00:00:00,178.8547,171.175,163.4953
2018-04-20 00:00:00,178.887,171.16,163.433
2018-04-19 00:00:00,178.7163,171.3165,163.9167
2018-04-18 00:00:00,178.6085,171.24,163.8715
2018-04-17 00:00:00,178.0896,171.11,164.1304
2018-04-16 00:00:00,177.4416,170.963,164.4844
2018-04-13 00:00:00,177.9407,171.073,164.2053
2018-04-12 00:00:00,178.7403,171.269,163.7977
2018-04-11 00:00:00,179.5009,171.484,163.4671
2018-04-10 00:00:00,180.6879,171.8605,163.0331
2018-04-09 00:00:00,182.0953,172.284,162.4727
2018-04-06 00:00:00,183.0821,172.7805,162.4789
2018-04-05 00:00:00,183.4544,173.2085,162.9626
2018-04-04 00:00:00,183.5942,173.32,163.0458
2018-04-03 00:00:00,183.9153,173.573,163.2307
2018-04-02 00:00:00,184.1428,173.9945,163.8462
2018-03-29 00:00:00,184.0814,174.471,164.8606
2018-03-28 00:00:00,183.9392,174.832,165.7248
2018-03-27 00:00:00,183.7685,175.414,167.0595
2018-03-26 00:00:00,183.6979,175.9165,168.1351
2018-03-23 00:00:00,183.9757,176.2265,168.4773
2018-03-22 00:00:00,182.548,176.7545,170.961
2018-03-21 00:00:00,181.8923,176.937,171.9817
2018-03-20 00:00:00,181.9286,176.927,171.9254
2018-03-19 00:00:00,182.1877,176.7575,171.3273
2018-03-16 00:00:00,182.3346,176.614,170.8934
2018-03-15 00:00:00,182.2535,176.3625,170.4715
2018-03-14 00:00:00,182.7668,175.7985,168.8302
2018-03-13 00:00:00,183.5453,175.0935,166.6417
2018-03-12 00:00:00,183.9448,174.2305,164.5162
2018-03-09 00:00:00,184.8081,172.965,161.1219
2018-03-08 00:00:00,185.4248,171.7235,158.0222
2018-03-07 00:00:00,185.3084,170.8535,156.3986
2018-03-06 00:00:00,184.9591,170.2535,155.5479
2018-03-05 00:00:00,184.7956,169.2445,153.6934
2018-03-02 00:00:00,184.0166,168.4285,152.8404
2018-03-01 00:00:00,183.181,168.007,152.833
2018-02-28 00:00:00,182.4597,167.6285,152.7973
2018-02-27 00:00:00,181.0993,167.071,153.0427
2018-02-26 00:00:00,179.5971,166.5495,153.5019
2018-02-23 00:00:00,178.1661,166.1765,154.1869
2018-02-22 00:00:00,177.4043,165.957,154.5097
2018-02-21 00:00:00,177.7094,166.043,154.3766
2018-02-20 00:00:00,178.7866,166.3415,153.8964
2018-02-16 00:00:00,179.6859,166.599,153.5121
2018-02-15 00:00:00,180.7656,166.9005,153.0354
2018-02-14 00:00:00,181.8763,167.214,152.5517
2018-02-13 00:00:00,183.3522,167.8005,152.2488
2018-02-12 00:00:00,184.2717,168.393,152.5143
2018-02-09 00:00:00,185.1972,169.112,153.0268
2018-02-08 00:00:00,185.2382,170.0555,154.8728
2018-02-07 00:00:00,184.6508,171.0125,157.3742
2018-02-06 00:00:00,184.389,171.752,159.115
2018-02-05 00:00:00,184.3408,172.318,160.2952
2018-02-02 00:00:00,182.8588,173.2435,163.6282
2018-02-01 00:00:00,181.5129,173.87,166.2271
2018-01-31 00:00:00,181.2574,174.0925,166.9276
2018-01-30 00:00:00,180.8835,174.334,167.7845
2018-01-29 00:00:00,180.547,174.447,168.347
2018-01-26 00:00:00,180.1675,174.603,169.0385
2018-01-25 00:00:00,180.2361,174.5575,168.8789
2018-01-24 00:00:00,180.2791,174.5305,168.7819
2018-01-23 00:00:00,180.3204,174.57,168.8196
