date,ULTOSC
2000-10-20 00:00:00,39.8504
2000-10-23 00:00:00,43.7129
2000-10-24 00:00:00,33.0666
2000-10-25 00:00:00,35.2283
2000-10-26 00:00:00,39.3968
2000-10-27 00:00:00,38.0996
2000-10-30 00:00:00,40.4179
2000-10-31 00:00:00,40.2618
2000-11-01 00:00:00,40.9595
2000-11-02 00:00:00,52.0687
2000-11-03 00:00:00,53.3087
2000-11-06 00:00:00,50.0901
2000-11-07 00:00:00,49.0259
2000-11-08 00:00:00,46.8316
2000-11-09 00:00:00,51.3724
2000-11-10 00:00:00,45.0282
2000-11-13 00:00:00,43.1226
2000-11-14 00:00:00,47.657
2000-11-15 00:00:00,49.7866
2000-11-16 00:00:00,46.8029
2000-11-17 00:00:00,48.3624
2000-11-20 00:00:00,46.5253
2000-11-21 00:00:00,47.0732
2000-11-22 00:00:00,40.3912
2000-11-24 00:00:00,41.5411
2000-11-27 00:00:00,36.3461
2000-11-28 00:00:00,34.8374
2000-11-29 00:00:00,35.6763
2000-11-30 00:00:00,31.428
2000-12-01 00:00:00,35.6092
2000-12-04 00:00:00,35.888
2000-12-05 00:00:00,34.1349
2000-12-06 00:00:00,29.6187
2000-12-07 00:00:00,31.5795
2000-12-08 00:00:00,35.3752
2000-12-11 00:00:00,37.0226
2000-12-12 00:00:00,35.9853
2000-12-13 00:00:00,34.7553
2000-12-14 00:00:00,29.3798
2000-12-15 00:00:00,33.5006
2000-12-18 00:00:00,34.8141
2000-12-19 00:00:00,25.503
2000-12-20 00:00:00,29.5226
2000-12-21 00:00:00,26.6569
2000-12-22 00:00:00,34.6323
2000-12-26 00:00:00,38.4102
2000-12-27 00:00:00,46.439
2000-12-28 00:00:00,49.4194
2000-12-29 00:00:00,57.3178
2001-01-02 00:00:00,54.6783
2001-01-03 00:00:00,66.7565
2001-01-04 00:00:00,57.2673
2001-01-05 00:00:00,53.6307
2001-01-08 00:00:00,53.0031
2001-01-09 00:00:00,52.7028
2001-01-10 00:00:00,52.5269
2001-01-11 00:00:00,56.6418
2001-01-12 00:00:00,50.4989
2001-01-16 00:00:00,47.5986
2001-01-17 00:00:00,47.6874
2001-01-18 00:00:00,54.5369
2001-01-19 00:00:00,56.8414
2001-01-22 00:00:00,58.5871
2001-01-23 00:00:00,58.8783
2001-01-24 00:00:00,62.8724
2001-01-25 00:00:00,65.6476
2001-01-26 00:00:00,68.6772
2001-01-29 00:00:00,70.8321
2001-01-30 00:00:00,70.4967
2001-01-31 00:00:00,66.802
2001-02-01 00:00:00,64.0347
2001-02-02 00:00:00,56.6406
2001-02-05 00:00:00,58.7791
2001-02-06 00:00:00,61.9347
2001-02-07 00:00:00,56.4773
2001-02-08 00:00:00,54.7141
2001-02-09 00:00:00,51.125
2001-02-12 00:00:00,52.3787
2001-02-13 00:00:00,50.2641
2001-02-14 00:00:00,54.2815
2001-02-15 00:00:00,51.9725
2001-02-16 00:00:00,45.1405
2001-02-20 00:00:00,39.9696
2001-02-21 00:00:00,42.3336
2001-02-22 00:00:00,41.4081
2001-02-23 00:00:00,48.0199
2001-02-26 00:00:00,48.5395
2001-02-27 00:00:00,50.1363
2001-02-28 00:00:00,47.3454
