date,ADXR
2001-01-05 00:00:00,35.1792
2001-01-08 00:00:00,34.471
2001-01-09 00:00:00,33.9183
2001-01-10 00:00:00,33.1317
2001-01-11 00:00:00,32.6954
2001-01-12 00:00:00,32.3314
2001-01-16 00:00:00,32.0827
2001-01-17 00:00:00,31.7279
2001-01-18 00:00:00,31.4468
2001-01-19 00:00:00,31.3621
2001-01-22 00:00:00,31.1162
2001-01-23 00:00:00,31.0879
2001-01-24 00:00:00,31.061
2001-01-25 00:00:00,31.045
2001-01-26 00:00:00,30.7943
2001-01-29 00:00:00,30.8305
2001-01-30 00:00:00,30.8143
2001-01-31 00:00:00,30.4371
2001-02-01 00:00:00,29.7917
2001-02-02 00:00:00,29.0749
2001-02-05 00:00:00,28.1797
2001-02-06 00:00:00,27.5919
2001-02-07 00:00:00,26.8705
2001-02-08 00:00:00,26.5122
2001-02-09 00:00:00,25.8023
2001-02-12 00:00:00,25.1752
2001-02-13 00:00:00,24.5347
2001-02-14 00:00:00,24.0284
2001-02-15 00:00:00,23.8537
2001-02-16 00:00:00,23.4043
2001-02-20 00:00:00,23.0617
2001-02-21 00:00:00,22.8335
2001-02-22 00:00:00,22.5609
2001-02-23 00:00:00,22.1078
2001-02-26 00:00:00,22.138
2001-02-27 00:00:00,22.1999
2001-02-28 00:00:00,22.1811
2001-03-01 00:00:00,21.821
2001-03-02 00:00:00,21.7593
2001-03-05 00:00:00,21.5186
2001-03-06 00:00:00,21.6812
2001-03-07 00:00:00,21.7867
2001-03-08 00:00:00,21.8379
2001-03-09 00:00:00,21.4067
2001-03-12 00:00:00,20.6719
2001-03-13 00:00:00,20.0547
2001-03-14 00:00:00,19.4496
2001-03-15 00:00:00,19.204
2001-03-16 00:00:00,18.5786
2001-03-19 00:00:00,17.9205
2001-03-20 00:00:00,17.4518
2001-03-21 00:00:00,16.879
2001-03-22 00:00:00,16.4987
2001-03-23 00:00:00,16.5902
2001-03-26 00:00:00,16.4814
2001-03-27 00:00:00,16.2346
2001-03-28 00:00:00,15.8222
2001-03-29 00:00:00,15.8025
2001-03-30 00:00:00,15.7571
2001-04-02 00:00:00,15.9794
2001-04-03 00:00:00,15.8963
2001-04-04 00:00:00,15.692
2001-04-05 00:00:00,15.5523
2001-04-06 00:00:00,15.0752
2001-04-09 00:00:00,14.67
2001-04-10 00:00:00,14.5906
2001-04-11 00:00:00,14.7142
2001-04-12 00:00:00,14.6287
2001-04-16 00:00:00,14.5385
2001-04-17 00:00:00,14.2429
2001-04-18 00:00:00,14.3044
2001-04-19 00:00:00,14.7144
2001-04-20 00:00:00,15.3902
2001-04-23 00:00:00,15.7118
2001-04-24 00:00:00,15.9175
2001-04-25 00:00:00,16.0367
2001-04-26 00:00:00,16.4603
2001-04-27 00:00:00,16.8478
2001-04-30 00:00:00,17.3132
2001-05-01 00:00:00,17.461
2001-05-02 00:00:00,17.5789
2001-05-03 00:00:00,17.6069
2001-05-04 00:00:00,17.4427
2001-05-07 00:00:00,17.3348
2001-05-08 00:00:00,17.242
2001-05-09 00:00:00,17.1369
2001-05-10 00:00:00,16.8609
2001-05-11 00:00:00,16.4945
2001-05-14 00:00:00,15.9155
2001-05-15 00:00:00,16.1085
2001-05-16 00:00:00,16.4373
2001-05-17 00:00:00,16.7497
2001-05-18 00:00:00,16.8908
2001-05-21 00:00:00,16.9762
2001-05-22 00:00:00,17.1134
2001-05-23 00:00:00,17.2585
2001-05-24 00:00:00,17.3579
2001-05-25 00:00:00,17.5185
2001-05-29 00:00:00,17.7116
2001-05-30 00:00:00,18.1943
2001-05-31 00:00:00,18.404
2001-06-01 00:00:00,18.2229
2001-06-04 00:00:00,18.0461
2001-06-05 00:00:00,17.7061
2001-06-06 00:00:00,17.3286
2001-06-07 00:00:00,16.6232
2001-06-08 00:00:00,15.9151
2001-06-11 00:00:00,15.4538
2001-06-12 00:00:00,15.3857
2001-06-13 00:00:00,15.0055
2001-06-14 00:00:00,14.7123
2001-06-15 00:00:00,14.4994
2001-06-18 00:00:00,14.321
2001-06-19 00:00:00,14.0459
2001-06-20 00:00:00,13.6904
2001-06-21 00:00:00,13.5539
2001-06-22 00:00:00,13.3932
2001-06-25 00:00:00,13.4853
2001-06-26 00:00:00,13.8478
2001-06-27 00:00:00,14.0375
2001-06-28 00:00:00,14.009
2001-06-29 00:00:00,14.2216
2001-07-02 00:00:00,14.4263
2001-07-03 00:00:00,14.625
2001-07-05 00:00:00,14.4507
2001-07-06 00:00:00,13.9102
2001-07-09 00:00:00,13.5699
2001-07-10 00:00:00,13.3464
2001-07-11 00:00:00,12.8606
2001-07-12 00:00:00,12.7201
2001-07-13 00:00:00,12.7219
2001-07-16 00:00:00,12.7142
2001-07-17 00:00:00,12.3151
2001-07-18 00:00:00,12.12
2001-07-19 00:00:00,12.309
2001-07-20 00:00:00,12.531
2001-07-23 00:00:00,12.8393
2001-07-24 00:00:00,13.2638
2001-07-25 00:00:00,13.6315
2001-07-26 00:00:00,13.9992
2001-07-27 00:00:00,14.4744
2001-07-30 00:00:00,14.8775
2001-07-31 00:00:00,15.2441
2001-08-01 00:00:00,15.3289
2001-08-02 00:00:00,15.0093
2001-08-03 00:00:00,14.7607
2001-08-06 00:00:00,14.5829
2001-08-07 00:00:00,14.4185
2001-08-08 00:00:00,14.6155
2001-08-09 00:00:00,14.8412
2001-08-10 00:00:00,15.0121
2001-08-13 00:00:00,14.9263
2001-08-14 00:00:00,15.0067
2001-08-15 00:00:00,15.3171
2001-08-16 00:00:00,15.7118
2001-08-17 00:00:00,15.98
2001-08-20 00:00:00,16.4134
2001-08-21 00:00:00,16.9731
2001-08-22 00:00:00,17.4689
2001-08-23 00:00:00,17.7759
2001-08-24 00:00:00,17.8986
2001-08-27 00:00:00,17.6919
2001-08-28 00:00:00,17.3957
2001-08-29 00:00:00,17.2889
2001-08-30 00:00:00,17.4127
2001-08-31 00:00:00,17.3431
2001-09-04 00:00:00,17.0846
2001-09-05 00:00:00,16.9599
2001-09-06 00:00:00,16.999
2001-09-07 00:00:00,17.113
2001-09-10 00:00:00,17.2989
2001-09-17 00:00:00,17.7948
2001-09-18 00:00:00,18.1139
2001-09-19 00:00:00,18.6068
2001-09-20 00:00:00,19.0975
2001-09-21 00:00:00,19.7832
2001-09-24 00:00:00,20.2246
2001-09-25 00:00:00,20.7154
2001-09-26 00:00:00,21.2183
2001-09-27 00:00:00,21.5562
2001-09-28 00:00:00,21.502
2001-10-01 00:00:00,21.4852
2001-10-02 00:00:00,21.7437
2001-10-03 00:00:00,22.1702
2001-10-04 00:00:00,21.998
2001-10-05 00:00:00,21.6374
2001-10-08 00:00:00,21.2318
2001-10-09 00:00:00,21.0039
2001-10-10 00:00:00,20.6587
2001-10-11 00:00:00,20.3079
2001-10-12 00:00:00,20.3756
2001-10-15 00:00:00,20.2559
2001-10-16 00:00:00,20.2069
2001-10-17 00:00:00,20.002
2001-10-18 00:00:00,19.9799
2001-10-19 00:00:00,19.6794
2001-10-22 00:00:00,19.7397
2001-10-23 00:00:00,19.9844
2001-10-24 00:00:00,20.1701
2001-10-25 00:00:00,20.3281
2001-10-26 00:00:00,20.513
2001-10-29 00:00:00,20.4771
2001-10-30 00:00:00,20.628
2001-10-31 00:00:00,20.2378
2001-11-01 00:00:00,19.83
2001-11-02 00:00:00,19.3857
2001-11-05 00:00:00,19.0927
2001-11-06 00:00:00,18.6633
2001-11-07 00:00:00,18.3
2001-11-08 00:00:00,17.7737
2001-11-09 00:00:00,17.3567
2001-11-12 00:00:00,16.7516
2001-11-13 00:00:00,16.0063
2001-11-14 00:00:00,15.4616
2001-11-15 00:00:00,14.9034
2001-11-16 00:00:00,14.472
2001-11-19 00:00:00,14.2409
2001-11-20 00:00:00,14.0193
2001-11-21 00:00:00,13.7747
2001-11-23 00:00:00,13.5901
2001-11-26 00:00:00,13.5576
2001-11-27 00:00:00,13.701
2001-11-28 00:00:00,13.6587
2001-11-29 00:00:00,13.4949
2001-11-30 00:00:00,13.5509
2001-12-03 00:00:00,13.7331
2001-12-04 00:00:00,14.2961
2001-12-05 00:00:00,15.2187
2001-12-06 00:00:00,15.7964
2001-12-07 00:00:00,16.2803
2001-12-10 00:00:00,16.644
2001-12-11 00:00:00,16.761
2001-12-12 00:00:00,16.8809
2001-12-13 00:00:00,16.7275
2001-12-14 00:00:00,16.3256
2001-12-17 00:00:00,16.0588
2001-12-18 00:00:00,15.93
2001-12-19 00:00:00,15.8062
2001-12-20 00:00:00,15.7364
2001-12-21 00:00:00,16.1163
2001-12-24 00:00:00,16.4772
2001-12-26 00:00:00,16.992
2001-12-27 00:00:00,17.3945
2001-12-28 00:00:00,18.1249
2001-12-31 00:00:00,18.7602
2002-01-02 00:00:00,19.7687
2002-01-03 00:00:00,21.0498
2002-01-04 00:00:00,22.2911
2002-01-07 00:00:00,23.2978
2002-01-08 00:00:00,24.1631
2002-01-09 00:00:00,24.2663
2002-01-10 00:00:00,23.8775
2002-01-11 00:00:00,23.3424
2002-01-14 00:00:00,22.6992
2002-01-15 00:00:00,22.2302
2002-01-16 00:00:00,21.6366
2002-01-17 00:00:00,21.4976
2002-01-18 00:00:00,21.3656
2002-01-22 00:00:00,21.2113
2002-01-23 00:00:00,21.2258
2002-01-24 00:00:00,21.5509
2002-01-25 00:00:00,21.7748
2002-01-28 00:00:00,22.1814
2002-01-29 00:00:00,22.5089
2002-01-30 00:00:00,23.0928
2002-01-31 00:00:00,23.858
2002-02-01 00:00:00,24.668
2002-02-04 00:00:00,25.4317
2002-02-05 00:00:00,26.1045
2002-02-06 00:00:00,25.8927
2002-02-07 00:00:00,25.3334
2002-02-08 00:00:00,24.6496
2002-02-11 00:00:00,24.0859
2002-02-12 00:00:00,23.6603
2002-02-13 00:00:00,23.077
2002-02-14 00:00:00,22.7622
2002-02-15 00:00:00,22.2709
2002-02-19 00:00:00,21.6563
2002-02-20 00:00:00,21.2682
2002-02-21 00:00:00,21.2288
2002-02-22 00:00:00,21.1065
2002-02-25 00:00:00,20.6984
2002-02-26 00:00:00,20.3107
2002-02-27 00:00:00,20.4197
2002-02-28 00:00:00,20.6496
2002-03-01 00:00:00,20.6774
2002-03-04 00:00:00,20.6754
2002-03-05 00:00:00,20.7567
2002-03-06 00:00:00,20.4616
2002-03-07 00:00:00,20.1098
2002-03-08 00:00:00,19.6364
2002-03-11 00:00:00,19.2222
2002-03-12 00:00:00,18.8382
2002-03-13 00:00:00,18.5506
2002-03-14 00:00:00,18.0987
2002-03-15 00:00:00,17.5743
2002-03-18 00:00:00,16.9987
2002-03-19 00:00:00,16.5548
2002-03-20 00:00:00,16.3581
2002-03-21 00:00:00,16.1154
2002-03-22 00:00:00,15.4843
2002-03-25 00:00:00,15.0539
2002-03-26 00:00:00,15.0419
2002-03-27 00:00:00,15.0039
2002-03-28 00:00:00,14.6758
2002-04-01 00:00:00,14.0279
2002-04-02 00:00:00,13.4124
2002-04-03 00:00:00,12.8495
2002-04-04 00:00:00,12.3354
2002-04-05 00:00:00,12.004
2002-04-08 00:00:00,11.53
2002-04-09 00:00:00,11.1804
2002-04-10 00:00:00,10.8765
2002-04-11 00:00:00,10.5929
2002-04-12 00:00:00,10.3509
2002-04-15 00:00:00,10.1454
2002-04-16 00:00:00,10.2924
2002-04-17 00:00:00,10.4819
2002-04-18 00:00:00,10.3982
2002-04-19 00:00:00,10.2404
2002-04-22 00:00:00,9.9888
2002-04-23 00:00:00,9.8395
2002-04-24 00:00:00,9.8144
2002-04-25 00:00:00,9.7803
2002-04-26 00:00:00,9.7271
2002-04-29 00:00:00,9.6765
2002-04-30 00:00:00,9.5125
2002-05-01 00:00:00,9.5524
2002-05-02 00:00:00,9.6099
2002-05-03 00:00:00,9.6135
2002-05-06 00:00:00,10.0072
2002-05-07 00:00:00,10.4637
2002-05-08 00:00:00,10.3405
2002-05-09 00:00:00,10.154
2002-05-10 00:00:00,10.2114
2002-05-13 00:00:00,10.5509
2002-05-14 00:00:00,10.6174
2002-05-15 00:00:00,10.554
2002-05-16 00:00:00,10.4653
2002-05-17 00:00:00,10.2025
2002-05-20 00:00:00,9.9537
2002-05-21 00:00:00,9.767
2002-05-22 00:00:00,9.6564
2002-05-23 00:00:00,9.6878
2002-05-24 00:00:00,9.6841
2002-05-28 00:00:00,9.5476
2002-05-29 00:00:00,9.4745
2002-05-30 00:00:00,9.3824
2002-05-31 00:00:00,9.4256
2002-06-03 00:00:00,9.9635
2002-06-04 00:00:00,10.6653
2002-06-05 00:00:00,10.6945
2002-06-06 00:00:00,10.5943
2002-06-07 00:00:00,11.0277
2002-06-10 00:00:00,11.4501
2002-06-11 00:00:00,11.7567
2002-06-12 00:00:00,12.2238
2002-06-13 00:00:00,12.7439
2002-06-14 00:00:00,13.5333
2002-06-17 00:00:00,14.1494
2002-06-18 00:00:00,14.641
2002-06-19 00:00:00,15.5149
2002-06-20 00:00:00,16.3065
2002-06-21 00:00:00,17.0308
2002-06-24 00:00:00,17.6324
2002-06-25 00:00:00,18.1307
2002-06-26 00:00:00,18.7025
2002-06-27 00:00:00,19.3186
2002-06-28 00:00:00,19.8852
2002-07-01 00:00:00,20.5076
2002-07-02 00:00:00,21.1302
2002-07-03 00:00:00,21.3786
2002-07-05 00:00:00,21.5176
2002-07-08 00:00:00,21.6556
2002-07-09 00:00:00,22.0431
2002-07-10 00:00:00,22.5491
2002-07-11 00:00:00,23.1921
2002-07-12 00:00:00,23.8373
2002-07-15 00:00:00,24.4417
2002-07-16 00:00:00,25.0159
2002-07-17 00:00:00,26.3669
2002-07-18 00:00:00,27.712
2002-07-19 00:00:00,29.0247
2002-07-22 00:00:00,30.1706
2002-07-23 00:00:00,31.2831
2002-07-24 00:00:00,32.4654
2002-07-25 00:00:00,33.6227
2002-07-26 00:00:00,34.5258
2002-07-29 00:00:00,35.1029
2002-07-30 00:00:00,35.5101
2002-07-31 00:00:00,35.6818
2002-08-01 00:00:00,35.4884
2002-08-02 00:00:00,35.4045
2002-08-05 00:00:00,35.4224
2002-08-06 00:00:00,35.2437
2002-08-07 00:00:00,35.0748
2002-08-08 00:00:00,34.7366
2002-08-09 00:00:00,34.518
2002-08-12 00:00:00,34.3256
2002-08-13 00:00:00,34.4681
2002-08-14 00:00:00,34.5916
2002-08-15 00:00:00,34.5429
2002-08-16 00:00:00,34.3294
2002-08-19 00:00:00,34.0842
2002-08-20 00:00:00,33.9482
2002-08-21 00:00:00,33.7836
2002-08-22 00:00:00,33.6522
2002-08-23 00:00:00,33.3559
2002-08-26 00:00:00,33.0145
2002-08-27 00:00:00,32.8513
2002-08-28 00:00:00,32.7513
2002-08-29 00:00:00,32.7989
2002-08-30 00:00:00,32.8604
2002-09-03 00:00:00,32.8618
2002-09-04 00:00:00,32.668
2002-09-05 00:00:00,32.5166
2002-09-06 00:00:00,32.2041
2002-09-09 00:00:00,31.9532
2002-09-10 00:00:00,31.6309
2002-09-11 00:00:00,31.1898
2002-09-12 00:00:00,30.5891
2002-09-13 00:00:00,29.8907
2002-09-16 00:00:00,28.9766
2002-09-17 00:00:00,27.9202
2002-09-18 00:00:00,26.8122
2002-09-19 00:00:00,25.7776
2002-09-20 00:00:00,24.7937
2002-09-23 00:00:00,24.0144
2002-09-24 00:00:00,23.4665
2002-09-25 00:00:00,23.033
2002-09-26 00:00:00,22.6035
2002-09-27 00:00:00,22.1126
2002-09-30 00:00:00,21.9829
2002-10-01 00:00:00,21.8034
2002-10-02 00:00:00,21.6527
2002-10-03 00:00:00,21.3607
2002-10-04 00:00:00,21.1524
2002-10-07 00:00:00,21.1139
2002-10-08 00:00:00,21.229
2002-10-09 00:00:00,21.3516
2002-10-10 00:00:00,21.1898
2002-10-11 00:00:00,20.513
2002-10-14 00:00:00,19.7315
2002-10-15 00:00:00,19.1053
2002-10-16 00:00:00,18.3262
2002-10-17 00:00:00,17.5969
2002-10-18 00:00:00,16.9733
2002-10-21 00:00:00,16.2421
2002-10-22 00:00:00,15.6749
2002-10-23 00:00:00,15.1244
2002-10-24 00:00:00,14.6777
2002-10-25 00:00:00,14.5291
2002-10-28 00:00:00,14.6945
2002-10-29 00:00:00,14.6384
2002-10-30 00:00:00,14.8129
2002-10-31 00:00:00,15.044
2002-11-01 00:00:00,15.435
2002-11-04 00:00:00,16.3245
2002-11-05 00:00:00,17.1696
2002-11-06 00:00:00,17.7659
2002-11-07 00:00:00,17.4375
2002-11-08 00:00:00,17.0918
2002-11-11 00:00:00,16.7177
2002-11-12 00:00:00,16.2161
2002-11-13 00:00:00,15.8488
2002-11-14 00:00:00,15.6638
2002-11-15 00:00:00,15.3072
2002-11-18 00:00:00,14.8975
2002-11-19 00:00:00,14.3098
2002-11-20 00:00:00,13.8745
2002-11-21 00:00:00,13.9046
2002-11-22 00:00:00,14.1575
2002-11-25 00:00:00,14.106
2002-11-26 00:00:00,14.0424
2002-11-27 00:00:00,14.0092
2002-11-29 00:00:00,14.0054
2002-12-02 00:00:00,14.5018
2002-12-03 00:00:00,14.9734
2002-12-04 00:00:00,15.7864
2002-12-05 00:00:00,16.0024
2002-12-06 00:00:00,15.9873
2002-12-09 00:00:00,15.7762
2002-12-10 00:00:00,15.3392
2002-12-11 00:00:00,14.9142
2002-12-12 00:00:00,14.6856
2002-12-13 00:00:00,14.6418
2002-12-16 00:00:00,14.4879
2002-12-17 00:00:00,14.0295
2002-12-18 00:00:00,13.6778
2002-12-19 00:00:00,13.8595
2002-12-20 00:00:00,14.1697
2002-12-23 00:00:00,14.3639
2002-12-24 00:00:00,14.3309
2002-12-26 00:00:00,14.0447
2002-12-27 00:00:00,13.907
2002-12-30 00:00:00,14.0518
2002-12-31 00:00:00,14.0346
2003-01-02 00:00:00,13.9172
2003-01-03 00:00:00,13.7998
2003-01-06 00:00:00,13.6566
2003-01-07 00:00:00,13.4567
2003-01-08 00:00:00,12.9854
2003-01-09 00:00:00,12.4408
2003-01-10 00:00:00,11.9552
2003-01-13 00:00:00,11.7216
2003-01-14 00:00:00,11.5195
2003-01-15 00:00:00,11.4066
2003-01-16 00:00:00,11.3418
2003-01-17 00:00:00,11.5524
2003-01-21 00:00:00,11.9385
2003-01-22 00:00:00,12.4231
2003-01-23 00:00:00,12.7223
2003-01-24 00:00:00,12.973
2003-01-27 00:00:00,13.151
2003-01-28 00:00:00,13.2672
2003-01-29 00:00:00,13.2229
2003-01-30 00:00:00,12.786
2003-01-31 00:00:00,12.3018
2003-02-03 00:00:00,12.0037
2003-02-04 00:00:00,11.6302
2003-02-05 00:00:00,11.4511
2003-02-06 00:00:00,11.0508
2003-02-07 00:00:00,10.5674
2003-02-10 00:00:00,10.1452
2003-02-11 00:00:00,9.7833
2003-02-12 00:00:00,9.5773
2003-02-13 00:00:00,9.3686
2003-02-14 00:00:00,9.3063
2003-02-18 00:00:00,9.6553
2003-02-19 00:00:00,10.0711
2003-02-20 00:00:00,10.305
2003-02-21 00:00:00,10.8082
2003-02-24 00:00:00,10.6264
2003-02-25 00:00:00,10.2898
2003-02-26 00:00:00,10.0409
2003-02-27 00:00:00,9.7721
2003-02-28 00:00:00,9.3865
2003-03-03 00:00:00,9.2973
2003-03-04 00:00:00,9.2582
2003-03-05 00:00:00,9.381
2003-03-06 00:00:00,9.4233
2003-03-07 00:00:00,9.2687
2003-03-10 00:00:00,9.1224
2003-03-11 00:00:00,9.1522
2003-03-12 00:00:00,9.2225
2003-03-13 00:00:00,8.9475
2003-03-14 00:00:00,8.761
2003-03-17 00:00:00,8.9888
2003-03-18 00:00:00,9.187
2003-03-19 00:00:00,9.4228
2003-03-20 00:00:00,9.5363
2003-03-21 00:00:00,9.3057
2003-03-24 00:00:00,9.1093
2003-03-25 00:00:00,8.968
2003-03-26 00:00:00,8.8858
2003-03-27 00:00:00,8.6166
2003-03-28 00:00:00,8.5117
2003-03-31 00:00:00,8.7357
2003-04-01 00:00:00,8.9485
2003-04-02 00:00:00,8.8913
2003-04-03 00:00:00,8.7309
2003-04-04 00:00:00,8.5859
2003-04-07 00:00:00,8.7697
2003-04-08 00:00:00,8.9439
2003-04-09 00:00:00,8.5988
2003-04-10 00:00:00,8.2886
2003-04-11 00:00:00,8.8269
2003-04-14 00:00:00,9.3538
2003-04-15 00:00:00,9.9905
2003-04-16 00:00:00,10.5772
2003-04-17 00:00:00,11.3378
2003-04-21 00:00:00,12.1164
2003-04-22 00:00:00,12.4428
2003-04-23 00:00:00,12.7965
2003-04-24 00:00:00,13.1713
2003-04-25 00:00:00,13.5274
2003-04-28 00:00:00,13.7947
2003-04-29 00:00:00,13.895
2003-04-30 00:00:00,13.5106
2003-05-01 00:00:00,13.1081
2003-05-02 00:00:00,12.5823
2003-05-05 00:00:00,13.0624
2003-05-06 00:00:00,13.7216
2003-05-07 00:00:00,14.2763
2003-05-08 00:00:00,14.8032
2003-05-09 00:00:00,16.1588
2003-05-12 00:00:00,17.5118
2003-05-13 00:00:00,18.9282
2003-05-14 00:00:00,20.4258
2003-05-15 00:00:00,21.9228
2003-05-16 00:00:00,23.2128
2003-05-19 00:00:00,23.901
2003-05-20 00:00:00,24.2559
2003-05-21 00:00:00,24.7558
2003-05-22 00:00:00,25.3263
2003-05-23 00:00:00,25.5639
2003-05-27 00:00:00,25.7632
2003-05-28 00:00:00,25.8136
2003-05-29 00:00:00,25.6597
2003-05-30 00:00:00,25.1322
2003-06-02 00:00:00,25.2629
2003-06-03 00:00:00,25.49
2003-06-04 00:00:00,25.8256
