date,SMA
2000-10-12 00:00:00,38.778
2000-10-13 00:00:00,37.1195
2000-10-16 00:00:00,35.1615
2000-10-17 00:00:00,33.1705
2000-10-18 00:00:00,31.124
2000-10-19 00:00:00,29.2365
2000-10-20 00:00:00,27.602
2000-10-23 00:00:00,25.9455
2000-10-24 00:00:00,24.317
2000-10-25 00:00:00,22.795
2000-10-26 00:00:00,21.045
2000-10-27 00:00:00,20.6855
2000-10-30 00:00:00,20.4385
2000-10-31 00:00:00,20.301
2000-11-01 00:00:00,20.145
2000-11-02 00:00:00,20.1575
2000-11-03 00:00:00,20.1605
2000-11-06 00:00:00,20.145
2000-11-07 00:00:00,20.167
2000-11-08 00:00:00,20.189
2000-11-09 00:00:00,20.1985
2000-11-10 00:00:00,20.0485
2000-11-13 00:00:00,19.942
2000-11-14 00:00:00,19.9485
2000-11-15 00:00:00,19.936
2000-11-16 00:00:00,19.939
2000-11-17 00:00:00,19.889
2000-11-20 00:00:00,19.8175
2000-11-21 00:00:00,19.8145
2000-11-22 00:00:00,19.8145
2000-11-24 00:00:00,19.855
2000-11-27 00:00:00,19.8615
2000-11-28 00:00:00,19.7975
2000-11-29 00:00:00,19.6975
2000-11-30 00:00:00,19.4975
2000-12-01 00:00:00,19.235
2000-12-04 00:00:00,18.957
2000-12-05 00:00:00,18.735
2000-12-06 00:00:00,18.385
2000-12-07 00:00:00,18.0975
2000-12-08 00:00:00,17.841
2000-12-11 00:00:00,17.6475
2000-12-12 00:00:00,17.448
2000-12-13 00:00:00,17.1855
2000-12-14 00:00:00,16.914
2000-12-15 00:00:00,16.667
2000-12-18 00:00:00,16.4545
2000-12-19 00:00:00,16.2075
2000-12-20 00:00:00,15.986
2000-12-21 00:00:00,15.764
2000-12-22 00:00:00,15.5485
2000-12-26 00:00:00,15.3485
2000-12-27 00:00:00,15.1875
2000-12-28 00:00:00,15.05
2000-12-29 00:00:00,14.969
2001-01-02 00:00:00,14.86
2001-01-03 00:00:00,14.844
2001-01-04 00:00:00,14.847
2001-01-05 00:00:00,14.95
2001-01-08 00:00:00,15.0625
2001-01-09 00:00:00,15.169
2001-01-10 00:00:00,15.2375
2001-01-11 00:00:00,15.3685
2001-01-12 00:00:00,15.478
2001-01-16 00:00:00,15.612
2001-01-17 00:00:00,15.7495
2001-01-18 00:00:00,15.9715
2001-01-19 00:00:00,16.2465
2001-01-22 00:00:00,16.49
2001-01-23 00:00:00,16.812
2001-01-24 00:00:00,17.087
2001-01-25 00:00:00,17.3495
2001-01-26 00:00:00,17.587
2001-01-29 00:00:00,17.931
2001-01-30 00:00:00,18.2745
2001-01-31 00:00:00,18.6115
2001-02-01 00:00:00,18.849
2001-02-02 00:00:00,19.027
2001-02-05 00:00:00,19.218
2001-02-06 00:00:00,19.446
2001-02-07 00:00:00,19.624
2001-02-08 00:00:00,19.8335
2001-02-09 00:00:00,19.8895
2001-02-12 00:00:00,20.0145
2001-02-13 00:00:00,20.1145
2001-02-14 00:00:00,20.249
2001-02-15 00:00:00,20.3175
2001-02-16 00:00:00,20.2925
2001-02-20 00:00:00,20.2455
2001-02-21 00:00:00,20.164
2001-02-22 00:00:00,20.0795
2001-02-23 00:00:00,20.023
2001-02-26 00:00:00,20.02
2001-02-27 00:00:00,19.904
2001-02-28 00:00:00,19.729
2001-03-01 00:00:00,19.5855
2001-03-02 00:00:00,19.492
2001-03-05 00:00:00,19.4795
2001-03-06 00:00:00,19.545
2001-03-07 00:00:00,19.5515
2001-03-08 00:00:00,19.5545
2001-03-09 00:00:00,19.5295
2001-03-12 00:00:00,19.5045
2001-03-13 00:00:00,19.498
2001-03-14 00:00:00,19.564
2001-03-15 00:00:00,19.5735
2001-03-16 00:00:00,19.5515
2001-03-19 00:00:00,19.6295
2001-03-20 00:00:00,19.6985
2001-03-21 00:00:00,19.761
2001-03-22 00:00:00,19.9015
2001-03-23 00:00:00,20.111
2001-03-26 00:00:00,20.225
2001-03-27 00:00:00,20.4
