date,HT_DCPHASE
2000-12-07 00:00:00,-8.6952
2000-12-08 00:00:00,-10.0358
2000-12-11 00:00:00,-11.6637
2000-12-12 00:00:00,-9.7588
2000-12-13 00:00:00,-6.5366
2000-12-14 00:00:00,-4.033
2000-12-15 00:00:00,-0.8985
2000-12-18 00:00:00,0.8577
2000-12-19 00:00:00,2.2728
2000-12-20 00:00:00,3.7773
2000-12-21 00:00:00,3.8246
2000-12-22 00:00:00,6.1138
2000-12-26 00:00:00,10.4391
2000-12-27 00:00:00,17.1644
2000-12-28 00:00:00,21.8077
2000-12-29 00:00:00,26.4973
2001-01-02 00:00:00,29.0523
2001-01-03 00:00:00,32.4152
2001-01-04 00:00:00,36.7851
2001-01-05 00:00:00,47.8706
2001-01-08 00:00:00,56.9743
2001-01-09 00:00:00,71.0606
2001-01-10 00:00:00,76.3272
2001-01-11 00:00:00,81.3969
2001-01-12 00:00:00,92.0854
2001-01-16 00:00:00,96.9755
2001-01-17 00:00:00,108.2617
2001-01-18 00:00:00,119.7126
2001-01-19 00:00:00,135.6703
2001-01-22 00:00:00,149.8495
2001-01-23 00:00:00,154.8697
2001-01-24 00:00:00,160.3816
2001-01-25 00:00:00,161.0031
2001-01-26 00:00:00,162.0815
2001-01-29 00:00:00,165.1428
2001-01-30 00:00:00,165.3866
2001-01-31 00:00:00,168.2542
2001-02-01 00:00:00,173.4277
2001-02-02 00:00:00,177.6156
2001-02-05 00:00:00,180.6923
2001-02-06 00:00:00,183.718
2001-02-07 00:00:00,186.8763
2001-02-08 00:00:00,191.3678
2001-02-09 00:00:00,195.7445
2001-02-12 00:00:00,199.1437
2001-02-13 00:00:00,201.24
2001-02-14 00:00:00,204.8088
2001-02-15 00:00:00,209.8673
2001-02-16 00:00:00,217.1857
2001-02-20 00:00:00,225.7658
2001-02-21 00:00:00,230.0792
2001-02-22 00:00:00,238.0581
2001-02-23 00:00:00,246.8611
2001-02-26 00:00:00,255.9873
2001-02-27 00:00:00,265.6787
2001-02-28 00:00:00,283.4766
2001-03-01 00:00:00,295.7863
2001-03-02 00:00:00,309.1664
2001-03-05 00:00:00,-23.9311
2001-03-06 00:00:00,-16.1466
2001-03-07 00:00:00,3.0154
2001-03-08 00:00:00,21.3132
2001-03-09 00:00:00,41.2902
2001-03-12 00:00:00,46.0872
2001-03-13 00:00:00,62.7827
2001-03-14 00:00:00,79.4027
2001-03-15 00:00:00,83.4928
2001-03-16 00:00:00,102.212
2001-03-19 00:00:00,124.6322
2001-03-20 00:00:00,139.9056
2001-03-21 00:00:00,155.7013
2001-03-22 00:00:00,178.1675
2001-03-23 00:00:00,185.7556
2001-03-26 00:00:00,190.5496
2001-03-27 00:00:00,185.0391
2001-03-28 00:00:00,158.9632
2001-03-29 00:00:00,146.9197
2001-03-30 00:00:00,142.7234
