date,TEMA
2000-12-01 00:00:00,18.0293
2000-12-04 00:00:00,17.7252
2000-12-05 00:00:00,17.5657
2000-12-06 00:00:00,16.7465
2000-12-07 00:00:00,16.0867
2000-12-08 00:00:00,15.7547
2000-12-11 00:00:00,15.5318
2000-12-12 00:00:00,15.4138
2000-12-13 00:00:00,15.2335
2000-12-14 00:00:00,14.9551
2000-12-15 00:00:00,14.6432
2000-12-18 00:00:00,14.4519
2000-12-19 00:00:00,14.2455
2000-12-20 00:00:00,14.19
2000-12-21 00:00:00,14.0758
2000-12-22 00:00:00,14.2399
2000-12-26 00:00:00,14.3061
2000-12-27 00:00:00,14.4023
2000-12-28 00:00:00,14.4903
2000-12-29 00:00:00,14.5887
2001-01-02 00:00:00,14.6759
2001-01-03 00:00:00,15.1394
2001-01-04 00:00:00,15.7013
2001-01-05 00:00:00,15.9825
2001-01-08 00:00:00,16.2597
2001-01-09 00:00:00,16.6461
2001-01-10 00:00:00,16.7933
2001-01-11 00:00:00,17.2801
2001-01-12 00:00:00,17.4598
2001-01-16 00:00:00,17.5786
2001-01-17 00:00:00,17.5848
2001-01-18 00:00:00,18.0669
2001-01-19 00:00:00,18.66
2001-01-22 00:00:00,19.0668
2001-01-23 00:00:00,19.708
2001-01-24 00:00:00,20.2148
2001-01-25 00:00:00,20.4641
2001-01-26 00:00:00,20.5484
2001-01-29 00:00:00,21.1488
2001-01-30 00:00:00,21.6339
2001-01-31 00:00:00,21.9737
2001-02-01 00:00:00,22.0976
2001-02-02 00:00:00,22.0448
2001-02-05 00:00:00,21.8668
2001-02-06 00:00:00,21.9408
2001-02-07 00:00:00,21.8855
2001-02-08 00:00:00,21.8212
2001-02-09 00:00:00,21.3284
2001-02-12 00:00:00,21.0578
2001-02-13 00:00:00,20.6765
2001-02-14 00:00:00,20.4533
2001-02-15 00:00:00,20.4084
2001-02-16 00:00:00,20.0907
2001-02-20 00:00:00,19.6468
2001-02-21 00:00:00,19.4265
2001-02-22 00:00:00,19.2301
2001-02-23 00:00:00,19.0703
2001-02-26 00:00:00,19.1204
2001-02-27 00:00:00,19.1298
2001-02-28 00:00:00,18.849
2001-03-01 00:00:00,18.7516
2001-03-02 00:00:00,18.8051
2001-03-05 00:00:00,19.1431
2001-03-06 00:00:00,19.7152
2001-03-07 00:00:00,20.1187
2001-03-08 00:00:00,20.3323
2001-03-09 00:00:00,20.3579
2001-03-12 00:00:00,19.9517
2001-03-13 00:00:00,19.86
2001-03-14 00:00:00,20.0116
2001-03-15 00:00:00,19.9396
2001-03-16 00:00:00,19.8608
2001-03-19 00:00:00,20.0391
2001-03-20 00:00:00,19.9581
2001-03-21 00:00:00,20.002
2001-03-22 00:00:00,20.4257
2001-03-23 00:00:00,21.1282
2001-03-26 00:00:00,21.3816
2001-03-27 00:00:00,21.8644
2001-03-28 00:00:00,22.0691
2001-03-29 00:00:00,22.3198
