date,T3
2001-02-26 00:00:00,20.4282
2001-02-27 00:00:00,20.4298
2001-02-28 00:00:00,20.4138
2001-03-01 00:00:00,20.3824
2001-03-02 00:00:00,20.3396
2001-03-05 00:00:00,20.293
2001-03-06 00:00:00,20.252
2001-03-07 00:00:00,20.2216
2001-03-08 00:00:00,20.2032
2001-03-09 00:00:00,20.1946
2001-03-12 00:00:00,20.1881
2001-03-13 00:00:00,20.1818
2001-03-14 00:00:00,20.1779
2001-03-15 00:00:00,20.1746
2001-03-16 00:00:00,20.1707
2001-03-19 00:00:00,20.1688
2001-03-20 00:00:00,20.1673
2001-03-21 00:00:00,20.1665
2001-03-22 00:00:00,20.1725
2001-03-23 00:00:00,20.1938
2001-03-26 00:00:00,20.2307
2001-03-27 00:00:00,20.2866
2001-03-28 00:00:00,20.3598
2001-03-29 00:00:00,20.4495
2001-03-30 00:00:00,20.5524
2001-04-02 00:00:00,20.6633
2001-04-03 00:00:00,20.773
2001-04-04 00:00:00,20.8725
2001-04-05 00:00:00,20.9611
2001-04-06 00:00:00,21.0374
2001-04-09 00:00:00,21.1009
2001-04-10 00:00:00,21.1571
2001-04-11 00:00:00,21.209
2001-04-12 00:00:00,21.2609
2001-04-16 00:00:00,21.3116
2001-04-17 00:00:00,21.3565
2001-04-18 00:00:00,21.4014
2001-04-19 00:00:00,21.4613
2001-04-20 00:00:00,21.5422
2001-04-23 00:00:00,21.6439
2001-04-24 00:00:00,21.764
2001-04-25 00:00:00,21.9021
2001-04-26 00:00:00,22.0567
2001-04-27 00:00:00,22.2308
2001-04-30 00:00:00,22.4224
2001-05-01 00:00:00,22.6303
2001-05-02 00:00:00,22.8545
2001-05-03 00:00:00,23.0874
2001-05-04 00:00:00,23.3258
2001-05-07 00:00:00,23.5635
2001-05-08 00:00:00,23.7942
2001-05-09 00:00:00,24.0111
2001-05-10 00:00:00,24.206
2001-05-11 00:00:00,24.3733
2001-05-14 00:00:00,24.5119
2001-05-15 00:00:00,24.6215
2001-05-16 00:00:00,24.7064
2001-05-17 00:00:00,24.7683
2001-05-18 00:00:00,24.809
2001-05-21 00:00:00,24.8308
2001-05-22 00:00:00,24.8358
2001-05-23 00:00:00,24.8249
2001-05-24 00:00:00,24.7996
2001-05-25 00:00:00,24.7598
2001-05-29 00:00:00,24.7014
2001-05-30 00:00:00,24.6164
2001-05-31 00:00:00,24.5018
2001-06-01 00:00:00,24.3608
2001-06-04 00:00:00,24.1965
2001-06-05 00:00:00,24.0136
2001-06-06 00:00:00,23.8158
2001-06-07 00:00:00,23.6104
2001-06-08 00:00:00,23.402
2001-06-11 00:00:00,23.1894
2001-06-12 00:00:00,22.9739
2001-06-13 00:00:00,22.7577
2001-06-14 00:00:00,22.5406
2001-06-15 00:00:00,22.3254
2001-06-18 00:00:00,22.1143
2001-06-19 00:00:00,21.9084
2001-06-20 00:00:00,21.7145
2001-06-21 00:00:00,21.5403
2001-06-22 00:00:00,21.3895
2001-06-25 00:00:00,21.2703
2001-06-26 00:00:00,21.1862
2001-06-27 00:00:00,21.1363
2001-06-28 00:00:00,21.1193
2001-06-29 00:00:00,21.1318
2001-07-02 00:00:00,21.1725
2001-07-03 00:00:00,21.2387
2001-07-05 00:00:00,21.3249
2001-07-06 00:00:00,21.4218
2001-07-09 00:00:00,21.525
2001-07-10 00:00:00,21.6252
2001-07-11 00:00:00,21.7213
2001-07-12 00:00:00,21.8196
2001-07-13 00:00:00,21.9254
2001-07-16 00:00:00,22.0383
2001-07-17 00:00:00,22.1616
2001-07-18 00:00:00,22.2803
2001-07-19 00:00:00,22.3814
2001-07-20 00:00:00,22.4569
2001-07-23 00:00:00,22.501
2001-07-24 00:00:00,22.5097
2001-07-25 00:00:00,22.4795
2001-07-26 00:00:00,22.4109
2001-07-27 00:00:00,22.3076
2001-07-30 00:00:00,22.1741
2001-07-31 00:00:00,22.0146
2001-08-01 00:00:00,21.8348
2001-08-02 00:00:00,21.6428
2001-08-03 00:00:00,21.444
2001-08-06 00:00:00,21.2416
2001-08-07 00:00:00,21.0387
2001-08-08 00:00:00,20.8371
2001-08-09 00:00:00,20.6388
2001-08-10 00:00:00,20.4457
2001-08-13 00:00:00,20.2596
2001-08-14 00:00:00,20.0805
2001-08-15 00:00:00,19.9078
2001-08-16 00:00:00,19.742
2001-08-17 00:00:00,19.5814
2001-08-20 00:00:00,19.4256
2001-08-21 00:00:00,19.2736
2001-08-22 00:00:00,19.1265
2001-08-23 00:00:00,18.9834
2001-08-24 00:00:00,18.8473
2001-08-27 00:00:00,18.7213
2001-08-28 00:00:00,18.6055
2001-08-29 00:00:00,18.4979
2001-08-30 00:00:00,18.397
2001-08-31 00:00:00,18.3047
2001-09-04 00:00:00,18.2208
2001-09-05 00:00:00,18.1466
2001-09-06 00:00:00,18.0792
2001-09-07 00:00:00,18.0154
2001-09-10 00:00:00,17.9531
2001-09-17 00:00:00,17.89
2001-09-18 00:00:00,17.8222
2001-09-19 00:00:00,17.7501
2001-09-20 00:00:00,17.6699
2001-09-21 00:00:00,17.5796
2001-09-24 00:00:00,17.4817
2001-09-25 00:00:00,17.3751
2001-09-26 00:00:00,17.2583
2001-09-27 00:00:00,17.1328
2001-09-28 00:00:00,17.0005
2001-10-01 00:00:00,16.8633
2001-10-02 00:00:00,16.7216
2001-10-03 00:00:00,16.5761
2001-10-04 00:00:00,16.4312
2001-10-05 00:00:00,16.2914
2001-10-08 00:00:00,16.1602
2001-10-09 00:00:00,16.0389
2001-10-10 00:00:00,15.9317
2001-10-11 00:00:00,15.8443
2001-10-12 00:00:00,15.781
2001-10-15 00:00:00,15.7434
2001-10-16 00:00:00,15.7317
2001-10-17 00:00:00,15.7409
2001-10-18 00:00:00,15.7705
2001-10-19 00:00:00,15.8203
2001-10-22 00:00:00,15.8917
2001-10-23 00:00:00,15.9812
2001-10-24 00:00:00,16.0882
2001-10-25 00:00:00,16.2122
2001-10-26 00:00:00,16.3496
2001-10-29 00:00:00,16.4933
2001-10-30 00:00:00,16.6374
2001-10-31 00:00:00,16.7778
2001-11-01 00:00:00,16.9152
2001-11-02 00:00:00,17.0499
2001-11-05 00:00:00,17.1836
2001-11-06 00:00:00,17.319
2001-11-07 00:00:00,17.4573
2001-11-08 00:00:00,17.5956
2001-11-09 00:00:00,17.7315
2001-11-12 00:00:00,17.8631
2001-11-13 00:00:00,17.9915
2001-11-14 00:00:00,18.118
2001-11-15 00:00:00,18.2424
2001-11-16 00:00:00,18.3627
2001-11-19 00:00:00,18.481
2001-11-20 00:00:00,18.5968
2001-11-21 00:00:00,18.71
2001-11-23 00:00:00,18.8209
2001-11-26 00:00:00,18.9352
2001-11-27 00:00:00,19.0546
2001-11-28 00:00:00,19.178
2001-11-29 00:00:00,19.3033
2001-11-30 00:00:00,19.4323
2001-12-03 00:00:00,19.5643
2001-12-04 00:00:00,19.7034
2001-12-05 00:00:00,19.8566
2001-12-06 00:00:00,20.0236
2001-12-07 00:00:00,20.202
2001-12-10 00:00:00,20.389
2001-12-11 00:00:00,20.5789
2001-12-12 00:00:00,20.7661
2001-12-13 00:00:00,20.9444
2001-12-14 00:00:00,21.1074
2001-12-17 00:00:00,21.2519
2001-12-18 00:00:00,21.3778
2001-12-19 00:00:00,21.4876
2001-12-20 00:00:00,21.5798
2001-12-21 00:00:00,21.6554
2001-12-24 00:00:00,21.7166
2001-12-26 00:00:00,21.7661
2001-12-27 00:00:00,21.8081
2001-12-28 00:00:00,21.8468
2001-12-31 00:00:00,21.8831
2002-01-02 00:00:00,21.9226
2002-01-03 00:00:00,21.97
2002-01-04 00:00:00,22.0278
2002-01-07 00:00:00,22.0943
2002-01-08 00:00:00,22.1662
2002-01-09 00:00:00,22.2376
2002-01-10 00:00:00,22.3023
2002-01-11 00:00:00,22.3561
2002-01-14 00:00:00,22.3966
2002-01-15 00:00:00,22.4249
2002-01-16 00:00:00,22.4387
2002-01-17 00:00:00,22.4437
2002-01-18 00:00:00,22.4425
2002-01-22 00:00:00,22.4361
2002-01-23 00:00:00,22.4297
2002-01-24 00:00:00,22.4275
2002-01-25 00:00:00,22.4321
2002-01-28 00:00:00,22.445
2002-01-29 00:00:00,22.4657
2002-01-30 00:00:00,22.4975
2002-01-31 00:00:00,22.5441
2002-02-01 00:00:00,22.6058
2002-02-04 00:00:00,22.6855
