date,DCPERIOD
2000-10-26 00:00:00,25.4562
2000-10-27 00:00:00,25.4708
2000-10-30 00:00:00,25.5474
2000-10-31 00:00:00,25.6964
2000-11-01 00:00:00,25.9201
2000-11-02 00:00:00,26.164
2000-11-03 00:00:00,26.4071
2000-11-06 00:00:00,26.6858
2000-11-07 00:00:00,27.0428
2000-11-08 00:00:00,27.5514
2000-11-09 00:00:00,28.133
2000-11-10 00:00:00,28.6084
2000-11-13 00:00:00,28.8278
2000-11-14 00:00:00,28.6066
2000-11-15 00:00:00,28.039
2000-11-16 00:00:00,27.3938
2000-11-17 00:00:00,26.7427
2000-11-20 00:00:00,25.9641
2000-11-21 00:00:00,25.0259
2000-11-22 00:00:00,24.0453
2000-11-24 00:00:00,23.16
2000-11-27 00:00:00,22.4446
2000-11-28 00:00:00,21.8895
2000-11-29 00:00:00,21.4697
2000-11-30 00:00:00,21.158
2000-12-01 00:00:00,20.9319
2000-12-04 00:00:00,20.8236
2000-12-05 00:00:00,20.8586
2000-12-06 00:00:00,21.0358
2000-12-07 00:00:00,21.3614
2000-12-08 00:00:00,21.7175
2000-12-11 00:00:00,21.9852
2000-12-12 00:00:00,22.1993
2000-12-13 00:00:00,22.771
2000-12-14 00:00:00,23.5735
2000-12-15 00:00:00,24.246
2000-12-18 00:00:00,24.9984
2000-12-19 00:00:00,26.0336
2000-12-20 00:00:00,27.454
2000-12-21 00:00:00,29.0608
2000-12-22 00:00:00,29.9179
2000-12-26 00:00:00,29.8519
2000-12-27 00:00:00,29.3657
2000-12-28 00:00:00,28.9749
2000-12-29 00:00:00,29.238
2001-01-02 00:00:00,30.1519
2001-01-03 00:00:00,31.0483
2001-01-04 00:00:00,31.6462
2001-01-05 00:00:00,31.4573
2001-01-08 00:00:00,30.6539
2001-01-09 00:00:00,30.0349
2001-01-10 00:00:00,30.5699
2001-01-11 00:00:00,31.9729
2001-01-12 00:00:00,32.1546
2001-01-16 00:00:00,33.3495
2001-01-17 00:00:00,33.371
2001-01-18 00:00:00,32.6575
2001-01-19 00:00:00,31.9472
2001-01-22 00:00:00,31.3289
2001-01-23 00:00:00,30.6483
2001-01-24 00:00:00,30.2715
2001-01-25 00:00:00,30.6425
2001-01-26 00:00:00,31.9272
2001-01-29 00:00:00,32.0357
2001-01-30 00:00:00,33.1729
2001-01-31 00:00:00,33.162
2001-02-01 00:00:00,32.4329
2001-02-02 00:00:00,31.2703
2001-02-05 00:00:00,30.9743
2001-02-06 00:00:00,30.963
2001-02-07 00:00:00,30.5464
2001-02-08 00:00:00,30.0047
2001-02-09 00:00:00,30.2125
2001-02-12 00:00:00,31.3627
2001-02-13 00:00:00,33.2092
2001-02-14 00:00:00,33.8975
2001-02-15 00:00:00,33.5899
2001-02-16 00:00:00,32.6671
2001-02-20 00:00:00,32.1
2001-02-21 00:00:00,32.7414
2001-02-22 00:00:00,33.2485
2001-02-23 00:00:00,32.9191
2001-02-26 00:00:00,32.5652
2001-02-27 00:00:00,32.5094
2001-02-28 00:00:00,32.2889
2001-03-01 00:00:00,31.8729
2001-03-02 00:00:00,31.5283
2001-03-05 00:00:00,31.3373
2001-03-06 00:00:00,31.5841
2001-03-07 00:00:00,32.264
2001-03-08 00:00:00,32.1172
2001-03-09 00:00:00,31.3258
2001-03-12 00:00:00,31.7763
2001-03-13 00:00:00,31.3661
2001-03-14 00:00:00,30.4262
2001-03-15 00:00:00,30.7377
2001-03-16 00:00:00,30.2732
2001-03-19 00:00:00,29.3918
2001-03-20 00:00:00,28.992
2001-03-21 00:00:00,28.8517
2001-03-22 00:00:00,28.1356
2001-03-23 00:00:00,27.0747
2001-03-26 00:00:00,25.8211
2001-03-27 00:00:00,24.51
2001-03-28 00:00:00,23.2413
2001-03-29 00:00:00,22.0337
2001-03-30 00:00:00,20.9672
2001-04-02 00:00:00,20.1442
2001-04-03 00:00:00,19.4829
2001-04-04 00:00:00,18.8391
2001-04-05 00:00:00,18.2591
