date,ADX
2000-11-03 00:00:00,38.8566
2000-11-06 00:00:00,38.523
2000-11-07 00:00:00,38.2144
2000-11-08 00:00:00,38.0605
2000-11-09 00:00:00,38.0165
2000-11-10 00:00:00,37.9746
2000-11-13 00:00:00,38.0489
2000-11-14 00:00:00,37.9588
2000-11-15 00:00:00,37.9204
2000-11-16 00:00:00,37.9428
2000-11-17 00:00:00,38.0604
2000-11-20 00:00:00,38.0803
2000-11-21 00:00:00,38.0992
2000-11-22 00:00:00,38.1835
2000-11-24 00:00:00,38.1086
2000-11-27 00:00:00,37.8574
2000-11-28 00:00:00,37.7328
2000-11-29 00:00:00,37.7512
2000-11-30 00:00:00,37.9791
2000-12-01 00:00:00,37.9772
2000-12-04 00:00:00,38.0478
2000-12-05 00:00:00,38.0011
2000-12-06 00:00:00,38.3974
2000-12-07 00:00:00,38.774
2000-12-08 00:00:00,38.9317
2000-12-11 00:00:00,39.0484
2000-12-12 00:00:00,38.8642
2000-12-13 00:00:00,38.7165
2000-12-14 00:00:00,38.6773
2000-12-15 00:00:00,38.7397
2000-12-18 00:00:00,38.8128
2000-12-19 00:00:00,38.5489
2000-12-20 00:00:00,38.3946
2000-12-21 00:00:00,38.0472
2000-12-22 00:00:00,37.7173
2000-12-26 00:00:00,37.4038
2000-12-27 00:00:00,37.1251
2000-12-28 00:00:00,36.7777
2000-12-29 00:00:00,36.4081
2001-01-02 00:00:00,35.8895
2001-01-03 00:00:00,34.5417
2001-01-04 00:00:00,33.197
2001-01-05 00:00:00,31.5844
2001-01-08 00:00:00,30.0103
2001-01-09 00:00:00,28.7883
2001-01-10 00:00:00,27.3992
2001-01-11 00:00:00,26.6742
2001-01-12 00:00:00,25.9854
2001-01-16 00:00:00,25.4256
2001-01-17 00:00:00,24.643
2001-01-18 00:00:00,24.3447
2001-01-19 00:00:00,24.3297
2001-01-22 00:00:00,24.1853
2001-01-23 00:00:00,24.4586
2001-01-24 00:00:00,24.7183
2001-01-25 00:00:00,24.9649
2001-01-26 00:00:00,24.8109
2001-01-29 00:00:00,25.2528
2001-01-30 00:00:00,25.7391
2001-01-31 00:00:00,26.3324
2001-02-01 00:00:00,26.3863
2001-02-02 00:00:00,26.5654
2001-02-05 00:00:00,26.3491
2001-02-06 00:00:00,26.3955
2001-02-07 00:00:00,26.3418
2001-02-08 00:00:00,26.3502
2001-02-09 00:00:00,25.6192
2001-02-12 00:00:00,24.9248
2001-02-13 00:00:00,24.4265
2001-02-14 00:00:00,23.7121
2001-02-15 00:00:00,23.3777
2001-02-16 00:00:00,22.6234
2001-02-20 00:00:00,21.6647
2001-02-21 00:00:00,20.9487
2001-02-22 00:00:00,20.1569
2001-02-23 00:00:00,19.4046
2001-02-26 00:00:00,19.0232
2001-02-27 00:00:00,18.6608
