date,EMA
2000-10-09 00:00:00,39.0618
2000-10-10 00:00:00,37.3293
2000-10-11 00:00:00,35.6427
2000-10-12 00:00:00,34.1529
2000-10-13 00:00:00,33.0012
2000-10-16 00:00:00,31.9058
2000-10-17 00:00:00,30.7834
2000-10-18 00:00:00,29.7678
2000-10-19 00:00:00,28.7366
2000-10-20 00:00:00,27.8569
2000-10-23 00:00:00,27.1439
2000-10-24 00:00:00,26.3559
2000-10-25 00:00:00,25.6077
2000-10-26 00:00:00,24.9308
2000-10-27 00:00:00,24.324
2000-10-30 00:00:00,23.8465
2000-10-31 00:00:00,23.4383
2000-11-01 00:00:00,23.1584
2000-11-02 00:00:00,23.0776
2000-11-03 00:00:00,22.9988
2000-11-06 00:00:00,22.8504
2000-11-07 00:00:00,22.7037
2000-11-08 00:00:00,22.4519
2000-11-09 00:00:00,22.2365
2000-11-10 00:00:00,21.9339
2000-11-13 00:00:00,21.6898
2000-11-14 00:00:00,21.5526
2000-11-15 00:00:00,21.3924
2000-11-16 00:00:00,21.1645
2000-11-17 00:00:00,20.9108
2000-11-20 00:00:00,20.7231
2000-11-21 00:00:00,20.5409
2000-11-22 00:00:00,20.3465
2000-11-24 00:00:00,20.2478
2000-11-27 00:00:00,20.0994
2000-11-28 00:00:00,19.9023
2000-11-29 00:00:00,19.6793
2000-11-30 00:00:00,19.3765
2000-12-01 00:00:00,19.1559
2000-12-04 00:00:00,18.921
2000-12-05 00:00:00,18.7381
2000-12-06 00:00:00,18.3163
2000-12-07 00:00:00,17.9348
2000-12-08 00:00:00,17.661
2000-12-11 00:00:00,17.4257
2000-12-12 00:00:00,17.2308
2000-12-13 00:00:00,17.0184
2000-12-14 00:00:00,16.7728
2000-12-15 00:00:00,16.5145
2000-12-18 00:00:00,16.2988
2000-12-19 00:00:00,16.0799
2000-12-20 00:00:00,15.918
2000-12-21 00:00:00,15.741
2000-12-22 00:00:00,15.6704
2000-12-26 00:00:00,15.5771
2000-12-27 00:00:00,15.504
2000-12-28 00:00:00,15.4379
2000-12-29 00:00:00,15.3848
2001-01-02 00:00:00,15.3367
2001-01-03 00:00:00,15.4351
2001-01-04 00:00:00,15.5899
2001-01-05 00:00:00,15.6642
2001-01-08 00:00:00,15.7495
2001-01-09 00:00:00,15.8867
2001-01-10 00:00:00,15.9508
2001-01-11 00:00:00,16.146
2001-01-12 00:00:00,16.2454
2001-01-16 00:00:00,16.3287
2001-01-17 00:00:00,16.3745
2001-01-18 00:00:00,16.5951
2001-01-19 00:00:00,16.8717
2001-01-22 00:00:00,17.0982
2001-01-23 00:00:00,17.4222
2001-01-24 00:00:00,17.7153
2001-01-25 00:00:00,17.9272
2001-01-26 00:00:00,18.0827
2001-01-29 00:00:00,18.4263
2001-01-30 00:00:00,18.7428
2001-01-31 00:00:00,19.0168
2001-02-01 00:00:00,19.2171
2001-02-02 00:00:00,19.3507
2001-02-05 00:00:00,19.4307
2001-02-06 00:00:00,19.5915
2001-02-07 00:00:00,19.7019
2001-02-08 00:00:00,19.8017
2001-02-09 00:00:00,19.7368
2001-02-12 00:00:00,19.7323
2001-02-13 00:00:00,19.674
2001-02-14 00:00:00,19.6574
2001-02-15 00:00:00,19.6958
2001-02-16 00:00:00,19.6295
2001-02-20 00:00:00,19.5038
2001-02-21 00:00:00,19.4435
2001-02-22 00:00:00,19.3831
2001-02-23 00:00:00,19.3286
2001-02-26 00:00:00,19.3449
2001-02-27 00:00:00,19.3473
2001-02-28 00:00:00,19.2428
2001-03-01 00:00:00,19.1958
2001-03-02 00:00:00,19.201
2001-03-05 00:00:00,19.3123
2001-03-06 00:00:00,19.5207
2001-03-07 00:00:00,19.6854
2001-03-08 00:00:00,19.7925
2001-03-09 00:00:00,19.8361
2001-03-12 00:00:00,19.7202
2001-03-13 00:00:00,19.705
2001-03-14 00:00:00,19.775
2001-03-15 00:00:00,19.7669
2001-03-16 00:00:00,19.7529
2001-03-19 00:00:00,19.8298
2001-03-20 00:00:00,19.8165
2001-03-21 00:00:00,19.8454
2001-03-22 00:00:00,20.0144
2001-03-23 00:00:00,20.2987
2001-03-26 00:00:00,20.4398
2001-03-27 00:00:00,20.6712
2001-03-28 00:00:00,20.814
2001-03-29 00:00:00,20.9774
2001-03-30 00:00:00,21.0815
2001-04-02 00:00:00,21.1299
2001-04-03 00:00:00,21.0451
2001-04-04 00:00:00,20.898
2001-04-05 00:00:00,20.8953
2001-04-06 00:00:00,20.8662
2001-04-09 00:00:00,20.8352
2001-04-10 00:00:00,20.9499
2001-04-11 00:00:00,21.0309
2001-04-12 00:00:00,21.1632
2001-04-16 00:00:00,21.1895
2001-04-17 00:00:00,21.1143
2001-04-18 00:00:00,21.2739
2001-04-19 00:00:00,21.6974
2001-04-20 00:00:00,22.0157
2001-04-23 00:00:00,22.2285
2001-04-24 00:00:00,22.4001
2001-04-25 00:00:00,22.621
2001-04-26 00:00:00,22.8181
2001-04-27 00:00:00,23.1402
2001-04-30 00:00:00,23.3639
2001-05-01 00:00:00,23.6083
2001-05-02 00:00:00,23.8923
2001-05-03 00:00:00,23.994
2001-05-04 00:00:00,24.1612
2001-05-07 00:00:00,24.2373
2001-05-08 00:00:00,24.269
2001-05-09 00:00:00,24.2415
2001-05-10 00:00:00,24.1232
2001-05-11 00:00:00,24.002
2001-05-14 00:00:00,23.9342
2001-05-15 00:00:00,23.8623
2001-05-16 00:00:00,23.885
2001-05-17 00:00:00,23.8531
2001-05-18 00:00:00,23.8223
2001-05-21 00:00:00,23.7973
2001-05-22 00:00:00,23.769
2001-05-23 00:00:00,23.7177
2001-05-24 00:00:00,23.6684
2001-05-25 00:00:00,23.5819
2001-05-29 00:00:00,23.3807
2001-05-30 00:00:00,23.0378
2001-05-31 00:00:00,22.7437
2001-06-01 00:00:00,22.5672
2001-06-04 00:00:00,22.3855
2001-06-05 00:00:00,22.2479
2001-06-06 00:00:00,22.1033
2001-06-07 00:00:00,22.0611
2001-06-08 00:00:00,21.9905
2001-06-11 00:00:00,21.8047
2001-06-12 00:00:00,21.6624
2001-06-13 00:00:00,21.5488
2001-06-14 00:00:00,21.3899
2001-06-15 00:00:00,21.2994
2001-06-18 00:00:00,21.2071
2001-06-19 00:00:00,21.1102
2001-06-20 00:00:00,21.1635
2001-06-21 00:00:00,21.2899
2001-06-22 00:00:00,21.3823
2001-06-25 00:00:00,21.6306
2001-06-26 00:00:00,21.8325
2001-06-27 00:00:00,21.976
2001-06-28 00:00:00,22.125
2001-06-29 00:00:00,22.2321
2001-07-02 00:00:00,22.391
2001-07-03 00:00:00,22.529
2001-07-05 00:00:00,22.5919
2001-07-06 00:00:00,22.5384
2001-07-09 00:00:00,22.5538
2001-07-10 00:00:00,22.4192
2001-07-11 00:00:00,22.4307
2001-07-12 00:00:00,22.6144
2001-07-13 00:00:00,22.8273
2001-07-16 00:00:00,22.9352
2001-07-17 00:00:00,23.1414
2001-07-18 00:00:00,22.9174
2001-07-19 00:00:00,22.6358
