date,MFI
2000-10-09 00:00:00,18.6327
2000-10-10 00:00:00,18.5325
2000-10-11 00:00:00,18.3718
2000-10-12 00:00:00,21.8025
2000-10-13 00:00:00,25.4385
2000-10-16 00:00:00,24.7034
2000-10-17 00:00:00,22.5099
2000-10-18 00:00:00,20.4505
2000-10-19 00:00:00,20.4663
2000-10-20 00:00:00,23.425
2000-10-23 00:00:00,22.0072
2000-10-24 00:00:00,21.9934
2000-10-25 00:00:00,22.2507
2000-10-26 00:00:00,15.4004
2000-10-27 00:00:00,25.1122
2000-10-30 00:00:00,31.4161
2000-10-31 00:00:00,38.9235
2000-11-01 00:00:00,44.9861
2000-11-02 00:00:00,49.8997
2000-11-03 00:00:00,53.7448
2000-11-06 00:00:00,54.5108
2000-11-07 00:00:00,55.9505
2000-11-08 00:00:00,58.8144
2000-11-09 00:00:00,53.361
2000-11-10 00:00:00,47.0129
2000-11-13 00:00:00,41.7265
2000-11-14 00:00:00,45.6979
2000-11-15 00:00:00,47.8109
2000-11-16 00:00:00,53.1444
2000-11-17 00:00:00,47.5346
2000-11-20 00:00:00,46.6692
2000-11-21 00:00:00,51.9941
2000-11-22 00:00:00,53.9826
2000-11-24 00:00:00,58.7905
2000-11-27 00:00:00,53.7087
2000-11-28 00:00:00,48.5272
2000-11-29 00:00:00,39.8844
2000-11-30 00:00:00,31.8907
2000-12-01 00:00:00,28.9703
2000-12-04 00:00:00,21.962
2000-12-05 00:00:00,28.8613
2000-12-06 00:00:00,26.4142
2000-12-07 00:00:00,26.8798
2000-12-08 00:00:00,31.6765
2000-12-11 00:00:00,35.7139
2000-12-12 00:00:00,40.3416
2000-12-13 00:00:00,35.4705
2000-12-14 00:00:00,35.8965
2000-12-15 00:00:00,35.2227
2000-12-18 00:00:00,39.4308
2000-12-19 00:00:00,38.4201
2000-12-20 00:00:00,33.7314
2000-12-21 00:00:00,37.4442
2000-12-22 00:00:00,38.1393
2000-12-26 00:00:00,38.613
2000-12-27 00:00:00,38.6619
2000-12-28 00:00:00,43.1373
2000-12-29 00:00:00,51.4895
2001-01-02 00:00:00,51.5382
2001-01-03 00:00:00,58.3356
2001-01-04 00:00:00,59.0717
2001-01-05 00:00:00,65.0239
2001-01-08 00:00:00,64.8848
2001-01-09 00:00:00,65.8315
2001-01-10 00:00:00,59.9771
2001-01-11 00:00:00,62.2207
2001-01-12 00:00:00,61.3152
2001-01-16 00:00:00,64.2925
2001-01-17 00:00:00,61.437
2001-01-18 00:00:00,65.3972
2001-01-19 00:00:00,67.1991
2001-01-22 00:00:00,66.5158
2001-01-23 00:00:00,68.6281
2001-01-24 00:00:00,70.1142
2001-01-25 00:00:00,67.9368
2001-01-26 00:00:00,66.4946
2001-01-29 00:00:00,68.4372
2001-01-30 00:00:00,69.178
2001-01-31 00:00:00,70.328
2001-02-01 00:00:00,66.485
2001-02-02 00:00:00,62.1637
2001-02-05 00:00:00,62.4454
2001-02-06 00:00:00,65.5486
2001-02-07 00:00:00,61.8775
2001-02-08 00:00:00,66.3085
2001-02-09 00:00:00,61.1166
2001-02-12 00:00:00,61.6398
2001-02-13 00:00:00,61.5235
2001-02-14 00:00:00,63.7699
2001-02-15 00:00:00,60.9865
2001-02-16 00:00:00,56.5725
2001-02-20 00:00:00,57.7313
2001-02-21 00:00:00,55.4044
2001-02-22 00:00:00,49.3482
2001-02-23 00:00:00,50.5657
2001-02-26 00:00:00,54.4919
2001-02-27 00:00:00,47.1004
2001-02-28 00:00:00,39.1062
2001-03-01 00:00:00,30.744
2001-03-02 00:00:00,36.1581
2001-03-05 00:00:00,41.3648
2001-03-06 00:00:00,48.984
2001-03-07 00:00:00,42.8484
2001-03-08 00:00:00,43.955
2001-03-09 00:00:00,37.097
2001-03-12 00:00:00,38.2226
2001-03-13 00:00:00,43.4209
2001-03-14 00:00:00,45.3081
2001-03-15 00:00:00,51.0263
2001-03-16 00:00:00,45.9321
2001-03-19 00:00:00,49.9446
2001-03-20 00:00:00,48.6348
2001-03-21 00:00:00,48.6508
2001-03-22 00:00:00,55.7561
2001-03-23 00:00:00,62.6744
2001-03-26 00:00:00,56.6561
2001-03-27 00:00:00,61.2079
2001-03-28 00:00:00,60.1738
2001-03-29 00:00:00,64.4862
2001-03-30 00:00:00,60.495
2001-04-02 00:00:00,57.1769
2001-04-03 00:00:00,51.793
2001-04-04 00:00:00,50.6892
2001-04-05 00:00:00,53.8589
2001-04-06 00:00:00,53.7121
2001-04-09 00:00:00,56.7598
2001-04-10 00:00:00,57.0652
2001-04-11 00:00:00,56.6425
2001-04-12 00:00:00,55.7953
2001-04-16 00:00:00,56.6263
2001-04-17 00:00:00,51.4358
2001-04-18 00:00:00,59.0249
2001-04-19 00:00:00,65.0735
2001-04-20 00:00:00,65.3426
2001-04-23 00:00:00,59.1578
2001-04-24 00:00:00,60.8457
2001-04-25 00:00:00,60.1814
2001-04-26 00:00:00,66.331
2001-04-27 00:00:00,66.0495
2001-04-30 00:00:00,69.9859
2001-05-01 00:00:00,73.2466
2001-05-02 00:00:00,76.3368
2001-05-03 00:00:00,78.0316
2001-05-04 00:00:00,75.063
2001-05-07 00:00:00,77.0698
2001-05-08 00:00:00,74.1848
2001-05-09 00:00:00,70.8245
2001-05-10 00:00:00,68.0295
2001-05-11 00:00:00,65.881
2001-05-14 00:00:00,68.5053
2001-05-15 00:00:00,73.2485
2001-05-16 00:00:00,67.718
2001-05-17 00:00:00,56.55
2001-05-18 00:00:00,50.8505
2001-05-21 00:00:00,58.0565
2001-05-22 00:00:00,63.6409
2001-05-23 00:00:00,59.3759
2001-05-24 00:00:00,51.5804
2001-05-25 00:00:00,46.377
2001-05-29 00:00:00,37.9632
2001-05-30 00:00:00,29.3121
2001-05-31 00:00:00,22.8593
2001-06-01 00:00:00,28.9403
2001-06-04 00:00:00,33.1621
2001-06-05 00:00:00,37.3454
2001-06-06 00:00:00,38.1151
2001-06-07 00:00:00,42.87
2001-06-08 00:00:00,42.7338
2001-06-11 00:00:00,42.3722
2001-06-12 00:00:00,37.9747
2001-06-13 00:00:00,39.9123
2001-06-14 00:00:00,40.3505
2001-06-15 00:00:00,45.8255
2001-06-18 00:00:00,49.2532
2001-06-19 00:00:00,47.8822
2001-06-20 00:00:00,47.6688
2001-06-21 00:00:00,52.1674
2001-06-22 00:00:00,56.1795
2001-06-25 00:00:00,60.1727
2001-06-26 00:00:00,65.9754
2001-06-27 00:00:00,68.9079
2001-06-28 00:00:00,74.5695
2001-06-29 00:00:00,75.0407
2001-07-02 00:00:00,71.4444
2001-07-03 00:00:00,70.0642
2001-07-05 00:00:00,70.5712
2001-07-06 00:00:00,65.9291
2001-07-09 00:00:00,70.9628
2001-07-10 00:00:00,69.732
2001-07-11 00:00:00,74.5755
2001-07-12 00:00:00,75.2589
2001-07-13 00:00:00,79.7102
2001-07-16 00:00:00,75.1817
2001-07-17 00:00:00,76.4697
2001-07-18 00:00:00,65.7141
2001-07-19 00:00:00,58.2046
2001-07-20 00:00:00,53.9802
2001-07-23 00:00:00,53.6027
2001-07-24 00:00:00,49.2207
2001-07-25 00:00:00,45.4326
2001-07-26 00:00:00,45.8871
2001-07-27 00:00:00,45.356
2001-07-30 00:00:00,43.0446
2001-07-31 00:00:00,43.288
2001-08-01 00:00:00,44.2677
2001-08-02 00:00:00,46.6071
2001-08-03 00:00:00,47.404
2001-08-06 00:00:00,44.6291
2001-08-07 00:00:00,47.9167
2001-08-08 00:00:00,43.1471
2001-08-09 00:00:00,36.6393
2001-08-10 00:00:00,33.3615
2001-08-13 00:00:00,36.2491
2001-08-14 00:00:00,27.4054
2001-08-15 00:00:00,31.987
2001-08-16 00:00:00,35.8687
2001-08-17 00:00:00,37.7548
2001-08-20 00:00:00,32.832
2001-08-21 00:00:00,34.0355
2001-08-22 00:00:00,39.638
2001-08-23 00:00:00,41.009
2001-08-24 00:00:00,40.2928
2001-08-27 00:00:00,39.339
2001-08-28 00:00:00,39.9451
2001-08-29 00:00:00,33.2922
2001-08-30 00:00:00,26.4915
2001-08-31 00:00:00,31.2723
2001-09-04 00:00:00,37.1526
2001-09-05 00:00:00,39.5711
2001-09-06 00:00:00,39.6376
2001-09-07 00:00:00,39.446
2001-09-10 00:00:00,34.7741
2001-09-17 00:00:00,30.0935
2001-09-18 00:00:00,35.384
2001-09-19 00:00:00,35.0844
2001-09-20 00:00:00,34.6311
2001-09-21 00:00:00,32.9393
2001-09-24 00:00:00,37.4819
2001-09-25 00:00:00,36.5877
2001-09-26 00:00:00,32.3167
2001-09-27 00:00:00,36.4367
2001-09-28 00:00:00,36.6561
2001-10-01 00:00:00,33.7482
2001-10-02 00:00:00,33.6303
2001-10-03 00:00:00,31.9575
2001-10-04 00:00:00,37.3239
2001-10-05 00:00:00,38.0732
2001-10-08 00:00:00,36.4291
2001-10-09 00:00:00,31.792
2001-10-10 00:00:00,36.2909
2001-10-11 00:00:00,40.8623
2001-10-12 00:00:00,45.3836
2001-10-15 00:00:00,51.2365
2001-10-16 00:00:00,47.1471
2001-10-17 00:00:00,47.6639
2001-10-18 00:00:00,55.4316
2001-10-19 00:00:00,61.2236
2001-10-22 00:00:00,62.1006
2001-10-23 00:00:00,58.5206
