date,ADOSC
2000-08-29 00:00:00,2741050.9976
2000-08-30 00:00:00,3225867.992
2000-08-31 00:00:00,4471982.3996
2000-09-01 00:00:00,5812868.6209
2000-09-05 00:00:00,4480949.3079
2000-09-06 00:00:00,2111250.2762
2000-09-07 00:00:00,1864408.7468
2000-09-08 00:00:00,752775.714
2000-09-11 00:00:00,-541710.3593
2000-09-12 00:00:00,-1566582.7755
2000-09-13 00:00:00,-2001481.7348
2000-09-14 00:00:00,-4335090.0294
2000-09-15 00:00:00,-6022117.6563
2000-09-18 00:00:00,-3828970.3152
2000-09-19 00:00:00,-1931627.9207
2000-09-20 00:00:00,-37773.0961
2000-09-21 00:00:00,-252906.9741
2000-09-22 00:00:00,2964954.2418
2000-09-25 00:00:00,3608948.8779
2000-09-26 00:00:00,1950127.282
2000-09-27 00:00:00,-490423.3056
2000-09-28 00:00:00,3514043.3614
2000-09-29 00:00:00,-28506989.2681
2000-10-02 00:00:00,-46433455.3404
2000-10-03 00:00:00,-60136955.1456
2000-10-04 00:00:00,-53098231.8708
2000-10-05 00:00:00,-50113813.1611
2000-10-06 00:00:00,-43547607.216
2000-10-09 00:00:00,-37853229.9461
2000-10-10 00:00:00,-34511404.2824
2000-10-11 00:00:00,-33194187.0114
2000-10-12 00:00:00,-31239119.9887
2000-10-13 00:00:00,-20911188.0087
2000-10-16 00:00:00,-18800718.0857
2000-10-17 00:00:00,-18340285.8165
2000-10-18 00:00:00,-15602263.712
2000-10-19 00:00:00,-14433525.9682
2000-10-20 00:00:00,-13617884.1999
2000-10-23 00:00:00,-9976640.7083
2000-10-24 00:00:00,-11884562.1987
2000-10-25 00:00:00,-14753606.6086
2000-10-26 00:00:00,-12700011.8331
2000-10-27 00:00:00,-10513079.6302
2000-10-30 00:00:00,-8876323.923
2000-10-31 00:00:00,-9312500.6862
2000-11-01 00:00:00,-7066934.6016
2000-11-02 00:00:00,-2781961.7996
2000-11-03 00:00:00,-1992673.1397
2000-11-06 00:00:00,-2267921.8571
2000-11-07 00:00:00,-2174348.8909
2000-11-08 00:00:00,-3600978.8463
2000-11-09 00:00:00,-2314450.4102
2000-11-10 00:00:00,-3976893.2854
2000-11-13 00:00:00,-3608467.7993
2000-11-14 00:00:00,-2041935.5423
2000-11-15 00:00:00,-703438.8443
2000-11-16 00:00:00,-1075802.1378
2000-11-17 00:00:00,-2397889.1998
2000-11-20 00:00:00,-2479622.9252
2000-11-21 00:00:00,-3728773.7288
2000-11-22 00:00:00,-4942179.3246
2000-11-24 00:00:00,-4578470.1864
2000-11-27 00:00:00,-5095843.3376
2000-11-28 00:00:00,-6113694.109
2000-11-29 00:00:00,-7135029.3083
2000-11-30 00:00:00,-7531480.0932
2000-12-01 00:00:00,-7612443.5217
2000-12-04 00:00:00,-7657162.483
2000-12-05 00:00:00,-6359895.2308
2000-12-06 00:00:00,-8218615.4248
2000-12-07 00:00:00,-8918311.8498
2000-12-08 00:00:00,-7341151.4731
2000-12-11 00:00:00,-5575147.7305
2000-12-12 00:00:00,-4872578.224
2000-12-13 00:00:00,-5410169.4162
2000-12-14 00:00:00,-6634382.2297
2000-12-15 00:00:00,-8944364.9764
2000-12-18 00:00:00,-9264034.8835
2000-12-19 00:00:00,-10677664.8561
2000-12-20 00:00:00,-8679216.6761
2000-12-21 00:00:00,-8487027.2683
2000-12-22 00:00:00,-5829742.7589
2000-12-26 00:00:00,-3999165.0876
2000-12-27 00:00:00,-1037491.0323
2000-12-28 00:00:00,1286779.862
2000-12-29 00:00:00,3982994.3313
2001-01-02 00:00:00,4537672.1756
2001-01-03 00:00:00,7674010.8333
2001-01-04 00:00:00,5301240.5097
2001-01-05 00:00:00,2614567.4614
2001-01-08 00:00:00,1686111.1655
2001-01-09 00:00:00,1710703.7869
2001-01-10 00:00:00,1775877.5035
2001-01-11 00:00:00,4178136.4731
2001-01-12 00:00:00,3040863.084
2001-01-16 00:00:00,893811.0353
2001-01-17 00:00:00,-2048976.4406
