date,KAMA
2000-10-10 00:00:00,31.5996
2000-10-11 00:00:00,29.5438
2000-10-12 00:00:00,27.9837
2000-10-13 00:00:00,27.1802
2000-10-16 00:00:00,26.0206
2000-10-17 00:00:00,24.8036
2000-10-18 00:00:00,23.7586
2000-10-19 00:00:00,22.732
2000-10-20 00:00:00,22.1239
2000-10-23 00:00:00,21.7815
2000-10-24 00:00:00,21.2193
2000-10-25 00:00:00,20.717
2000-10-26 00:00:00,20.1025
2000-10-27 00:00:00,19.958
2000-10-30 00:00:00,19.9214
2000-10-31 00:00:00,19.9108
2000-11-01 00:00:00,19.9318
2000-11-02 00:00:00,19.9449
2000-11-03 00:00:00,19.9553
2000-11-06 00:00:00,19.9639
2000-11-07 00:00:00,19.973
2000-11-08 00:00:00,19.9736
2000-11-09 00:00:00,19.9748
2000-11-10 00:00:00,19.9396
2000-11-13 00:00:00,19.9251
2000-11-14 00:00:00,19.9267
2000-11-15 00:00:00,19.9264
2000-11-16 00:00:00,19.9222
2000-11-17 00:00:00,19.9047
2000-11-20 00:00:00,19.8877
2000-11-21 00:00:00,19.8827
2000-11-22 00:00:00,19.877
2000-11-24 00:00:00,19.8707
2000-11-27 00:00:00,19.8648
2000-11-28 00:00:00,19.8354
2000-11-29 00:00:00,19.7773
2000-11-30 00:00:00,19.567
2000-12-01 00:00:00,19.2786
2000-12-04 00:00:00,18.9656
2000-12-05 00:00:00,18.7878
2000-12-06 00:00:00,18.1808
2000-12-07 00:00:00,17.7369
2000-12-08 00:00:00,17.4997
2000-12-11 00:00:00,17.3498
2000-12-12 00:00:00,17.214
2000-12-13 00:00:00,16.9635
2000-12-14 00:00:00,16.6695
2000-12-15 00:00:00,16.3899
2000-12-18 00:00:00,16.2012
2000-12-19 00:00:00,15.9476
2000-12-20 00:00:00,15.8013
2000-12-21 00:00:00,15.6385
2000-12-22 00:00:00,15.5825
2000-12-26 00:00:00,15.5098
2000-12-27 00:00:00,15.4655
2000-12-28 00:00:00,15.4302
2000-12-29 00:00:00,15.4135
2001-01-02 00:00:00,15.3872
2001-01-03 00:00:00,15.3943
2001-01-04 00:00:00,15.4021
2001-01-05 00:00:00,15.4501
2001-01-08 00:00:00,15.5105
2001-01-09 00:00:00,15.5968
2001-01-10 00:00:00,15.6222
2001-01-11 00:00:00,15.7456
2001-01-12 00:00:00,15.8007
2001-01-16 00:00:00,15.8721
2001-01-17 00:00:00,15.9253
2001-01-18 00:00:00,16.1788
2001-01-19 00:00:00,16.5756
2001-01-22 00:00:00,16.8431
2001-01-23 00:00:00,17.3512
2001-01-24 00:00:00,17.7348
2001-01-25 00:00:00,17.9755
2001-01-26 00:00:00,18.1181
2001-01-29 00:00:00,18.5673
2001-01-30 00:00:00,18.9671
2001-01-31 00:00:00,19.2853
2001-02-01 00:00:00,19.4269
2001-02-02 00:00:00,19.4882
2001-02-05 00:00:00,19.5293
2001-02-06 00:00:00,19.641
2001-02-07 00:00:00,19.6966
2001-02-08 00:00:00,19.7686
2001-02-09 00:00:00,19.7598
2001-02-12 00:00:00,19.7575
2001-02-13 00:00:00,19.7421
2001-02-14 00:00:00,19.7338
2001-02-15 00:00:00,19.7395
2001-02-16 00:00:00,19.7337
2001-02-20 00:00:00,19.7167
2001-02-21 00:00:00,19.6986
2001-02-22 00:00:00,19.6789
2001-02-23 00:00:00,19.6657
2001-02-26 00:00:00,19.6649
2001-02-27 00:00:00,19.6523
2001-02-28 00:00:00,19.5588
2001-03-01 00:00:00,19.5203
2001-03-02 00:00:00,19.513
2001-03-05 00:00:00,19.5181
2001-03-06 00:00:00,19.5502
2001-03-07 00:00:00,19.5588
2001-03-08 00:00:00,19.5645
2001-03-09 00:00:00,19.5699
2001-03-12 00:00:00,19.5624
2001-03-13 00:00:00,19.5624
2001-03-14 00:00:00,19.5761
2001-03-15 00:00:00,19.5767
2001-03-16 00:00:00,19.577
2001-03-19 00:00:00,19.5954
2001-03-20 00:00:00,19.597
2001-03-21 00:00:00,19.6048
2001-03-22 00:00:00,19.6713
2001-03-23 00:00:00,19.8381
2001-03-26 00:00:00,19.8809
2001-03-27 00:00:00,19.9846
2001-03-28 00:00:00,20.0757
2001-03-29 00:00:00,20.1742
2001-03-30 00:00:00,20.2265
2001-04-02 00:00:00,20.243
2001-04-03 00:00:00,20.243
2001-04-04 00:00:00,20.2309
2001-04-05 00:00:00,20.2338
2001-04-06 00:00:00,20.2358
2001-04-09 00:00:00,20.2416
2001-04-10 00:00:00,20.285
2001-04-11 00:00:00,20.3056
2001-04-12 00:00:00,20.3664
2001-04-16 00:00:00,20.3847
2001-04-17 00:00:00,20.3848
2001-04-18 00:00:00,20.452
2001-04-19 00:00:00,20.7248
2001-04-20 00:00:00,20.8469
2001-04-23 00:00:00,20.8834
2001-04-24 00:00:00,20.944
2001-04-25 00:00:00,21.0047
2001-04-26 00:00:00,21.0907
2001-04-27 00:00:00,21.2655
2001-04-30 00:00:00,21.3952
2001-05-01 00:00:00,21.5864
2001-05-02 00:00:00,21.9744
2001-05-03 00:00:00,22.1461
2001-05-04 00:00:00,22.3304
2001-05-07 00:00:00,22.4412
2001-05-08 00:00:00,22.5197
2001-05-09 00:00:00,22.544
2001-05-10 00:00:00,22.5488
2001-05-11 00:00:00,22.5507
2001-05-14 00:00:00,22.5626
2001-05-15 00:00:00,22.5791
2001-05-16 00:00:00,22.5994
2001-05-17 00:00:00,22.6251
2001-05-18 00:00:00,22.6423
2001-05-21 00:00:00,22.6515
2001-05-22 00:00:00,22.6587
2001-05-23 00:00:00,22.6709
2001-05-24 00:00:00,22.6821
2001-05-25 00:00:00,22.6878
2001-05-29 00:00:00,22.583
2001-05-30 00:00:00,22.1835
2001-05-31 00:00:00,21.7949
2001-06-01 00:00:00,21.7164
2001-06-04 00:00:00,21.5731
2001-06-05 00:00:00,21.5094
2001-06-06 00:00:00,21.4343
2001-06-07 00:00:00,21.444
2001-06-08 00:00:00,21.4402
2001-06-11 00:00:00,21.3662
2001-06-12 00:00:00,21.3039
2001-06-13 00:00:00,21.2613
2001-06-14 00:00:00,21.116
2001-06-15 00:00:00,21.0718
2001-06-18 00:00:00,21.0218
2001-06-19 00:00:00,20.9622
2001-06-20 00:00:00,20.9806
2001-06-21 00:00:00,20.9962
2001-06-22 00:00:00,21.0118
2001-06-25 00:00:00,21.0544
2001-06-26 00:00:00,21.1372
2001-06-27 00:00:00,21.283
2001-06-28 00:00:00,21.4337
2001-06-29 00:00:00,21.5062
2001-07-02 00:00:00,21.6478
2001-07-03 00:00:00,21.7615
2001-07-05 00:00:00,21.8172
2001-07-06 00:00:00,21.8187
2001-07-09 00:00:00,21.8349
2001-07-10 00:00:00,21.8249
2001-07-11 00:00:00,21.8448
2001-07-12 00:00:00,21.97
2001-07-13 00:00:00,22.1777
2001-07-16 00:00:00,22.2532
2001-07-17 00:00:00,22.4222
2001-07-18 00:00:00,22.4112
2001-07-19 00:00:00,22.3775
2001-07-20 00:00:00,22.327
2001-07-23 00:00:00,22.2635
2001-07-24 00:00:00,22.0936
2001-07-25 00:00:00,21.8839
2001-07-26 00:00:00,21.7165
2001-07-27 00:00:00,21.5852
2001-07-30 00:00:00,21.4662
2001-07-31 00:00:00,21.3073
2001-08-01 00:00:00,21.1882
2001-08-02 00:00:00,21.1437
2001-08-03 00:00:00,21.1036
2001-08-06 00:00:00,21.0278
2001-08-07 00:00:00,20.9926
2001-08-08 00:00:00,20.8888
2001-08-09 00:00:00,20.6924
2001-08-10 00:00:00,20.4711
2001-08-13 00:00:00,20.3177
2001-08-14 00:00:00,20.0058
2001-08-15 00:00:00,19.8686
2001-08-16 00:00:00,19.8157
2001-08-17 00:00:00,19.7026
2001-08-20 00:00:00,19.629
2001-08-21 00:00:00,19.5642
2001-08-22 00:00:00,19.5519
2001-08-23 00:00:00,19.5116
2001-08-24 00:00:00,19.5011
2001-08-27 00:00:00,19.4986
2001-08-28 00:00:00,19.4874
2001-08-29 00:00:00,19.4371
2001-08-30 00:00:00,19.3246
2001-08-31 00:00:00,19.3062
2001-09-04 00:00:00,19.283
2001-09-05 00:00:00,19.2707
2001-09-06 00:00:00,19.2278
2001-09-07 00:00:00,19.141
2001-09-10 00:00:00,19.0701
2001-09-17 00:00:00,18.9601
2001-09-18 00:00:00,18.7937
2001-09-19 00:00:00,18.7449
2001-09-20 00:00:00,18.5512
2001-09-21 00:00:00,18.4142
2001-09-24 00:00:00,18.3587
2001-09-25 00:00:00,18.2436
2001-09-26 00:00:00,18.0659
2001-09-27 00:00:00,17.9671
2001-09-28 00:00:00,17.8085
2001-10-01 00:00:00,17.6293
2001-10-02 00:00:00,17.4274
2001-10-03 00:00:00,17.2645
2001-10-04 00:00:00,17.2172
2001-10-05 00:00:00,17.1649
2001-10-08 00:00:00,17.1261
2001-10-09 00:00:00,17.0635
2001-10-10 00:00:00,17.0597
2001-10-11 00:00:00,17.0657
2001-10-12 00:00:00,17.076
2001-10-15 00:00:00,17.0914
2001-10-16 00:00:00,17.1232
2001-10-17 00:00:00,17.1226
2001-10-18 00:00:00,17.1684
2001-10-19 00:00:00,17.2341
2001-10-22 00:00:00,17.3378
2001-10-23 00:00:00,17.3854
2001-10-24 00:00:00,17.54
2001-10-25 00:00:00,17.6982
2001-10-26 00:00:00,17.7657
2001-10-29 00:00:00,17.7611
2001-10-30 00:00:00,17.7536
2001-10-31 00:00:00,17.7443
2001-11-01 00:00:00,17.7869
2001-11-02 00:00:00,17.8218
2001-11-05 00:00:00,17.8882
2001-11-06 00:00:00,18.0065
2001-11-07 00:00:00,18.0923
2001-11-08 00:00:00,18.1018
2001-11-09 00:00:00,18.1089
2001-11-12 00:00:00,18.117
2001-11-13 00:00:00,18.1432
2001-11-14 00:00:00,18.2219
2001-11-15 00:00:00,18.2558
2001-11-16 00:00:00,18.2645
2001-11-19 00:00:00,18.2936
2001-11-20 00:00:00,18.3257
2001-11-21 00:00:00,18.345
2001-11-23 00:00:00,18.3644
2001-11-26 00:00:00,18.5468
2001-11-27 00:00:00,18.7824
2001-11-28 00:00:00,18.9071
2001-11-29 00:00:00,19.0099
2001-11-30 00:00:00,19.1572
2001-12-03 00:00:00,19.26
2001-12-04 00:00:00,19.4906
2001-12-05 00:00:00,19.8831
2001-12-06 00:00:00,20.0379
2001-12-07 00:00:00,20.2289
2001-12-10 00:00:00,20.4053
2001-12-11 00:00:00,20.4728
2001-12-12 00:00:00,20.505
2001-12-13 00:00:00,20.5143
2001-12-14 00:00:00,20.5127
2001-12-17 00:00:00,20.5151
2001-12-18 00:00:00,20.5222
2001-12-19 00:00:00,20.5564
2001-12-20 00:00:00,20.5579
2001-12-21 00:00:00,20.5644
2001-12-24 00:00:00,20.5678
2001-12-26 00:00:00,20.5756
2001-12-27 00:00:00,20.609
2001-12-28 00:00:00,20.6636
2001-12-31 00:00:00,20.6754
2002-01-02 00:00:00,20.7585
2002-01-03 00:00:00,20.806
2002-01-04 00:00:00,20.8197
2002-01-07 00:00:00,20.8306
2002-01-08 00:00:00,20.839
2002-01-09 00:00:00,20.8499
2002-01-10 00:00:00,20.8535
2002-01-11 00:00:00,20.8551
2002-01-14 00:00:00,20.8567
2002-01-15 00:00:00,20.875
2002-01-16 00:00:00,20.8745
2002-01-17 00:00:00,20.9064
