date,CCI
2000-09-29 00:00:00,-397.6177
2000-10-02 00:00:00,-291.4364
2000-10-03 00:00:00,-229.2045
2000-10-04 00:00:00,-175.2424
2000-10-05 00:00:00,-140.3808
2000-10-06 00:00:00,-119.6588
2000-10-09 00:00:00,-102.4981
2000-10-10 00:00:00,-91.7557
2000-10-11 00:00:00,-86.2958
2000-10-12 00:00:00,-76.8433
2000-10-13 00:00:00,-65.0963
2000-10-16 00:00:00,-57.2967
2000-10-17 00:00:00,-59.2494
2000-10-18 00:00:00,-58.7897
2000-10-19 00:00:00,-61.6776
2000-10-20 00:00:00,-56.6812
2000-10-23 00:00:00,-52.5382
2000-10-24 00:00:00,-59.9855
2000-10-25 00:00:00,-80.5929
2000-10-26 00:00:00,-118.2307
2000-10-27 00:00:00,-102.9139
2000-10-30 00:00:00,-62.7366
2000-10-31 00:00:00,-39.6794
2000-11-01 00:00:00,0.7016
2000-11-02 00:00:00,117.9154
2000-11-03 00:00:00,145.0256
2000-11-06 00:00:00,97.0615
2000-11-07 00:00:00,74.0527
2000-11-08 00:00:00,12.9945
2000-11-09 00:00:00,-21.5634
2000-11-10 00:00:00,-56.0597
2000-11-13 00:00:00,-59.6741
2000-11-14 00:00:00,10.6672
2000-11-15 00:00:00,-14.5723
2000-11-16 00:00:00,-58.2416
2000-11-17 00:00:00,-94.4135
2000-11-20 00:00:00,-70.2266
2000-11-21 00:00:00,-58.1536
2000-11-22 00:00:00,-83.2858
2000-11-24 00:00:00,-49.7874
2000-11-27 00:00:00,-65.2278
2000-11-28 00:00:00,-110.9177
2000-11-29 00:00:00,-136.4621
2000-11-30 00:00:00,-183.8658
2000-12-01 00:00:00,-142.6737
2000-12-04 00:00:00,-156.2049
2000-12-05 00:00:00,-128.135
2000-12-06 00:00:00,-235.1511
2000-12-07 00:00:00,-189.7543
2000-12-08 00:00:00,-137.2088
2000-12-11 00:00:00,-110.9712
2000-12-12 00:00:00,-86.2354
2000-12-13 00:00:00,-89.5752
2000-12-14 00:00:00,-98.0425
2000-12-15 00:00:00,-105.6501
2000-12-18 00:00:00,-93.6955
2000-12-19 00:00:00,-79.1459
2000-12-20 00:00:00,-80.2641
2000-12-21 00:00:00,-70.4477
2000-12-22 00:00:00,-48.047
2000-12-26 00:00:00,-47.4873
2000-12-27 00:00:00,-46.3481
2000-12-28 00:00:00,-35.3845
2000-12-29 00:00:00,-20.767
2001-01-02 00:00:00,1.2012
2001-01-03 00:00:00,147.8586
2001-01-04 00:00:00,358.6619
2001-01-05 00:00:00,186.8629
2001-01-08 00:00:00,143.1694
2001-01-09 00:00:00,165.0719
2001-01-10 00:00:00,98.1564
2001-01-11 00:00:00,146.685
2001-01-12 00:00:00,115.1029
2001-01-16 00:00:00,102.5427
2001-01-17 00:00:00,67.2242
2001-01-18 00:00:00,128.5625
2001-01-19 00:00:00,155.7029
2001-01-22 00:00:00,136.04
2001-01-23 00:00:00,169.0843
2001-01-24 00:00:00,153.606
2001-01-25 00:00:00,130.6281
2001-01-26 00:00:00,92.503
2001-01-29 00:00:00,140.8501
2001-01-30 00:00:00,143.5324
2001-01-31 00:00:00,138.7739
2001-02-01 00:00:00,94.5138
2001-02-02 00:00:00,84.7445
2001-02-05 00:00:00,44.6696
2001-02-06 00:00:00,68.0244
2001-02-07 00:00:00,46.4111
2001-02-08 00:00:00,50.5799
2001-02-09 00:00:00,-17.5649
2001-02-12 00:00:00,-29.5417
2001-02-13 00:00:00,-40.2166
2001-02-14 00:00:00,-85.9165
2001-02-15 00:00:00,-13.967
2001-02-16 00:00:00,-116.0226
2001-02-20 00:00:00,-153.0673
2001-02-21 00:00:00,-102.8403
2001-02-22 00:00:00,-112.982
2001-02-23 00:00:00,-104.5752
2001-02-26 00:00:00,-56.3188
2001-02-27 00:00:00,-56.8712
2001-02-28 00:00:00,-94.2528
2001-03-01 00:00:00,-122.526
2001-03-02 00:00:00,-17.8301
2001-03-05 00:00:00,67.9398
2001-03-06 00:00:00,193.5213
2001-03-07 00:00:00,164.925
2001-03-08 00:00:00,119.1797
2001-03-09 00:00:00,78.147
2001-03-12 00:00:00,-58.0844
2001-03-13 00:00:00,-33.498
2001-03-14 00:00:00,28.8352
2001-03-15 00:00:00,62.5867
2001-03-16 00:00:00,8.7284
