date,ROCR
2000-11-09 00:00:00,1.0095
2000-11-10 00:00:00,0.864
2000-11-13 00:00:00,0.9009
2000-11-14 00:00:00,1.0065
2000-11-15 00:00:00,0.9876
2000-11-16 00:00:00,1.0032
2000-11-17 00:00:00,0.9487
2000-11-20 00:00:00,0.9298
2000-11-21 00:00:00,0.9968
2000-11-22 00:00:00,1.0
2000-11-24 00:00:00,1.0438
2000-11-27 00:00:00,1.007
2000-11-28 00:00:00,0.9337
2000-11-29 00:00:00,0.8978
2000-11-30 00:00:00,0.8049
2000-12-01 00:00:00,0.7647
2000-12-04 00:00:00,0.7501
2000-12-05 00:00:00,0.7929
2000-12-06 00:00:00,0.6715
2000-12-07 00:00:00,0.7134
2000-12-08 00:00:00,0.7459
2000-12-11 00:00:00,0.797
2000-12-12 00:00:00,0.794
2000-12-13 00:00:00,0.7407
2000-12-14 00:00:00,0.7267
2000-12-15 00:00:00,0.74
2000-12-18 00:00:00,0.7703
2000-12-19 00:00:00,0.7392
2000-12-20 00:00:00,0.7645
2000-12-21 00:00:00,0.76
2000-12-22 00:00:00,0.7768
2000-12-26 00:00:00,0.786
2000-12-27 00:00:00,0.8214
2000-12-28 00:00:00,0.8434
2000-12-29 00:00:00,0.9018
2001-01-02 00:00:00,0.8722
2001-01-03 00:00:00,0.9808
2001-01-04 00:00:00,1.0035
2001-01-05 00:00:00,1.144
2001-01-08 00:00:00,1.1572
2001-01-09 00:00:00,1.1414
2001-01-10 00:00:00,1.0902
2001-01-11 00:00:00,1.1704
2001-01-12 00:00:00,1.146
2001-01-16 00:00:00,1.1856
2001-01-17 00:00:00,1.1956
2001-01-18 00:00:00,1.3116
2001-01-19 00:00:00,1.3929
2001-01-22 00:00:00,1.3387
2001-01-23 00:00:00,1.458
2001-01-24 00:00:00,1.3667
2001-01-25 00:00:00,1.3574
2001-01-26 00:00:00,1.3207
2001-01-29 00:00:00,1.4646
2001-01-30 00:00:00,1.4617
2001-01-31 00:00:00,1.453
2001-02-01 00:00:00,1.2902
2001-02-02 00:00:00,1.2087
2001-02-05 00:00:00,1.2334
2001-02-06 00:00:00,1.2754
2001-02-07 00:00:00,1.2071
2001-02-08 00:00:00,1.253
2001-02-09 00:00:00,1.0622
2001-02-12 00:00:00,1.1454
2001-02-13 00:00:00,1.1168
2001-02-14 00:00:00,1.16
2001-02-15 00:00:00,1.0733
2001-02-16 00:00:00,0.9744
2001-02-20 00:00:00,0.9512
2001-02-21 00:00:00,0.9205
2001-02-22 00:00:00,0.9176
2001-02-23 00:00:00,0.9433
2001-02-26 00:00:00,0.9969
2001-02-27 00:00:00,0.893
2001-02-28 00:00:00,0.8391
2001-03-01 00:00:00,0.8673
2001-03-02 00:00:00,0.9115
2001-03-05 00:00:00,0.9879
2001-03-06 00:00:00,1.0649
2001-03-07 00:00:00,1.0062
2001-03-08 00:00:00,1.0029
2001-03-09 00:00:00,0.9759
2001-03-12 00:00:00,0.9738
2001-03-13 00:00:00,0.9934
2001-03-14 00:00:00,1.069
2001-03-15 00:00:00,1.0097
2001-03-16 00:00:00,0.9781
2001-03-19 00:00:00,1.0821
2001-03-20 00:00:00,1.0754
2001-03-21 00:00:00,1.0662
2001-03-22 00:00:00,1.1494
2001-03-23 00:00:00,1.2228
2001-03-26 00:00:00,1.1169
2001-03-27 00:00:00,1.1807
2001-03-28 00:00:00,1.2148
2001-03-29 00:00:00,1.2016
2001-03-30 00:00:00,1.1465
2001-04-02 00:00:00,1.0599
2001-04-03 00:00:00,0.9414
2001-04-04 00:00:00,0.9176
2001-04-05 00:00:00,1.0029
2001-04-06 00:00:00,1.0168
2001-04-09 00:00:00,1.1031
2001-04-10 00:00:00,1.1268
2001-04-11 00:00:00,1.0665
2001-04-12 00:00:00,1.1386
2001-04-16 00:00:00,1.0928
2001-04-17 00:00:00,0.9922
2001-04-18 00:00:00,1.1574
2001-04-19 00:00:00,1.2783
2001-04-20 00:00:00,1.1582
2001-04-23 00:00:00,1.0543
2001-04-24 00:00:00,1.1033
2001-04-25 00:00:00,1.0809
2001-04-26 00:00:00,1.1137
2001-04-27 00:00:00,1.1629
2001-04-30 00:00:00,1.155
2001-05-01 00:00:00,1.201
2001-05-02 00:00:00,1.3137
2001-05-03 00:00:00,1.28
2001-05-04 00:00:00,1.2338
2001-05-07 00:00:00,1.2122
2001-05-08 00:00:00,1.1962
2001-05-09 00:00:00,1.088
2001-05-10 00:00:00,1.055
2001-05-11 00:00:00,1.0192
2001-05-14 00:00:00,1.0863
2001-05-15 00:00:00,1.1363
2001-05-16 00:00:00,1.0575
2001-05-17 00:00:00,0.9156
2001-05-18 00:00:00,0.9397
2001-05-21 00:00:00,0.9715
2001-05-22 00:00:00,0.9779
2001-05-23 00:00:00,0.9397
2001-05-24 00:00:00,0.9397
2001-05-25 00:00:00,0.8687
2001-05-29 00:00:00,0.8423
2001-05-30 00:00:00,0.7628
2001-05-31 00:00:00,0.7503
2001-06-01 00:00:00,0.8369
2001-06-04 00:00:00,0.8023
2001-06-05 00:00:00,0.8389
2001-06-06 00:00:00,0.8437
2001-06-07 00:00:00,0.9033
2001-06-08 00:00:00,0.927
2001-06-11 00:00:00,0.877
2001-06-12 00:00:00,0.872
2001-06-13 00:00:00,0.8831
2001-06-14 00:00:00,0.8249
2001-06-15 00:00:00,0.8679
2001-06-18 00:00:00,0.864
2001-06-19 00:00:00,0.857
2001-06-20 00:00:00,0.9221
2001-06-21 00:00:00,0.9681
2001-06-22 00:00:00,0.9595
2001-06-25 00:00:00,1.054
2001-06-26 00:00:00,1.1062
2001-06-27 00:00:00,1.18
2001-06-28 00:00:00,1.1799
2001-06-29 00:00:00,1.113
2001-07-02 00:00:00,1.1568
2001-07-03 00:00:00,1.1385
2001-07-05 00:00:00,1.1187
2001-07-06 00:00:00,1.0171
2001-07-09 00:00:00,1.0647
2001-07-10 00:00:00,1.0549
2001-07-11 00:00:00,1.1098
2001-07-12 00:00:00,1.19
2001-07-13 00:00:00,1.25
2001-07-16 00:00:00,1.1722
2001-07-17 00:00:00,1.2346
2001-07-18 00:00:00,1.0297
2001-07-19 00:00:00,0.9211
2001-07-20 00:00:00,0.8884
2001-07-23 00:00:00,0.8778
2001-07-24 00:00:00,0.7957
2001-07-25 00:00:00,0.7777
2001-07-26 00:00:00,0.7965
2001-07-27 00:00:00,0.8054
2001-07-30 00:00:00,0.8142
2001-07-31 00:00:00,0.7862
2001-08-01 00:00:00,0.7995
2001-08-02 00:00:00,0.8547
2001-08-03 00:00:00,0.8852
2001-08-06 00:00:00,0.8427
2001-08-07 00:00:00,0.9106
2001-08-08 00:00:00,0.8385
2001-08-09 00:00:00,0.782
2001-08-10 00:00:00,0.7654
2001-08-13 00:00:00,0.7967
2001-08-14 00:00:00,0.7462
2001-08-15 00:00:00,0.887
2001-08-16 00:00:00,0.9344
2001-08-17 00:00:00,0.9044
2001-08-20 00:00:00,0.9273
2001-08-21 00:00:00,0.9387
2001-08-22 00:00:00,0.9859
2001-08-23 00:00:00,0.958
2001-08-24 00:00:00,0.9794
2001-08-27 00:00:00,0.9995
2001-08-28 00:00:00,0.9792
2001-08-29 00:00:00,0.9355
2001-08-30 00:00:00,0.8996
2001-08-31 00:00:00,0.9513
2001-09-04 00:00:00,0.954
2001-09-05 00:00:00,0.9636
2001-09-06 00:00:00,0.9376
2001-09-07 00:00:00,0.9071
2001-09-10 00:00:00,0.9132
2001-09-17 00:00:00,0.89
2001-09-18 00:00:00,0.8692
2001-09-19 00:00:00,0.923
2001-09-20 00:00:00,0.8408
2001-09-21 00:00:00,0.8705
2001-09-24 00:00:00,0.9078
2001-09-25 00:00:00,0.8672
2001-09-26 00:00:00,0.832
2001-09-27 00:00:00,0.8709
2001-09-28 00:00:00,0.8352
2001-10-01 00:00:00,0.8214
2001-10-02 00:00:00,0.8179
2001-10-03 00:00:00,0.8402
2001-10-04 00:00:00,0.8906
2001-10-05 00:00:00,0.8701
2001-10-08 00:00:00,0.8877
2001-10-09 00:00:00,0.8625
2001-10-10 00:00:00,0.9492
2001-10-11 00:00:00,1.0266
2001-10-12 00:00:00,1.0368
2001-10-15 00:00:00,1.0589
2001-10-16 00:00:00,1.1063
2001-10-17 00:00:00,0.9982
2001-10-18 00:00:00,1.148
2001-10-19 00:00:00,1.1634
2001-10-22 00:00:00,1.1562
2001-10-23 00:00:00,1.1673
2001-10-24 00:00:00,1.2508
2001-10-25 00:00:00,1.2373
2001-10-26 00:00:00,1.2037
2001-10-29 00:00:00,1.1345
2001-10-30 00:00:00,1.1694
2001-10-31 00:00:00,1.1722
2001-11-01 00:00:00,1.1707
2001-11-02 00:00:00,1.1506
2001-11-05 00:00:00,1.1772
2001-11-06 00:00:00,1.2231
2001-11-07 00:00:00,1.1647
2001-11-08 00:00:00,1.0547
2001-11-09 00:00:00,1.0389
2001-11-12 00:00:00,1.0422
2001-11-13 00:00:00,1.0755
2001-11-14 00:00:00,1.1542
2001-11-15 00:00:00,1.0806
2001-11-16 00:00:00,1.0366
2001-11-19 00:00:00,1.0515
2001-11-20 00:00:00,1.0766
2001-11-21 00:00:00,1.0385
2001-11-23 00:00:00,1.0339
2001-11-26 00:00:00,1.1446
2001-11-27 00:00:00,1.1912
2001-11-28 00:00:00,1.1665
2001-11-29 00:00:00,1.1629
2001-11-30 00:00:00,1.1458
2001-12-03 00:00:00,1.1335
2001-12-04 00:00:00,1.1746
2001-12-05 00:00:00,1.2141
2001-12-06 00:00:00,1.1628
2001-12-07 00:00:00,1.2047
2001-12-10 00:00:00,1.2047
2001-12-11 00:00:00,1.1616
2001-12-12 00:00:00,1.1094
2001-12-13 00:00:00,1.0709
2001-12-14 00:00:00,1.0483
2001-12-17 00:00:00,1.087
2001-12-18 00:00:00,1.0505
2001-12-19 00:00:00,1.107
2001-12-20 00:00:00,1.0503
2001-12-21 00:00:00,1.0585
2001-12-24 00:00:00,0.9995
2001-12-26 00:00:00,1.0233
2001-12-27 00:00:00,1.075
2001-12-28 00:00:00,1.0984
2001-12-31 00:00:00,1.0282
2002-01-02 00:00:00,1.1069
2002-01-03 00:00:00,1.0527
2002-01-04 00:00:00,0.9971
2002-01-07 00:00:00,1.0053
2002-01-08 00:00:00,1.0031
2002-01-09 00:00:00,0.9605
2002-01-10 00:00:00,0.9747
2002-01-11 00:00:00,0.9795
2002-01-14 00:00:00,1.0071
2002-01-15 00:00:00,1.0642
2002-01-16 00:00:00,1.0078
2002-01-17 00:00:00,1.07
2002-01-18 00:00:00,1.0254
2002-01-22 00:00:00,1.0556
2002-01-23 00:00:00,1.0962
2002-01-24 00:00:00,1.0866
2002-01-25 00:00:00,1.0819
2002-01-28 00:00:00,1.0544
2002-01-29 00:00:00,1.0285
2002-01-30 00:00:00,1.1
2002-01-31 00:00:00,1.0609
2002-02-01 00:00:00,1.0352
2002-02-04 00:00:00,1.0701
2002-02-05 00:00:00,1.1114
2002-02-06 00:00:00,1.0911
2002-02-07 00:00:00,1.1224
2002-02-08 00:00:00,1.1319
2002-02-11 00:00:00,1.1867
2002-02-12 00:00:00,1.1683
2002-02-13 00:00:00,1.1525
2002-02-14 00:00:00,1.1838
2002-02-15 00:00:00,1.0632
2002-02-19 00:00:00,1.0203
2002-02-20 00:00:00,1.06
2002-02-21 00:00:00,0.934
2002-02-22 00:00:00,0.9798
2002-02-25 00:00:00,1.0241
2002-02-26 00:00:00,1.0172
2002-02-27 00:00:00,0.9519
2002-02-28 00:00:00,0.9008
2002-03-01 00:00:00,0.9486
2002-03-04 00:00:00,0.9951
2002-03-05 00:00:00,0.9282
2002-03-06 00:00:00,0.9458
2002-03-07 00:00:00,0.9882
