date,WILLR
2000-09-26 00:00:00,-89.8017
2000-09-27 00:00:00,-95.6522
2000-09-28 00:00:00,-66.4165
2000-09-29 00:00:00,-99.0194
2000-10-02 00:00:00,-98.1536
2000-10-03 00:00:00,-99.7027
2000-10-04 00:00:00,-95.6992
2000-10-05 00:00:00,-99.5221
2000-10-06 00:00:00,-97.0574
2000-10-09 00:00:00,-98.1454
2000-10-10 00:00:00,-99.0962
2000-10-11 00:00:00,-98.8185
2000-10-12 00:00:00,-97.9206
2000-10-13 00:00:00,-93.0529
2000-10-16 00:00:00,-94.3762
2000-10-17 00:00:00,-97.6371
2000-10-18 00:00:00,-96.6487
2000-10-19 00:00:00,-98.306
2000-10-20 00:00:00,-96.8002
2000-10-23 00:00:00,-94.3469
2000-10-24 00:00:00,-98.4225
2000-10-25 00:00:00,-99.4648
2000-10-26 00:00:00,-91.3043
2000-10-27 00:00:00,-88.5405
2000-10-30 00:00:00,-75.8667
2000-10-31 00:00:00,-70.5714
2000-11-01 00:00:00,-57.1429
2000-11-02 00:00:00,-16.3478
2000-11-03 00:00:00,-17.3913
2000-11-06 00:00:00,-31.4783
2000-11-07 00:00:00,-33.7391
2000-11-08 00:00:00,-55.4783
2000-11-09 00:00:00,-53.2174
2000-11-10 00:00:00,-72.8696
2000-11-13 00:00:00,-66.0
2000-11-14 00:00:00,-50.0
2000-11-15 00:00:00,-56.9091
2000-11-16 00:00:00,-72.7273
2000-11-17 00:00:00,-81.8182
2000-11-20 00:00:00,-73.8182
2000-11-21 00:00:00,-76.1818
2000-11-22 00:00:00,-81.8182
2000-11-24 00:00:00,-71.9298
2000-11-27 00:00:00,-90.7368
2000-11-28 00:00:00,-98.2213
2000-11-29 00:00:00,-94.6087
2000-11-30 00:00:00,-94.4767
2000-12-01 00:00:00,-86.3372
2000-12-04 00:00:00,-91.2308
2000-12-05 00:00:00,-84.5343
2000-12-06 00:00:00,-95.8333
2000-12-07 00:00:00,-95.2308
2000-12-08 00:00:00,-83.6923
2000-12-11 00:00:00,-81.6923
2000-12-12 00:00:00,-78.7692
2000-12-13 00:00:00,-83.8449
2000-12-14 00:00:00,-92.5926
2000-12-15 00:00:00,-98.9899
2000-12-18 00:00:00,-94.8333
2000-12-19 00:00:00,-99.0
2000-12-20 00:00:00,-88.1141
2000-12-21 00:00:00,-93.1854
2000-12-22 00:00:00,-78.2884
2000-12-26 00:00:00,-80.2607
2000-12-27 00:00:00,-74.7863
2000-12-28 00:00:00,-69.509
2000-12-29 00:00:00,-67.7003
2001-01-02 00:00:00,-67.1916
2001-01-03 00:00:00,-28.084
2001-01-04 00:00:00,-29.5688
2001-01-05 00:00:00,-43.7372
2001-01-08 00:00:00,-39.8357
2001-01-09 00:00:00,-26.8994
2001-01-10 00:00:00,-39.8357
2001-01-11 00:00:00,-10.2669
2001-01-12 00:00:00,-26.8994
2001-01-16 00:00:00,-28.3368
2001-01-17 00:00:00,-34.7023
2001-01-18 00:00:00,-1.1719
2001-01-19 00:00:00,-1.0118
2001-01-22 00:00:00,-6.446
2001-01-23 00:00:00,-6.4611
2001-01-24 00:00:00,-6.5185
2001-01-25 00:00:00,-14.8148
2001-01-26 00:00:00,-20.8145
2001-01-29 00:00:00,-0.8208
2001-01-30 00:00:00,-3.3069
2001-01-31 00:00:00,-10.9181
2001-02-01 00:00:00,-21.0366
2001-02-02 00:00:00,-28.6585
2001-02-05 00:00:00,-35.2134
2001-02-06 00:00:00,-21.4286
2001-02-07 00:00:00,-27.1739
2001-02-08 00:00:00,-28.0
2001-02-09 00:00:00,-56.3333
2001-02-12 00:00:00,-46.8333
2001-02-13 00:00:00,-56.3333
2001-02-14 00:00:00,-61.4754
2001-02-15 00:00:00,-60.0985
2001-02-16 00:00:00,-86.2069
2001-02-20 00:00:00,-97.2158
2001-02-21 00:00:00,-84.2227
2001-02-22 00:00:00,-82.0
2001-02-23 00:00:00,-82.0
2001-02-26 00:00:00,-66.6667
2001-02-27 00:00:00,-69.5556
2001-02-28 00:00:00,-94.4444
2001-03-01 00:00:00,-67.1579
2001-03-02 00:00:00,-56.6316
2001-03-05 00:00:00,-24.2857
2001-03-06 00:00:00,-11.499
2001-03-07 00:00:00,-16.6324
2001-03-08 00:00:00,-25.6674
2001-03-09 00:00:00,-37.1663
2001-03-12 00:00:00,-70.6366
2001-03-13 00:00:00,-51.3347
2001-03-14 00:00:00,-33.2649
2001-03-15 00:00:00,-48.6653
2001-03-16 00:00:00,-50.1027
2001-03-19 00:00:00,-30.8008
2001-03-20 00:00:00,-48.6653
2001-03-21 00:00:00,-39.8357
2001-03-22 00:00:00,-9.0349
2001-03-23 00:00:00,-8.7912
2001-03-26 00:00:00,-30.0305
2001-03-27 00:00:00,-13.4146
2001-03-28 00:00:00,-24.0854
2001-03-29 00:00:00,-21.6696
2001-03-30 00:00:00,-29.8401
2001-04-02 00:00:00,-38.3659
2001-04-03 00:00:00,-62.3446
2001-04-04 00:00:00,-75.4885
2001-04-05 00:00:00,-51.1545
2001-04-06 00:00:00,-56.1279
2001-04-09 00:00:00,-57.7338
2001-04-10 00:00:00,-32.2034
2001-04-11 00:00:00,-39.0
2001-04-12 00:00:00,-26.6
2001-04-16 00:00:00,-46.2
2001-04-17 00:00:00,-67.0
2001-04-18 00:00:00,-24.2026
2001-04-19 00:00:00,-0.4286
2001-04-20 00:00:00,-10.1429
2001-04-23 00:00:00,-21.4286
2001-04-24 00:00:00,-24.5714
2001-04-25 00:00:00,-14.7143
2001-04-26 00:00:00,-19.1837
2001-04-27 00:00:00,-1.1936
2001-04-30 00:00:00,-19.4743
2001-05-01 00:00:00,-14.2174
2001-05-02 00:00:00,-6.3321
2001-05-03 00:00:00,-28.7234
2001-05-04 00:00:00,-18.2181
2001-05-07 00:00:00,-28.7234
2001-05-08 00:00:00,-33.9096
2001-05-09 00:00:00,-41.7553
2001-05-10 00:00:00,-54.7872
2001-05-11 00:00:00,-56.7819
2001-05-14 00:00:00,-50.9309
2001-05-15 00:00:00,-65.2318
2001-05-16 00:00:00,-69.1076
2001-05-17 00:00:00,-81.6934
2001-05-18 00:00:00,-82.151
2001-05-21 00:00:00,-81.4645
2001-05-22 00:00:00,-82.8375
2001-05-23 00:00:00,-89.016
2001-05-24 00:00:00,-87.1111
2001-05-25 00:00:00,-94.3723
2001-05-29 00:00:00,-88.7946
2001-05-30 00:00:00,-93.5135
2001-05-31 00:00:00,-90.6475
2001-06-01 00:00:00,-75.7252
2001-06-04 00:00:00,-78.9474
2001-06-05 00:00:00,-73.5484
2001-06-06 00:00:00,-76.9355
2001-06-07 00:00:00,-61.9355
2001-06-08 00:00:00,-67.4194
2001-06-11 00:00:00,-88.0645
2001-06-12 00:00:00,-83.7097
2001-06-13 00:00:00,-77.5
2001-06-14 00:00:00,-88.4692
2001-06-15 00:00:00,-76.3975
2001-06-18 00:00:00,-78.6749
2001-06-19 00:00:00,-81.5735
2001-06-20 00:00:00,-46.7416
2001-06-21 00:00:00,-20.25
2001-06-22 00:00:00,-25.8145
2001-06-25 00:00:00,-0.2128
2001-06-26 00:00:00,-5.3191
2001-06-27 00:00:00,-14.1935
2001-06-28 00:00:00,-9.8925
2001-06-29 00:00:00,-32.1739
2001-07-02 00:00:00,-20.8696
2001-07-03 00:00:00,-21.913
2001-07-05 00:00:00,-33.2174
2001-07-06 00:00:00,-53.3913
2001-07-09 00:00:00,-41.7391
2001-07-10 00:00:00,-68.8696
2001-07-11 00:00:00,-44.5217
2001-07-12 00:00:00,-12.8696
2001-07-13 00:00:00,-4.3478
2001-07-16 00:00:00,-22.2656
2001-07-17 00:00:00,-2.2901
2001-07-18 00:00:00,-84.542
2001-07-19 00:00:00,-96.1609
2001-07-20 00:00:00,-91.4485
2001-07-23 00:00:00,-99.1274
2001-07-24 00:00:00,-94.453
2001-07-25 00:00:00,-93.1034
2001-07-26 00:00:00,-89.9593
2001-07-27 00:00:00,-84.9389
2001-07-30 00:00:00,-85.346
2001-07-31 00:00:00,-87.2456
2001-08-01 00:00:00,-83.5821
2001-08-02 00:00:00,-73.27
2001-08-03 00:00:00,-77.6119
2001-08-06 00:00:00,-82.6323
2001-08-07 00:00:00,-81.0041
2001-08-08 00:00:00,-85.7531
2001-08-09 00:00:00,-83.7178
2001-08-10 00:00:00,-84.1248
2001-08-13 00:00:00,-83.175
2001-08-14 00:00:00,-82.1501
2001-08-15 00:00:00,-83.4734
2001-08-16 00:00:00,-69.8113
2001-08-17 00:00:00,-91.6981
2001-08-20 00:00:00,-85.3081
2001-08-21 00:00:00,-90.0
2001-08-22 00:00:00,-73.7991
2001-08-23 00:00:00,-90.0862
2001-08-24 00:00:00,-57.3276
2001-08-27 00:00:00,-42.2414
2001-08-28 00:00:00,-64.6552
2001-08-29 00:00:00,-89.2241
2001-08-30 00:00:00,-79.0076
2001-08-31 00:00:00,-47.5207
2001-09-04 00:00:00,-59.9174
2001-09-05 00:00:00,-47.5207
2001-09-06 00:00:00,-78.8462
2001-09-07 00:00:00,-96.2963
2001-09-10 00:00:00,-81.5574
2001-09-17 00:00:00,-65.2893
2001-09-18 00:00:00,-84.5938
2001-09-19 00:00:00,-61.6216
2001-09-20 00:00:00,-95.2632
2001-09-21 00:00:00,-77.2727
2001-09-24 00:00:00,-61.6883
2001-09-25 00:00:00,-81.3853
2001-09-26 00:00:00,-89.8268
2001-09-27 00:00:00,-82.0346
2001-09-28 00:00:00,-82.0346
2001-10-01 00:00:00,-80.7175
2001-10-02 00:00:00,-91.5909
2001-10-03 00:00:00,-93.1818
2001-10-04 00:00:00,-72.7273
2001-10-05 00:00:00,-66.8182
2001-10-08 00:00:00,-64.4028
2001-10-09 00:00:00,-68.9412
2001-10-10 00:00:00,-37.4269
2001-10-11 00:00:00,-0.0
2001-10-12 00:00:00,-2.0588
2001-10-15 00:00:00,-10.5405
2001-10-16 00:00:00,-10.0
2001-10-17 00:00:00,-38.0697
2001-10-18 00:00:00,-10.992
2001-10-19 00:00:00,-3.0726
2001-10-22 00:00:00,-1.1792
2001-10-23 00:00:00,-27.8867
2001-10-24 00:00:00,-10.2397
2001-10-25 00:00:00,-5.0109
2001-10-26 00:00:00,-16.3399
2001-10-29 00:00:00,-38.9978
2001-10-30 00:00:00,-39.6514
2001-10-31 00:00:00,-41.9865
2001-11-01 00:00:00,-18.7359
2001-11-02 00:00:00,-21.6837
2001-11-05 00:00:00,-9.2348
2001-11-06 00:00:00,-1.3624
2001-11-07 00:00:00,-16.4634
2001-11-08 00:00:00,-43.4251
2001-11-09 00:00:00,-44.795
2001-11-12 00:00:00,-43.5331
2001-11-13 00:00:00,-23.9748
2001-11-14 00:00:00,-16.9381
2001-11-15 00:00:00,-22.1498
2001-11-16 00:00:00,-37.785
2001-11-19 00:00:00,-4.2345
2001-11-20 00:00:00,-21.3376
2001-11-21 00:00:00,-16.5605
2001-11-23 00:00:00,-11.465
2001-11-26 00:00:00,-4.0089
2001-11-27 00:00:00,-12.2494
2001-11-28 00:00:00,-23.7209
2001-11-29 00:00:00,-26.2791
2001-11-30 00:00:00,-6.9638
2001-12-03 00:00:00,-13.9276
2001-12-04 00:00:00,-3.4783
2001-12-05 00:00:00,-4.4481
2001-12-06 00:00:00,-20.5931
2001-12-07 00:00:00,-24.547
2001-12-10 00:00:00,-24.547
2001-12-11 00:00:00,-39.9645
2001-12-12 00:00:00,-45.1155
2001-12-13 00:00:00,-53.8188
2001-12-14 00:00:00,-64.6536
2001-12-17 00:00:00,-67.2584
2001-12-18 00:00:00,-63.3124
2001-12-19 00:00:00,-50.5241
2001-12-20 00:00:00,-75.3363
2001-12-21 00:00:00,-73.012
2001-12-24 00:00:00,-67.7665
2001-12-26 00:00:00,-64.467
2001-12-27 00:00:00,-49.7462
2001-12-28 00:00:00,-40.6091
2001-12-31 00:00:00,-54.0609
2002-01-02 00:00:00,-18.5279
2002-01-03 00:00:00,-11.4213
2002-01-04 00:00:00,-6.7358
2002-01-07 00:00:00,-28.133
2002-01-08 00:00:00,-35.5499
2002-01-09 00:00:00,-60.1023
2002-01-10 00:00:00,-70.844
2002-01-11 00:00:00,-75.4476
2002-01-14 00:00:00,-72.89
2002-01-15 00:00:00,-60.3675
2002-01-16 00:00:00,-85.1852
2002-01-17 00:00:00,-40.6417
2002-01-18 00:00:00,-48.9305
2002-01-22 00:00:00,-58.2888
2002-01-23 00:00:00,-26.2032
2002-01-24 00:00:00,-21.123
2002-01-25 00:00:00,-20.0535
2002-01-28 00:00:00,-19.5187
2002-01-29 00:00:00,-24.8663
2002-01-30 00:00:00,-1.2887
2002-01-31 00:00:00,-0.2237
2002-02-01 00:00:00,-11.7021
2002-02-04 00:00:00,-3.2319
2002-02-05 00:00:00,-9.2657
2002-02-06 00:00:00,-22.9021
2002-02-07 00:00:00,-29.3706
2002-02-08 00:00:00,-35.5839
2002-02-11 00:00:00,-18.2482
2002-02-12 00:00:00,-23.1752
2002-02-13 00:00:00,-17.7007
2002-02-14 00:00:00,-31.4351
2002-02-15 00:00:00,-47.3804
2002-02-19 00:00:00,-76.5376
2002-02-20 00:00:00,-64.9203
2002-02-21 00:00:00,-98.8962
2002-02-22 00:00:00,-71.5232
2002-02-25 00:00:00,-47.9029
2002-02-26 00:00:00,-50.9934
2002-02-27 00:00:00,-79.7619
2002-02-28 00:00:00,-84.9206
2002-03-01 00:00:00,-50.1984
2002-03-04 00:00:00,-33.5317
2002-03-05 00:00:00,-48.6111
2002-03-06 00:00:00,-37.8968
2002-03-07 00:00:00,-20.9195
2002-03-08 00:00:00,-13.4884
2002-03-11 00:00:00,-4.186
2002-03-12 00:00:00,-12.093
2002-03-13 00:00:00,-17.4419
2002-03-14 00:00:00,-18.648
2002-03-15 00:00:00,-4.5238
2002-03-18 00:00:00,-9.5238
2002-03-19 00:00:00,-10.3211
2002-03-20 00:00:00,-8.7156
2002-03-21 00:00:00,-23.6239
2002-03-22 00:00:00,-27.7523
2002-03-25 00:00:00,-44.7248
2002-03-26 00:00:00,-42.2018
2002-03-27 00:00:00,-46.3291
2002-03-28 00:00:00,-46.8391
2002-04-01 00:00:00,-33.0709
2002-04-02 00:00:00,-51.8987
2002-04-03 00:00:00,-65.4008
2002-04-04 00:00:00,-17.3913
2002-04-05 00:00:00,-24.3478
2002-04-08 00:00:00,-32.1739
2002-04-09 00:00:00,-52.1739
2002-04-10 00:00:00,-27.8261
2002-04-11 00:00:00,-19.1304
2002-04-12 00:00:00,-10.4348
2002-04-15 00:00:00,-13.0435
2002-04-16 00:00:00,-8.6667
2002-04-17 00:00:00,-1.8927
2002-04-18 00:00:00,-23.9748
2002-04-19 00:00:00,-37.5394
2002-04-22 00:00:00,-51.735
2002-04-23 00:00:00,-60.5678
2002-04-24 00:00:00,-82.4742
2002-04-25 00:00:00,-70.9343
2002-04-26 00:00:00,-99.6845
2002-04-29 00:00:00,-69.7161
2002-04-30 00:00:00,-59.9369
2002-05-01 00:00:00,-69.0852
2002-05-02 00:00:00,-78.2334
2002-05-03 00:00:00,-83.9117
2002-05-06 00:00:00,-94.8787
2002-05-07 00:00:00,-91.8114
2002-05-08 00:00:00,-44.665
2002-05-09 00:00:00,-49.1315
2002-05-10 00:00:00,-70.7196
2002-05-13 00:00:00,-55.335
2002-05-14 00:00:00,-13.8958
2002-05-15 00:00:00,-18.2292
2002-05-16 00:00:00,-20.0521
2002-05-17 00:00:00,-25.2604
2002-05-20 00:00:00,-32.2917
2002-05-21 00:00:00,-65.625
2002-05-22 00:00:00,-43.2292
2002-05-23 00:00:00,-20.8333
2002-05-24 00:00:00,-47.6563
2002-05-28 00:00:00,-52.0833
2002-05-29 00:00:00,-52.0833
2002-05-30 00:00:00,-46.3542
2002-05-31 00:00:00,-69.7917
2002-06-03 00:00:00,-79.9479
2002-06-04 00:00:00,-83.3333
2002-06-05 00:00:00,-85.7895
2002-06-06 00:00:00,-96.9543
2002-06-07 00:00:00,-90.6931
2002-06-10 00:00:00,-89.1089
2002-06-11 00:00:00,-99.1023
2002-06-12 00:00:00,-97.5166
2002-06-13 00:00:00,-97.5
2002-06-14 00:00:00,-74.0548
2002-06-17 00:00:00,-65.9187
2002-06-18 00:00:00,-71.3885
2002-06-19 00:00:00,-97.1292
2002-06-20 00:00:00,-96.9011
2002-06-21 00:00:00,-99.2683
2002-06-24 00:00:00,-92.6357
2002-06-25 00:00:00,-94.3152
2002-06-26 00:00:00,-93.2143
2002-06-27 00:00:00,-86.9407
2002-06-28 00:00:00,-76.7068
2002-07-01 00:00:00,-85.1034
2002-07-02 00:00:00,-86.7586
2002-07-03 00:00:00,-78.3448
2002-07-05 00:00:00,-53.6913
2002-07-08 00:00:00,-65.3584
2002-07-09 00:00:00,-72.9021
2002-07-10 00:00:00,-71.9078
2002-07-11 00:00:00,-50.1075
2002-07-12 00:00:00,-67.3118
2002-07-15 00:00:00,-51.6129
2002-07-16 00:00:00,-59.2191
2002-07-17 00:00:00,-87.7778
2002-07-18 00:00:00,-94.0594
2002-07-19 00:00:00,-89.9061
2002-07-22 00:00:00,-90.8451
2002-07-23 00:00:00,-99.3103
2002-07-24 00:00:00,-79.0749
2002-07-25 00:00:00,-92.6778
2002-07-26 00:00:00,-89.1784
2002-07-29 00:00:00,-75.5511
2002-07-30 00:00:00,-67.3347
2002-07-31 00:00:00,-70.7415
2002-08-01 00:00:00,-79.9599
2002-08-02 00:00:00,-86.9739
2002-08-05 00:00:00,-96.1924
2002-08-06 00:00:00,-81.1623
2002-08-07 00:00:00,-75.3507
2002-08-08 00:00:00,-69.9399
2002-08-09 00:00:00,-75.0
2002-08-12 00:00:00,-75.0524
2002-08-13 00:00:00,-67.0833
2002-08-14 00:00:00,-22.1591
2002-08-15 00:00:00,-7.1795
2002-08-16 00:00:00,-12.6087
2002-08-19 00:00:00,-11.0204
2002-08-20 00:00:00,-13.8776
2002-08-21 00:00:00,-5.3061
2002-08-22 00:00:00,-11.4286
2002-08-23 00:00:00,-22.807
2002-08-26 00:00:00,-31.5789
2002-08-27 00:00:00,-61.4035
2002-08-28 00:00:00,-67.9825
2002-08-29 00:00:00,-67.9825
2002-08-30 00:00:00,-65.7895
2002-09-03 00:00:00,-100.0
2002-09-04 00:00:00,-80.4545
2002-09-05 00:00:00,-94.0909
2002-09-06 00:00:00,-85.0
2002-09-09 00:00:00,-85.4545
2002-09-10 00:00:00,-87.2727
2002-09-11 00:00:00,-89.0909
2002-09-12 00:00:00,-95.9091
2002-09-13 00:00:00,-94.5455
2002-09-16 00:00:00,-79.5455
2002-09-17 00:00:00,-65.9091
2002-09-18 00:00:00,-55.9091
2002-09-19 00:00:00,-75.9091
2002-09-20 00:00:00,-56.8421
2002-09-23 00:00:00,-57.8947
2002-09-24 00:00:00,-65.0888
2002-09-25 00:00:00,-21.4286
2002-09-26 00:00:00,-42.9825
2002-09-27 00:00:00,-41.2281
2002-09-30 00:00:00,-60.5263
2002-10-01 00:00:00,-57.1429
2002-10-02 00:00:00,-85.7143
2002-10-03 00:00:00,-74.7899
2002-10-04 00:00:00,-97.479
2002-10-07 00:00:00,-99.3007
2002-10-08 00:00:00,-81.9672
2002-10-09 00:00:00,-86.8852
2002-10-10 00:00:00,-58.4699
2002-10-11 00:00:00,-37.1585
2002-10-14 00:00:00,-22.9508
2002-10-15 00:00:00,-4.7619
2002-10-16 00:00:00,-36.5079
2002-10-17 00:00:00,-60.3175
2002-10-18 00:00:00,-48.1481
2002-10-21 00:00:00,-36.5079
2002-10-22 00:00:00,-29.1005
2002-10-23 00:00:00,-19.5767
2002-10-24 00:00:00,-29.6296
2002-10-25 00:00:00,-1.4354
2002-10-28 00:00:00,-13.1274
2002-10-29 00:00:00,-19.6911
2002-10-30 00:00:00,-12.9568
2002-10-31 00:00:00,-12.013
2002-11-01 00:00:00,-4.4586
2002-11-04 00:00:00,-12.1891
2002-11-05 00:00:00,-12.0907
2002-11-06 00:00:00,-4.2105
2002-11-07 00:00:00,-40.0
2002-11-08 00:00:00,-44.6377
2002-11-11 00:00:00,-64.3478
2002-11-12 00:00:00,-50.4348
2002-11-13 00:00:00,-51.8841
2002-11-14 00:00:00,-31.3043
2002-11-15 00:00:00,-42.3077
2002-11-18 00:00:00,-55.4487
