date,TRIMA
2000-11-08 00:00:00,19.742
2000-11-09 00:00:00,19.7921
2000-11-10 00:00:00,19.8604
2000-11-13 00:00:00,19.961
2000-11-14 00:00:00,20.0878
2000-11-15 00:00:00,20.214
2000-11-16 00:00:00,20.3066
2000-11-17 00:00:00,20.3345
2000-11-20 00:00:00,20.3147
2000-11-21 00:00:00,20.2625
2000-11-22 00:00:00,20.1738
2000-11-24 00:00:00,20.063
2000-11-27 00:00:00,19.9335
2000-11-28 00:00:00,19.7872
2000-11-29 00:00:00,19.6159
2000-11-30 00:00:00,19.4077
2000-12-01 00:00:00,19.1876
2000-12-04 00:00:00,18.9812
2000-12-05 00:00:00,18.7912
2000-12-06 00:00:00,18.583
2000-12-07 00:00:00,18.3595
2000-12-08 00:00:00,18.1115
2000-12-11 00:00:00,17.8396
2000-12-12 00:00:00,17.5471
2000-12-13 00:00:00,17.2435
2000-12-14 00:00:00,16.9455
2000-12-15 00:00:00,16.651
2000-12-18 00:00:00,16.3519
2000-12-19 00:00:00,16.042
2000-12-20 00:00:00,15.7504
2000-12-21 00:00:00,15.4974
2000-12-22 00:00:00,15.2819
2000-12-26 00:00:00,15.1005
2000-12-27 00:00:00,14.9458
2000-12-28 00:00:00,14.8135
2000-12-29 00:00:00,14.7084
2001-01-02 00:00:00,14.6295
2001-01-03 00:00:00,14.5971
2001-01-04 00:00:00,14.6147
2001-01-05 00:00:00,14.6777
2001-01-08 00:00:00,14.7628
2001-01-09 00:00:00,14.8701
2001-01-10 00:00:00,14.9949
2001-01-11 00:00:00,15.1533
2001-01-12 00:00:00,15.3385
2001-01-16 00:00:00,15.5457
2001-01-17 00:00:00,15.7665
2001-01-18 00:00:00,16.001
2001-01-19 00:00:00,16.2384
2001-01-22 00:00:00,16.4741
2001-01-23 00:00:00,16.7275
2001-01-24 00:00:00,16.9884
2001-01-25 00:00:00,17.26
2001-01-26 00:00:00,17.5288
2001-01-29 00:00:00,17.8095
2001-01-30 00:00:00,18.1107
2001-01-31 00:00:00,18.4353
2001-02-01 00:00:00,18.7644
2001-02-02 00:00:00,19.0825
2001-02-05 00:00:00,19.3871
2001-02-06 00:00:00,19.6711
2001-02-07 00:00:00,19.9215
2001-02-08 00:00:00,20.1493
2001-02-09 00:00:00,20.3423
2001-02-12 00:00:00,20.5029
2001-02-13 00:00:00,20.5987
2001-02-14 00:00:00,20.6332
2001-02-15 00:00:00,20.6143
2001-02-16 00:00:00,20.5585
2001-02-20 00:00:00,20.4755
2001-02-21 00:00:00,20.3635
2001-02-22 00:00:00,20.2283
2001-02-23 00:00:00,20.0731
2001-02-26 00:00:00,19.914
