date,RSI
2000-10-10 00:00:00,26.7169
2000-10-11 00:00:00,26.089
2000-10-12 00:00:00,26.6407
2000-10-13 00:00:00,29.6377
2000-10-16 00:00:00,29.2952
2000-10-17 00:00:00,28.4427
2000-10-18 00:00:00,28.4427
2000-10-19 00:00:00,27.6795
2000-10-20 00:00:00,28.6361
2000-10-23 00:00:00,30.147
2000-10-24 00:00:00,29.0315
2000-10-25 00:00:00,28.7552
2000-10-26 00:00:00,28.7552
2000-10-27 00:00:00,28.8768
2000-10-30 00:00:00,30.4392
2000-10-31 00:00:00,30.9713
2000-11-01 00:00:00,32.9996
2000-11-02 00:00:00,36.7657
2000-11-03 00:00:00,36.6938
2000-11-06 00:00:00,35.7006
2000-11-07 00:00:00,35.5382
2000-11-08 00:00:00,33.9731
2000-11-09 00:00:00,34.2899
2000-11-10 00:00:00,32.8478
2000-11-13 00:00:00,33.6535
2000-11-14 00:00:00,35.95
2000-11-15 00:00:00,35.3931
2000-11-16 00:00:00,34.1195
2000-11-17 00:00:00,33.3925
2000-11-20 00:00:00,34.6817
2000-11-21 00:00:00,34.4742
2000-11-22 00:00:00,33.9641
2000-11-24 00:00:00,36.5464
2000-11-27 00:00:00,35.4301
2000-11-28 00:00:00,34.2575
2000-11-29 00:00:00,33.4283
2000-11-30 00:00:00,31.6116
2000-12-01 00:00:00,33.6178
2000-12-04 00:00:00,32.9456
2000-12-05 00:00:00,34.1076
2000-12-06 00:00:00,29.4468
2000-12-07 00:00:00,29.4468
2000-12-08 00:00:00,32.3046
2000-12-11 00:00:00,32.8012
2000-12-12 00:00:00,33.5512
2000-12-13 00:00:00,32.781
2000-12-14 00:00:00,31.6537
2000-12-15 00:00:00,30.8949
2000-12-18 00:00:00,31.756
2000-12-19 00:00:00,31.2172
2000-12-20 00:00:00,33.0349
2000-12-21 00:00:00,32.2788
2000-12-22 00:00:00,36.755
2000-12-26 00:00:00,35.9305
2000-12-27 00:00:00,36.5108
2000-12-28 00:00:00,36.5108
2000-12-29 00:00:00,36.8803
2001-01-02 00:00:00,36.8803
2001-01-03 00:00:00,44.4987
2001-01-04 00:00:00,47.5827
2001-01-05 00:00:00,44.9534
2001-01-08 00:00:00,45.8212
2001-01-09 00:00:00,48.6468
2001-01-10 00:00:00,46.1151
2001-01-11 00:00:00,52.1114
2001-01-12 00:00:00,48.8901
2001-01-16 00:00:00,48.6167
2001-01-17 00:00:00,47.3816
2001-01-18 00:00:00,54.7243
2001-01-19 00:00:00,57.4191
2001-01-22 00:00:00,56.3298
2001-01-23 00:00:00,60.2943
2001-01-24 00:00:00,60.2943
2001-01-25 00:00:00,57.6944
2001-01-26 00:00:00,55.9704
2001-01-29 00:00:00,62.5695
2001-01-30 00:00:00,62.7351
2001-01-31 00:00:00,62.1084
2001-02-01 00:00:00,59.694
2001-02-02 00:00:00,57.3474
2001-02-05 00:00:00,55.3767
2001-02-06 00:00:00,58.6145
2001-02-07 00:00:00,56.8859
2001-02-08 00:00:00,56.8859
2001-02-09 00:00:00,49.7276
2001-02-12 00:00:00,51.9532
2001-02-13 00:00:00,49.64
2001-02-14 00:00:00,51.1658
2001-02-15 00:00:00,53.358
2001-02-16 00:00:00,48.9773
2001-02-20 00:00:00,46.3688
2001-02-21 00:00:00,48.7028
2001-02-22 00:00:00,48.4649
2001-02-23 00:00:00,48.4649
2001-02-26 00:00:00,51.4844
2001-02-27 00:00:00,50.8931
2001-02-28 00:00:00,46.0918
2001-03-01 00:00:00,48.3802
2001-03-02 00:00:00,50.5882
2001-03-05 00:00:00,55.1151
2001-03-06 00:00:00,59.0952
2001-03-07 00:00:00,57.8995
2001-03-08 00:00:00,55.8077
2001-03-09 00:00:00,53.2312
2001-03-12 00:00:00,46.6345
