date,HT_TRENDLINE
2000-12-08 00:00:00,18.268
2000-12-11 00:00:00,18.0361
2000-12-12 00:00:00,17.8205
2000-12-13 00:00:00,17.651
2000-12-14 00:00:00,17.5002
2000-12-15 00:00:00,17.3341
2000-12-18 00:00:00,17.1883
2000-12-19 00:00:00,17.0521
2000-12-20 00:00:00,16.9352
2000-12-21 00:00:00,16.8643
2000-12-22 00:00:00,16.804
2000-12-26 00:00:00,16.7144
2000-12-27 00:00:00,16.5436
2000-12-28 00:00:00,16.3538
2000-12-29 00:00:00,16.1735
2001-01-02 00:00:00,16.0526
2001-01-03 00:00:00,16.0006
2001-01-04 00:00:00,15.9963
2001-01-05 00:00:00,15.94
2001-01-08 00:00:00,15.8701
2001-01-09 00:00:00,15.7545
2001-01-10 00:00:00,15.6874
2001-01-11 00:00:00,15.6864
2001-01-12 00:00:00,15.6796
2001-01-16 00:00:00,15.7008
2001-01-17 00:00:00,15.6971
2001-01-18 00:00:00,15.7037
2001-01-19 00:00:00,15.7317
2001-01-22 00:00:00,15.7676
2001-01-23 00:00:00,15.8741
2001-01-24 00:00:00,16.043
2001-01-25 00:00:00,16.2062
2001-01-26 00:00:00,16.3494
2001-01-29 00:00:00,16.5082
2001-01-30 00:00:00,16.6625
2001-01-31 00:00:00,16.8349
2001-02-01 00:00:00,17.0514
2001-02-02 00:00:00,17.31
2001-02-05 00:00:00,17.556
2001-02-06 00:00:00,17.7919
2001-02-07 00:00:00,18.0144
2001-02-08 00:00:00,18.2664
2001-02-09 00:00:00,18.4817
2001-02-12 00:00:00,18.6213
2001-02-13 00:00:00,18.6483
2001-02-14 00:00:00,18.6478
2001-02-15 00:00:00,18.6995
2001-02-16 00:00:00,18.8386
2001-02-20 00:00:00,19.022
2001-02-21 00:00:00,19.1393
2001-02-22 00:00:00,19.2199
2001-02-23 00:00:00,19.2823
2001-02-26 00:00:00,19.3497
2001-02-27 00:00:00,19.4229
2001-02-28 00:00:00,19.5078
2001-03-01 00:00:00,19.5793
2001-03-02 00:00:00,19.647
2001-03-05 00:00:00,19.7458
2001-03-06 00:00:00,19.8289
2001-03-07 00:00:00,19.9023
2001-03-08 00:00:00,19.9633
2001-03-09 00:00:00,19.9845
2001-03-12 00:00:00,19.9754
2001-03-13 00:00:00,19.9628
2001-03-14 00:00:00,19.9113
2001-03-15 00:00:00,19.8745
2001-03-16 00:00:00,19.8089
2001-03-19 00:00:00,19.7578
2001-03-20 00:00:00,19.7104
2001-03-21 00:00:00,19.6724
2001-03-22 00:00:00,19.6741
2001-03-23 00:00:00,19.7373
2001-03-26 00:00:00,19.8198
2001-03-27 00:00:00,19.9649
2001-03-28 00:00:00,20.1642
2001-03-29 00:00:00,20.3672
2001-03-30 00:00:00,20.6037
2001-04-02 00:00:00,20.8034
2001-04-03 00:00:00,20.8858
2001-04-04 00:00:00,20.8892
2001-04-05 00:00:00,20.9297
2001-04-06 00:00:00,20.978
2001-04-09 00:00:00,21.0543
2001-04-10 00:00:00,21.1642
2001-04-11 00:00:00,21.259
2001-04-12 00:00:00,21.3822
2001-04-16 00:00:00,21.4903
2001-04-17 00:00:00,21.5243
2001-04-18 00:00:00,21.5226
2001-04-19 00:00:00,21.5785
2001-04-20 00:00:00,21.6906
2001-04-23 00:00:00,21.8201
2001-04-24 00:00:00,21.9681
2001-04-25 00:00:00,22.1735
2001-04-26 00:00:00,22.3619
