date,WMA
2000-10-09 00:00:00,36.6611
2000-10-10 00:00:00,34.4217
2000-10-11 00:00:00,32.2388
2000-10-12 00:00:00,30.2749
2000-10-13 00:00:00,28.6827
2000-10-16 00:00:00,27.1951
2000-10-17 00:00:00,25.7626
2000-10-18 00:00:00,24.5197
2000-10-19 00:00:00,23.3593
2000-10-20 00:00:00,22.432
2000-10-23 00:00:00,21.7433
2000-10-24 00:00:00,21.0694
2000-10-25 00:00:00,20.5154
2000-10-26 00:00:00,20.1064
2000-10-27 00:00:00,19.8697
2000-10-30 00:00:00,19.7387
2000-10-31 00:00:00,19.655
2000-11-01 00:00:00,19.674
2000-11-02 00:00:00,19.8802
2000-11-03 00:00:00,20.0795
2000-11-06 00:00:00,20.2013
2000-11-07 00:00:00,20.3123
2000-11-08 00:00:00,20.3021
2000-11-09 00:00:00,20.3022
2000-11-10 00:00:00,20.1938
2000-11-13 00:00:00,20.1291
2000-11-14 00:00:00,20.1585
2000-11-15 00:00:00,20.151
2000-11-16 00:00:00,20.0619
2000-11-17 00:00:00,19.9248
2000-11-20 00:00:00,19.8344
2000-11-21 00:00:00,19.7385
2000-11-22 00:00:00,19.6133
2000-11-24 00:00:00,19.5652
2000-11-27 00:00:00,19.4543
2000-11-28 00:00:00,19.2799
2000-11-29 00:00:00,19.0668
2000-11-30 00:00:00,18.7622
2000-12-01 00:00:00,18.5301
2000-12-04 00:00:00,18.2877
2000-12-05 00:00:00,18.1013
2000-12-06 00:00:00,17.6799
2000-12-07 00:00:00,17.2918
2000-12-08 00:00:00,17.0025
2000-12-11 00:00:00,16.75
2000-12-12 00:00:00,16.5341
2000-12-13 00:00:00,16.301
2000-12-14 00:00:00,16.0395
2000-12-15 00:00:00,15.7677
2000-12-18 00:00:00,15.5375
2000-12-19 00:00:00,15.3037
2000-12-20 00:00:00,15.1297
2000-12-21 00:00:00,14.9462
2000-12-22 00:00:00,14.8735
2000-12-26 00:00:00,14.7917
2000-12-27 00:00:00,14.7404
2000-12-28 00:00:00,14.7045
2000-12-29 00:00:00,14.6883
2001-01-02 00:00:00,14.6798
2001-01-03 00:00:00,14.8236
2001-01-04 00:00:00,15.0347
2001-01-05 00:00:00,15.1797
2001-01-08 00:00:00,15.333
2001-01-09 00:00:00,15.5357
2001-01-10 00:00:00,15.6681
2001-01-11 00:00:00,15.9312
2001-01-12 00:00:00,16.1047
2001-01-16 00:00:00,16.2611
2001-01-17 00:00:00,16.3752
2001-01-18 00:00:00,16.6552
2001-01-19 00:00:00,16.9913
2001-01-22 00:00:00,17.2773
2001-01-23 00:00:00,17.6592
2001-01-24 00:00:00,18.0105
2001-01-25 00:00:00,18.2822
2001-01-26 00:00:00,18.4927
2001-01-29 00:00:00,18.8835
2001-01-30 00:00:00,19.2472
2001-01-31 00:00:00,19.5658
2001-02-01 00:00:00,19.8047
2001-02-02 00:00:00,19.9734
2001-02-05 00:00:00,20.0841
2001-02-06 00:00:00,20.2653
2001-02-07 00:00:00,20.3895
2001-02-08 00:00:00,20.4967
2001-02-09 00:00:00,20.4288
2001-02-12 00:00:00,20.4098
2001-02-13 00:00:00,20.3246
2001-02-14 00:00:00,20.266
2001-02-15 00:00:00,20.248
2001-02-16 00:00:00,20.1226
2001-02-20 00:00:00,19.9338
2001-02-21 00:00:00,19.8028
2001-02-22 00:00:00,19.6738
2001-02-23 00:00:00,19.5529
2001-02-26 00:00:00,19.5031
2001-02-27 00:00:00,19.4412
2001-02-28 00:00:00,19.2837
2001-03-01 00:00:00,19.1904
2001-03-02 00:00:00,19.1585
2001-03-05 00:00:00,19.2421
2001-03-06 00:00:00,19.4345
2001-03-07 00:00:00,19.5969
2001-03-08 00:00:00,19.7168
2001-03-09 00:00:00,19.783
2001-03-12 00:00:00,19.6964
2001-03-13 00:00:00,19.7017
2001-03-14 00:00:00,19.7914
2001-03-15 00:00:00,19.8034
2001-03-16 00:00:00,19.8078
2001-03-19 00:00:00,19.9039
2001-03-20 00:00:00,19.9096
2001-03-21 00:00:00,19.9498
2001-03-22 00:00:00,20.1268
2001-03-23 00:00:00,20.4219
2001-03-26 00:00:00,20.5809
2001-03-27 00:00:00,20.8328
2001-03-28 00:00:00,21.0013
2001-03-29 00:00:00,21.1855
2001-03-30 00:00:00,21.3079
2001-04-02 00:00:00,21.3711
2001-04-03 00:00:00,21.3
2001-04-04 00:00:00,21.1644
2001-04-05 00:00:00,21.1676
2001-04-06 00:00:00,21.1438
2001-04-09 00:00:00,21.1137
2001-04-10 00:00:00,21.2172
2001-04-11 00:00:00,21.2861
2001-04-12 00:00:00,21.4076
2001-04-16 00:00:00,21.4228
2001-04-17 00:00:00,21.3302
2001-04-18 00:00:00,21.466
2001-04-19 00:00:00,21.8661
2001-04-20 00:00:00,22.1748
2001-04-23 00:00:00,22.3919
2001-04-24 00:00:00,22.5821
2001-04-25 00:00:00,22.8274
2001-04-26 00:00:00,23.061
2001-04-27 00:00:00,23.4263
2001-04-30 00:00:00,23.7066
2001-05-01 00:00:00,24.0125
2001-05-02 00:00:00,24.3606
2001-05-03 00:00:00,24.5232
2001-05-04 00:00:00,24.7351
2001-05-07 00:00:00,24.8485
2001-05-08 00:00:00,24.9039
2001-05-09 00:00:00,24.884
2001-05-10 00:00:00,24.7614
2001-05-11 00:00:00,24.6189
2001-05-14 00:00:00,24.5162
2001-05-15 00:00:00,24.3943
2001-05-16 00:00:00,24.3467
2001-05-17 00:00:00,24.2405
2001-05-18 00:00:00,24.1428
2001-05-21 00:00:00,24.055
2001-05-22 00:00:00,23.9649
2001-05-23 00:00:00,23.8516
2001-05-24 00:00:00,23.7425
2001-05-25 00:00:00,23.5986
2001-05-29 00:00:00,23.3482
2001-05-30 00:00:00,22.956
2001-05-31 00:00:00,22.6093
2001-06-01 00:00:00,22.3837
2001-06-04 00:00:00,22.1556
2001-06-05 00:00:00,21.9784
2001-06-06 00:00:00,21.8004
2001-06-07 00:00:00,21.7292
2001-06-08 00:00:00,21.6367
2001-06-11 00:00:00,21.4302
2001-06-12 00:00:00,21.2629
2001-06-13 00:00:00,21.125
2001-06-14 00:00:00,20.9438
2001-06-15 00:00:00,20.836
2001-06-18 00:00:00,20.7326
2001-06-19 00:00:00,20.6311
2001-06-20 00:00:00,20.6866
2001-06-21 00:00:00,20.8289
2001-06-22 00:00:00,20.9528
2001-06-25 00:00:00,21.2459
2001-06-26 00:00:00,21.5103
2001-06-27 00:00:00,21.7249
2001-06-28 00:00:00,21.9415
2001-06-29 00:00:00,22.1134
2001-07-02 00:00:00,22.336
2001-07-03 00:00:00,22.5374
2001-07-05 00:00:00,22.6631
2001-07-06 00:00:00,22.6666
2001-07-09 00:00:00,22.7322
2001-07-10 00:00:00,22.6426
2001-07-11 00:00:00,22.6811
2001-07-12 00:00:00,22.8824
2001-07-13 00:00:00,23.1118
2001-07-16 00:00:00,23.2327
2001-07-17 00:00:00,23.4455
2001-07-18 00:00:00,23.225
2001-07-19 00:00:00,22.9227
2001-07-20 00:00:00,22.6304
2001-07-23 00:00:00,22.3082
2001-07-24 00:00:00,21.956
2001-07-25 00:00:00,21.5682
2001-07-26 00:00:00,21.2169
2001-07-27 00:00:00,20.9235
2001-07-30 00:00:00,20.649
2001-07-31 00:00:00,20.3818
2001-08-01 00:00:00,20.1646
2001-08-02 00:00:00,20.0425
2001-08-03 00:00:00,19.906
2001-08-06 00:00:00,19.7464
2001-08-07 00:00:00,19.6151
2001-08-08 00:00:00,19.4596
2001-08-09 00:00:00,19.3356
2001-08-10 00:00:00,19.2341
2001-08-13 00:00:00,19.167
2001-08-14 00:00:00,19.0888
2001-08-15 00:00:00,19.0133
2001-08-16 00:00:00,18.969
2001-08-17 00:00:00,18.8758
2001-08-20 00:00:00,18.7963
2001-08-21 00:00:00,18.7046
2001-08-22 00:00:00,18.6461
2001-08-23 00:00:00,18.5507
2001-08-24 00:00:00,18.5314
2001-08-27 00:00:00,18.5473
2001-08-28 00:00:00,18.5138
2001-08-29 00:00:00,18.4278
2001-08-30 00:00:00,18.3476
2001-08-31 00:00:00,18.3455
2001-09-04 00:00:00,18.3194
2001-09-05 00:00:00,18.326
2001-09-06 00:00:00,18.2569
2001-09-07 00:00:00,18.1515
2001-09-10 00:00:00,18.0631
2001-09-17 00:00:00,17.9464
2001-09-18 00:00:00,17.7721
2001-09-19 00:00:00,17.6799
2001-09-20 00:00:00,17.4669
2001-09-21 00:00:00,17.2727
2001-09-24 00:00:00,17.1583
2001-09-25 00:00:00,16.9651
2001-09-26 00:00:00,16.7462
2001-09-27 00:00:00,16.5761
2001-09-28 00:00:00,16.417
2001-10-01 00:00:00,16.2752
2001-10-02 00:00:00,16.103
2001-10-03 00:00:00,15.94
2001-10-04 00:00:00,15.8762
2001-10-05 00:00:00,15.8466
2001-10-08 00:00:00,15.8341
2001-10-09 00:00:00,15.8123
2001-10-10 00:00:00,15.8808
2001-10-11 00:00:00,16.0412
2001-10-12 00:00:00,16.2251
2001-10-15 00:00:00,16.404
2001-10-16 00:00:00,16.5801
2001-10-17 00:00:00,16.6509
2001-10-18 00:00:00,16.8179
2001-10-19 00:00:00,17.0025
2001-10-22 00:00:00,17.2434
