date,DEMA
2000-11-03 00:00:00,16.3872
2000-11-06 00:00:00,16.7341
2000-11-07 00:00:00,17.0372
2000-11-08 00:00:00,17.0973
2000-11-09 00:00:00,17.1969
2000-11-10 00:00:00,17.1006
2000-11-13 00:00:00,17.0958
2000-11-14 00:00:00,17.2722
2000-11-15 00:00:00,17.3746
2000-11-16 00:00:00,17.3232
2000-11-17 00:00:00,17.2057
2000-11-20 00:00:00,17.2011
2000-11-21 00:00:00,17.1895
2000-11-22 00:00:00,17.1384
2000-11-24 00:00:00,17.2559
2000-11-27 00:00:00,17.2583
2000-11-28 00:00:00,17.1534
2000-11-29 00:00:00,16.9903
2000-11-30 00:00:00,16.6697
2000-12-01 00:00:00,16.5072
2000-12-04 00:00:00,16.3122
2000-12-05 00:00:00,16.2122
2000-12-06 00:00:00,15.6494
2000-12-07 00:00:00,15.1767
2000-12-08 00:00:00,14.9178
2000-12-11 00:00:00,14.7308
2000-12-12 00:00:00,14.6164
2000-12-13 00:00:00,14.4607
2000-12-14 00:00:00,14.2366
2000-12-15 00:00:00,13.986
2000-12-18 00:00:00,13.816
2000-12-19 00:00:00,13.6354
2000-12-20 00:00:00,13.5599
2000-12-21 00:00:00,13.4474
2000-12-22 00:00:00,13.5314
2000-12-26 00:00:00,13.5573
2000-12-27 00:00:00,13.6105
2000-12-28 00:00:00,13.6649
2000-12-29 00:00:00,13.7326
2001-01-02 00:00:00,13.7984
2001-01-03 00:00:00,14.1323
2001-01-04 00:00:00,14.5512
2001-01-05 00:00:00,14.7916
2001-01-08 00:00:00,15.0372
2001-01-09 00:00:00,15.3664
2001-01-10 00:00:00,15.5381
2001-01-11 00:00:00,15.9491
2001-01-12 00:00:00,16.1572
2001-01-16 00:00:00,16.3243
2001-01-17 00:00:00,16.412
2001-01-18 00:00:00,16.8285
2001-01-19 00:00:00,17.3332
2001-01-22 00:00:00,17.7207
2001-01-23 00:00:00,18.2785
2001-01-24 00:00:00,18.7553
2001-01-25 00:00:00,19.0598
2001-01-26 00:00:00,19.2482
2001-01-29 00:00:00,19.7916
2001-01-30 00:00:00,20.2645
2001-01-31 00:00:00,20.6415
2001-02-01 00:00:00,20.8683
2001-02-02 00:00:00,20.9655
2001-02-05 00:00:00,20.964
2001-02-06 00:00:00,21.1244
2001-02-07 00:00:00,21.1886
2001-02-08 00:00:00,21.2371
2001-02-09 00:00:00,20.9767
2001-02-12 00:00:00,20.8502
2001-02-13 00:00:00,20.6326
2001-02-14 00:00:00,20.5098
2001-02-15 00:00:00,20.5016
2001-02-16 00:00:00,20.2987
2001-02-20 00:00:00,19.9956
2001-02-21 00:00:00,19.8337
2001-02-22 00:00:00,19.6817
2001-02-23 00:00:00,19.5493
2001-02-26 00:00:00,19.5593
2001-02-27 00:00:00,19.5435
2001-02-28 00:00:00,19.3257
2001-03-01 00:00:00,19.2284
2001-03-02 00:00:00,19.2352
2001-03-05 00:00:00,19.444
2001-03-06 00:00:00,19.8283
2001-03-07 00:00:00,20.1127
2001-03-08 00:00:00,20.276
2001-03-09 00:00:00,20.313
2001-03-12 00:00:00,20.0469
2001-03-13 00:00:00,19.9868
2001-03-14 00:00:00,20.0933
2001-03-15 00:00:00,20.0475
2001-03-16 00:00:00,19.9942
2001-03-19 00:00:00,20.1176
2001-03-20 00:00:00,20.0648
2001-03-21 00:00:00,20.0962
2001-03-22 00:00:00,20.3943
2001-03-23 00:00:00,20.8997
2001-03-26 00:00:00,21.1112
2001-03-27 00:00:00,21.4881
2001-03-28 00:00:00,21.6822
2001-03-29 00:00:00,21.9108
2001-03-30 00:00:00,22.0201
2001-04-02 00:00:00,22.023
2001-04-03 00:00:00,21.7765
2001-04-04 00:00:00,21.4265
2001-04-05 00:00:00,21.3711
2001-04-06 00:00:00,21.2704
2001-04-09 00:00:00,21.1727
2001-04-10 00:00:00,21.3591
2001-04-11 00:00:00,21.4744
2001-04-12 00:00:00,21.6841
2001-04-16 00:00:00,21.6847
2001-04-17 00:00:00,21.4943
2001-04-18 00:00:00,21.7621
2001-04-19 00:00:00,22.5222
2001-04-20 00:00:00,23.05
2001-04-23 00:00:00,23.3568
2001-04-24 00:00:00,23.5762
2001-04-25 00:00:00,23.885
2001-04-26 00:00:00,24.1399
2001-04-27 00:00:00,24.6276
2001-04-30 00:00:00,24.9122
2001-05-01 00:00:00,25.2302
2001-05-02 00:00:00,25.6166
2001-05-03 00:00:00,25.6461
2001-05-04 00:00:00,25.8073
2001-05-07 00:00:00,25.7954
2001-05-08 00:00:00,25.7074
2001-05-09 00:00:00,25.518
2001-05-10 00:00:00,25.1712
2001-05-11 00:00:00,24.8404
2001-05-14 00:00:00,24.6314
2001-05-15 00:00:00,24.4282
2001-05-16 00:00:00,24.4174
2001-05-17 00:00:00,24.3059
2001-05-18 00:00:00,24.2042
2001-05-21 00:00:00,24.1203
2001-05-22 00:00:00,24.0356
2001-05-23 00:00:00,23.9124
2001-05-24 00:00:00,23.7999
2001-05-25 00:00:00,23.6226
2001-05-29 00:00:00,23.2356
2001-05-30 00:00:00,22.5963
2001-05-31 00:00:00,22.0782
2001-06-01 00:00:00,21.8053
2001-06-04 00:00:00,21.5319
2001-06-05 00:00:00,21.3509
2001-06-06 00:00:00,21.161
2001-06-07 00:00:00,21.1703
2001-06-08 00:00:00,21.1207
2001-06-11 00:00:00,20.8497
2001-06-12 00:00:00,20.6695
2001-06-13 00:00:00,20.5478
2001-06-14 00:00:00,20.3404
2001-06-15 00:00:00,20.268
2001-06-18 00:00:00,20.1904
2001-06-19 00:00:00,20.1027
2001-06-20 00:00:00,20.3002
2001-06-21 00:00:00,20.6231
2001-06-22 00:00:00,20.8626
2001-06-25 00:00:00,21.3851
2001-06-26 00:00:00,21.793
2001-06-27 00:00:00,22.0702
2001-06-28 00:00:00,22.3449
2001-06-29 00:00:00,22.5281
2001-07-02 00:00:00,22.8025
2001-07-03 00:00:00,23.0261
2001-07-05 00:00:00,23.0987
2001-07-06 00:00:00,22.9485
2001-07-09 00:00:00,22.9387
2001-07-10 00:00:00,22.6456
2001-07-11 00:00:00,22.646
2001-07-12 00:00:00,22.9755
2001-07-13 00:00:00,23.3466
2001-07-16 00:00:00,23.5026
2001-07-17 00:00:00,23.8413
2001-07-18 00:00:00,23.3481
2001-07-19 00:00:00,22.7706
2001-07-20 00:00:00,22.276
2001-07-23 00:00:00,21.7704
2001-07-24 00:00:00,21.2548
2001-07-25 00:00:00,20.7005
2001-07-26 00:00:00,20.2483
2001-07-27 00:00:00,19.9303
2001-07-30 00:00:00,19.6557
2001-07-31 00:00:00,19.3989
2001-08-01 00:00:00,19.2322
2001-08-02 00:00:00,19.232
