date,DX
2000-10-10 00:00:00,54.9919
2000-10-11 00:00:00,56.4653
2000-10-12 00:00:00,56.4653
2000-10-13 00:00:00,51.2571
2000-10-16 00:00:00,46.8196
2000-10-17 00:00:00,49.154
2000-10-18 00:00:00,50.4355
2000-10-19 00:00:00,51.0434
2000-10-20 00:00:00,48.6016
2000-10-23 00:00:00,47.7485
2000-10-24 00:00:00,48.7749
2000-10-25 00:00:00,49.3895
2000-10-26 00:00:00,50.9628
2000-10-27 00:00:00,49.2996
2000-10-30 00:00:00,45.3489
2000-10-31 00:00:00,43.6945
2000-11-01 00:00:00,40.3318
2000-11-02 00:00:00,32.0922
2000-11-03 00:00:00,29.243
2000-11-06 00:00:00,32.185
2000-11-07 00:00:00,32.351
2000-11-08 00:00:00,35.137
2000-11-09 00:00:00,37.1795
2000-11-10 00:00:00,37.1795
2000-11-13 00:00:00,39.4607
2000-11-14 00:00:00,36.2459
2000-11-15 00:00:00,37.1908
2000-11-16 00:00:00,38.3694
2000-11-17 00:00:00,40.2937
2000-11-20 00:00:00,38.4588
2000-11-21 00:00:00,38.4588
2000-11-22 00:00:00,39.7852
2000-11-24 00:00:00,36.6842
2000-11-27 00:00:00,33.0857
2000-11-28 00:00:00,35.3654
2000-11-29 00:00:00,38.1006
2000-11-30 00:00:00,42.3091
2000-12-01 00:00:00,37.9409
2000-12-04 00:00:00,39.3901
2000-12-05 00:00:00,37.1128
2000-12-06 00:00:00,45.9281
2000-12-07 00:00:00,45.9281
2000-12-08 00:00:00,41.9285
2000-12-11 00:00:00,41.265
2000-12-12 00:00:00,35.3654
2000-12-13 00:00:00,35.9107
2000-12-14 00:00:00,37.9318
2000-12-15 00:00:00,39.926
2000-12-18 00:00:00,40.2018
2000-12-19 00:00:00,33.534
2000-12-20 00:00:00,35.4621
2000-12-21 00:00:00,31.4482
2000-12-22 00:00:00,31.4482
2000-12-26 00:00:00,31.4482
2000-12-27 00:00:00,31.8302
2000-12-28 00:00:00,30.1756
2000-12-29 00:00:00,29.3867
2001-01-02 00:00:00,26.0363
2001-01-03 00:00:00,8.9338
2001-01-04 00:00:00,7.647
2001-01-05 00:00:00,0.9453
2001-01-08 00:00:00,0.1022
2001-01-09 00:00:00,5.5706
2001-01-10 00:00:00,1.006
2001-01-11 00:00:00,12.8988
2001-01-12 00:00:00,12.8988
2001-01-16 00:00:00,14.7893
2001-01-17 00:00:00,9.7734
2001-01-18 00:00:00,18.6761
2001-01-19 00:00:00,24.0458
2001-01-22 00:00:00,21.4407
2001-01-23 00:00:00,29.6519
