date,1. open,2. high,3. low,4. close,5. volume
2020-01-31 16:00:00,170.49,170.5,170.08,170.17,669093.0
2020-01-31 15:59:00,170.45,170.5,170.3,170.491,288037.0
2020-01-31 15:58:00,170.36,170.47,170.32,170.465,255613.0
2020-01-31 15:57:00,170.3827,170.5639,170.3437,170.3771,234467.0
2020-01-31 15:56:00,170.36,170.44,170.345,170.37,240120.0
2020-01-31 15:55:00,170.395,170.395,170.23,170.35,187998.0
2020-01-31 15:54:00,170.28,170.4,170.22,170.4,185136.0
2020-01-31 15:53:00,170.13,170.3,170.05,170.28,148533.0
2020-01-31 15:52:00,170.11,170.15,169.99,170.1246,167310.0
2020-01-31 15:51:00,170.1,170.3,169.94,170.1,285993.0
2020-01-31 15:50:00,170.24,170.2968,170.04,170.1,115303.0
2020-01-31 15:49:00,170.28,170.4,170.1745,170.23,123300.0
2020-01-31 15:48:00,170.3321,170.4939,170.2837,170.2971,99536.0
2020-01-31 15:47:00,170.0,170.3352,169.94,170.32,95630.0
2020-01-31 15:46:00,170.26,170.35,170.0,170.01,173538.0
2020-01-31 15:45:00,170.14,170.3237,170.08,170.2571,172085.0
2020-01-31 15:44:00,169.7799,170.22,169.65,170.14,380907.0
2020-01-31 15:43:00,169.76,169.82,169.7417,169.775,55399.0
2020-01-31 15:42:00,169.78,169.82,169.74,169.76,93390.0
2020-01-31 15:41:00,169.82,169.8474,169.77,169.785,87128.0
2020-01-31 15:40:00,169.8,169.8683,169.78,169.805,98332.0
2020-01-31 15:39:00,169.81,169.85,169.75,169.8,88456.0
2020-01-31 15:38:00,169.835,169.88,169.8106,169.8106,71520.0
2020-01-31 15:37:00,169.925,169.925,169.84,169.84,58244.0
2020-01-31 15:36:00,169.95,169.977,169.86,169.93,94957.0
2020-01-31 15:35:00,170.11,170.115,169.96,169.96,69529.0
2020-01-31 15:34:00,170.0299,170.12,170.0,170.11,68536.0
2020-01-31 15:33:00,170.04,170.09,169.99,170.025,71363.0
2020-01-31 15:32:00,169.995,170.06,169.97,170.05,70278.0
2020-01-31 15:31:00,170.09,170.14,169.99,169.99,139307.0
2020-01-31 15:30:00,170.205,170.24,170.0884,170.0884,82829.0
2020-01-31 15:29:00,170.28,170.285,170.165,170.2,60910.0
2020-01-31 15:28:00,170.2,170.33,170.2,170.285,53926.0
2020-01-31 15:27:00,170.28,170.325,170.14,170.19,55301.0
2020-01-31 15:26:00,170.3737,170.47,170.24,170.27,84236.0
2020-01-31 15:25:00,170.33,170.415,170.29,170.37,95527.0
2020-01-31 15:24:00,170.41,170.445,170.31,170.3354,58669.0
2020-01-31 15:23:00,170.23,170.42,170.23,170.41,97048.0
2020-01-31 15:22:00,170.15,170.23,170.12,170.23,48748.0
2020-01-31 15:21:00,170.2969,170.3858,170.14,170.16,63859.0
2020-01-31 15:20:00,170.365,170.39,170.24,170.3,48782.0
2020-01-31 15:19:00,170.34,170.42,170.29,170.369,81908.0
2020-01-31 15:18:00,170.19,170.34,170.14,170.34,113663.0
2020-01-31 15:17:00,170.055,170.24,170.055,170.2,78958.0
2020-01-31 15:16:00,170.165,170.18,170.03,170.05,88873.0
2020-01-31 15:15:00,170.18,170.2337,170.105,170.14,73050.0
2020-01-31 15:14:00,170.2401,170.28,170.17,170.175,71592.0
2020-01-31 15:13:00,170.23,170.32,170.215,170.25,73797.0
2020-01-31 15:12:00,170.24,170.2767,170.16,170.235,79246.0
2020-01-31 15:11:00,170.34,170.4293,170.24,170.24,65953.0
2020-01-31 15:10:00,170.29,170.365,170.275,170.34,48685.0
2020-01-31 15:09:00,170.2446,170.34,170.23,170.29,53071.0
2020-01-31 15:08:00,170.43,170.4917,170.19,170.24,153218.0
2020-01-31 15:07:00,170.48,170.505,170.38,170.43,53112.0
2020-01-31 15:06:00,170.56,170.5679,170.45,170.49,57536.0
2020-01-31 15:05:00,170.68,170.725,170.55,170.56,47875.0
2020-01-31 15:04:00,170.59,170.68,170.58,170.67,49816.0
2020-01-31 15:03:00,170.73,170.76,170.57,170.59,102898.0
2020-01-31 15:02:00,170.758,170.8,170.69,170.75,36732.0
2020-01-31 15:01:00,170.69,170.86,170.69,170.7567,57274.0
2020-01-31 15:00:00,170.7,170.86,170.68,170.69,86987.0
2020-01-31 14:59:00,170.79,170.84,170.7,170.7,31547.0
2020-01-31 14:58:00,170.7965,170.81,170.7,170.79,57500.0
2020-01-31 14:57:00,170.85,170.89,170.8,170.8,41975.0
2020-01-31 14:56:00,170.7325,170.87,170.72,170.84,45266.0
2020-01-31 14:55:00,170.7746,170.91,170.72,170.73,48068.0
2020-01-31 14:54:00,170.78,170.81,170.73,170.77,26911.0
2020-01-31 14:53:00,170.81,170.8338,170.76,170.77,22376.0
2020-01-31 14:52:00,170.865,170.9,170.7469,170.8034,29417.0
2020-01-31 14:51:00,170.82,170.9,170.82,170.86,35813.0
2020-01-31 14:50:00,170.87,170.9166,170.8,170.8062,27476.0
2020-01-31 14:49:00,170.85,170.92,170.8301,170.86,28636.0
2020-01-31 14:48:00,170.84,170.8737,170.7783,170.86,59325.0
2020-01-31 14:47:00,170.97,170.99,170.8454,170.85,33881.0
2020-01-31 14:46:00,170.86,170.97,170.84,170.97,27875.0
2020-01-31 14:45:00,170.8834,170.89,170.82,170.855,24210.0
2020-01-31 14:44:00,170.915,170.98,170.84,170.88,30054.0
2020-01-31 14:43:00,170.945,170.98,170.87,170.94,38110.0
2020-01-31 14:42:00,171.0,171.045,170.93,170.9479,52320.0
2020-01-31 14:41:00,171.1,171.17,171.02,171.02,31036.0
2020-01-31 14:40:00,171.1335,171.135,171.04,171.11,33976.0
2020-01-31 14:39:00,171.185,171.24,171.11,171.1358,37666.0
2020-01-31 14:38:00,171.17,171.24,171.16,171.18,52761.0
2020-01-31 14:37:00,171.117,171.22,171.08,171.1699,64186.0
2020-01-31 14:36:00,171.23,171.25,171.1354,171.1354,47303.0
2020-01-31 14:35:00,171.26,171.2775,171.18,171.22,39906.0
2020-01-31 14:34:00,171.12,171.31,171.11,171.255,92626.0
